Date,ProductID,StoreID,UnitsSold,Price,Discount,MarketingSpend,Holiday,DayOfWeek,Month,Demand
2023-05-28,1015,4,178,1894.38,20,22389,0,6,5,178.26
2023-05-29,1047,18,137,124.7,6,17032,0,0,5,137.97
2023-05-30,1001,1,187,1653.14,19,20978,0,1,5,187.47
2023-05-31,1001,3,129,1221.56,11,15596,0,2,5,129.28
2023-06-01,1052,12,188,517.07,21,18771,0,3,6,188.03
2023-06-02,1073,14,242,995.02,31,29529,0,4,6,242.82
2023-06-03,1024,7,306,514.24,21,42401,1,5,6,306.62
2023-06-04,1097,5,223,134.94,17,27665,0,6,6,223.71
2023-06-05,1024,6,292,1676.51,22,49756,0,0,6,292.22
2023-06-06,1084,6,273,1491.15,33,31987,0,1,6,273.72
2023-06-07,1016,14,229,189.24,42,20250,0,2,6,229.31
2023-06-08,1025,11,245,648.52,35,26712,0,3,6,246.0
2023-06-09,1054,15,179,1912.77,21,24863,0,4,6,179.39
2023-06-10,1035,15,296,598.3,34,32987,0,5,6,296.57
2023-06-11,1097,9,113,1564.73,8,16048,0,6,6,113.98
2023-06-12,1000,11,141,1236.74,24,14350,0,0,6,141.94
2023-06-13,1058,17,241,359.96,9,37408,0,1,6,241.25
2023-06-14,1046,12,85,1129.61,23,1338,0,2,6,85.7
2023-06-15,1079,6,120,1963.1,17,12918,0,3,6,120.14
2023-06-16,1025,15,122,183.91,15,5806,1,4,6,122.84
2023-06-17,1006,14,107,328.99,6,5232,0,5,6,107.64
2023-06-18,1071,18,125,901.35,28,7737,0,6,6,125.99
2023-06-19,1058,10,94,1324.64,13,10374,0,0,6,94.74
2023-06-20,1059,13,268,246.21,36,30866,0,1,6,268.8
2023-06-21,1014,17,113,1122.96,21,8564,0,2,6,113.71
2023-06-22,1015,13,69,1270.14,1,9502,0,3,6,69.73
2023-06-23,1095,3,210,233.06,45,17371,0,4,6,210.33
2023-06-24,1092,12,151,1292.26,43,11616,0,5,6,151.42
2023-06-25,1004,1,252,553.68,2,45460,0,6,6,252.64
2023-06-26,1029,18,314,662.99,36,41600,0,0,6,314.29
2023-06-27,1067,12,304,1917.19,36,46028,0,1,6,304.96
2023-06-28,1069,7,342,1770.32,45,41970,1,2,6,342.95
2023-06-29,1092,19,245,1074.11,9,41042,0,3,6,245.13
2023-06-30,1089,9,135,454.23,2,15199,0,4,6,135.12
2023-07-01,1061,17,132,392.4,31,8906,0,5,7,132.97
2023-07-02,1088,9,289,1800.35,36,45641,0,6,7,289.26
2023-07-03,1028,9,229,184.32,33,26931,0,0,7,229.81
2023-07-04,1078,8,91,1870.02,10,16585,0,1,7,91.73
2023-07-05,1004,16,231,1042.16,5,41996,0,2,7,231.83
2023-07-06,1076,5,162,1983.8,49,10516,0,3,7,162.96
2023-07-07,1055,8,205,1388.23,26,27572,0,4,7,205.53
2023-07-08,1005,19,296,1749.51,27,48456,0,5,7,296.64
2023-07-09,1044,10,93,301.08,26,3469,0,6,7,93.82
2023-07-10,1004,11,299,1926.5,30,48638,0,0,7,299.24
2023-07-11,1038,18,177,1654.14,13,27588,0,1,7,177.25
2023-07-12,1065,13,287,1272.16,48,35832,0,2,7,287.5
2023-07-13,1082,7,152,1128.41,31,14281,0,3,7,152.73
2023-07-14,1059,15,172,1870.85,28,17661,1,4,7,172.42
2023-07-15,1090,17,88,1564.87,16,9073,0,5,7,88.01
2023-07-16,1021,18,237,1755.92,46,25860,0,6,7,237.22
2023-07-17,1075,7,160,224.69,32,8813,0,0,7,160.83
2023-07-18,1031,19,307,579.77,22,45569,0,1,7,307.03
2023-07-19,1098,13,247,1723.0,14,42846,0,2,7,247.29
2023-07-20,1074,2,48,1568.36,19,4093,0,3,7,48.63
2023-07-21,1057,6,228,536.91,34,27431,0,4,7,228.75
2023-07-22,1023,12,196,1169.23,43,19639,0,5,7,196.62
2023-07-23,1092,8,198,1564.75,45,21017,0,6,7,198.97
2023-07-24,1002,12,111,161.8,2,16251,0,0,7,111.71
2023-07-25,1016,12,241,570.33,8,39565,0,1,7,241.92
2023-07-26,1059,2,176,1615.36,10,30759,0,2,7,176.96
2023-07-27,1094,6,304,654.16,44,42688,0,3,7,304.12
2023-07-28,1040,8,134,1476.14,23,10768,0,4,7,134.34
2023-07-29,1019,1,115,1163.33,31,7368,0,5,7,115.35
2023-07-30,1076,1,313,1666.58,25,44201,1,6,7,313.99
2023-07-31,1014,2,148,178.25,43,7090,0,0,7,148.1
2023-08-01,1005,9,218,1878.8,38,27015,0,1,8,218.83
2023-08-02,1006,11,71,1800.15,3,12653,0,2,8,71.54
2023-08-03,1025,3,290,177.43,41,37877,0,3,8,290.2
2023-08-04,1052,19,233,407.18,5,40825,0,4,8,233.37
2023-08-05,1036,9,136,1037.23,27,15025,0,5,8,136.94
2023-08-06,1078,1,150,1696.86,48,8005,1,6,8,150.65
2023-08-07,1057,5,304,757.28,43,37221,1,0,8,304.02
2023-08-08,1097,4,144,1759.5,33,12171,0,1,8,144.36
2023-08-09,1041,19,272,1225.47,11,49364,0,2,8,272.09
2023-08-10,1025,8,317,870.09,29,47678,0,3,8,317.89
2023-08-11,1013,14,318,1073.97,36,45965,0,4,8,318.46
2023-08-12,1013,7,39,782.54,1,4814,0,5,8,39.39
2023-08-13,1088,2,209,1730.17,4,44006,0,6,8,209.92
2023-08-14,1022,15,283,545.88,9,45738,0,0,8,283.91
2023-08-15,1079,10,292,952.68,11,46917,0,1,8,292.11
2023-08-16,1075,1,262,579.8,19,43267,0,2,8,262.82
2023-08-17,1036,15,220,1361.23,36,27928,0,3,8,220.72
2023-08-18,1078,6,210,491.1,19,21337,1,4,8,210.53
2023-08-19,1072,5,140,1879.55,28,16360,0,5,8,140.21
2023-08-20,1068,1,169,1063.75,13,26611,0,6,8,169.65
2023-08-21,1052,18,122,1933.73,42,1125,1,0,8,122.79
2023-08-22,1094,15,265,1091.29,22,41363,0,1,8,265.13
2023-08-23,1022,13,343,372.73,49,44753,0,2,8,343.05
2023-08-24,1007,6,282,1749.47,21,49320,0,3,8,282.02
2023-08-25,1089,11,252,1398.17,49,29625,0,4,8,252.85
2023-08-26,1075,8,201,1611.47,3,36840,0,5,8,201.16
2023-08-27,1079,14,173,848.34,4,27984,0,6,8,173.68
2023-08-28,1072,13,171,648.5,10,26923,0,0,8,171.8
2023-08-29,1003,6,131,932.53,33,8761,0,1,8,131.73
2023-08-30,1000,7,177,110.94,14,24616,0,2,8,177.63
2023-08-31,1070,15,235,1421.39,28,39360,0,3,8,235.54
2023-09-01,1089,11,245,1246.55,45,26537,0,4,9,245.44
2023-09-02,1002,8,144,1086.26,5,27523,0,5,9,144.32
2023-09-03,1097,16,315,1202.33,43,47819,0,6,9,315.72
2023-09-04,1047,6,153,1519.06,43,14178,0,0,9,153.8
2023-09-05,1079,15,115,235.43,14,9906,0,1,9,115.44
2023-09-06,1067,13,308,768.08,33,47413,0,2,9,309.0
2023-09-07,1026,15,230,1111.29,7,43641,0,3,9,230.14
2023-09-08,1076,4,231,1664.03,29,35054,0,4,9,231.04
2023-09-09,1070,17,203,1177.89,41,25611,0,5,9,203.16
2023-09-10,1006,1,200,809.67,44,14673,0,6,9,200.63
2023-09-11,1025,9,111,1328.55,23,11617,0,0,9,111.64
2023-09-12,1041,8,290,1562.89,48,36993,0,1,9,290.41
2023-09-13,1099,7,221,1368.34,17,38778,0,2,9,221.39
2023-09-14,1096,18,198,390.67,48,18633,0,3,9,198.23
2023-09-15,1036,15,156,537.47,6,24711,0,4,9,156.25
2023-09-16,1072,14,241,1300.83,24,34537,0,5,9,241.39
2023-09-17,1041,7,256,1476.58,10,45311,0,6,9,256.25
2023-09-18,1018,4,231,1476.24,41,32007,0,0,9,231.5
2023-09-19,1040,7,137,231.91,48,4713,0,1,9,137.81
2023-09-20,1043,8,127,1772.15,49,9258,0,2,9,127.12
2023-09-21,1069,2,33,1988.86,1,10686,0,3,9,33.32
2023-09-22,1007,12,245,268.66,4,43828,0,4,9,245.01
2023-09-23,1061,16,312,102.35,15,43891,1,5,9,312.64
2023-09-24,1002,16,270,826.8,22,38211,1,6,9,270.99
2023-09-25,1029,6,176,588.39,7,27342,0,0,9,176.84
2023-09-26,1015,12,142,1585.85,33,17163,0,1,9,142.24
2023-09-27,1084,2,94,1880.22,8,19880,0,2,9,94.48
2023-09-28,1051,4,115,1759.34,5,18826,0,3,9,115.84
2023-09-29,1011,15,236,854.64,37,26169,0,4,9,236.68
2023-09-30,1029,10,147,1749.31,5,29495,0,5,9,147.03
2023-10-01,1034,2,174,392.2,34,8373,1,6,10,174.51
2023-10-02,1009,2,149,351.8,32,9286,0,0,10,149.98
2023-10-03,1051,3,43,1910.32,5,6772,0,1,10,43.91
2023-10-04,1007,2,273,1061.6,14,47659,0,2,10,273.62
2023-10-05,1091,13,217,1879.25,19,36262,0,3,10,217.42
2023-10-06,1092,11,75,1277.22,22,7610,0,4,10,75.87
2023-10-07,1088,2,349,1020.74,49,47332,0,5,10,349.71
2023-10-08,1078,9,177,917.64,8,30794,0,6,10,177.21
2023-10-09,1006,16,241,1414.07,32,33003,0,0,10,241.96
2023-10-10,1039,17,296,542.03,28,42779,0,1,10,296.44
2023-10-11,1062,3,221,798.74,27,28605,0,2,10,221.03
2023-10-12,1085,5,162,120.96,1,25282,0,3,10,162.54
2023-10-13,1086,7,163,1276.0,12,23740,0,4,10,163.54
2023-10-14,1084,18,104,222.77,31,1163,0,5,10,104.2
2023-10-15,1020,4,225,1742.85,47,29411,0,6,10,225.8
2023-10-16,1098,9,170,1266.75,28,20877,0,0,10,170.64
2023-10-17,1040,1,122,1636.88,47,7172,0,1,10,122.5
2023-10-18,1057,8,160,976.81,10,28425,0,2,10,160.17
2023-10-19,1016,13,288,385.32,31,40851,0,3,10,288.47
2023-10-20,1007,13,245,172.24,22,37224,0,4,10,245.88
2023-10-21,1010,15,184,1890.4,27,29138,0,5,10,184.85
2023-10-22,1004,8,247,603.59,37,29270,0,6,10,247.03
2023-10-23,1065,15,297,490.81,48,33125,0,0,10,297.6
2023-10-24,1040,18,219,712.21,35,26227,0,1,10,219.2
2023-10-25,1031,16,145,1642.36,33,17905,0,2,10,145.21
2023-10-26,1039,18,118,526.77,24,5583,0,3,10,118.62
2023-10-27,1021,12,199,475.19,45,19544,0,4,10,199.86
2023-10-28,1098,7,300,1708.38,40,44950,0,5,10,300.77
2023-10-29,1007,14,182,1484.13,6,30334,0,6,10,182.74
2023-10-30,1074,11,224,611.73,27,29444,0,0,10,224.89
2023-10-31,1051,18,167,505.67,22,21567,0,1,10,167.58
2023-11-01,1021,11,139,1540.55,32,9706,0,2,11,139.83
2023-11-02,1038,12,246,1308.95,36,30806,0,3,11,246.09
2023-11-03,1057,16,218,1642.33,43,26860,0,4,11,218.9
2023-11-04,1063,10,75,1349.36,24,4081,0,5,11,75.21
2023-11-05,1045,7,196,1268.46,1,32656,0,6,11,196.3
2023-11-06,1089,12,166,1516.89,13,14944,1,0,11,166.63
2023-11-07,1019,11,89,1536.9,30,6110,0,1,11,89.1
2023-11-08,1003,10,195,1783.77,34,24705,0,2,11,195.91
2023-11-09,1084,8,183,438.91,9,27661,0,3,11,183.36
2023-11-10,1016,7,56,1013.85,13,4586,0,4,11,56.85
2023-11-11,1079,4,84,200.33,23,1161,0,5,11,84.73
2023-11-12,1018,17,118,1309.33,18,13693,0,6,11,118.93
2023-11-13,1075,6,340,498.7,35,49831,0,0,11,340.14
2023-11-14,1054,1,228,268.34,48,20194,0,1,11,228.57
2023-11-15,1046,11,177,1493.87,44,13448,0,2,11,177.57
2023-11-16,1090,15,304,878.82,13,49998,0,3,11,304.23
2023-11-17,1015,5,235,450.5,9,35865,0,4,11,235.49
2023-11-18,1069,17,149,1866.27,18,18833,0,5,11,149.6
2023-11-19,1025,19,303,816.14,36,43963,0,6,11,303.79
2023-11-20,1069,4,143,194.7,38,6105,1,0,11,143.91
2023-11-21,1023,4,345,1554.47,45,47907,0,1,11,345.73
2023-11-22,1088,4,132,125.46,23,10067,0,2,11,132.08
2023-11-23,1085,7,139,569.26,27,9461,0,3,11,139.06
2023-11-24,1088,13,193,609.46,8,31508,0,4,11,193.32
2023-11-25,1083,18,283,1822.23,20,48299,0,5,11,283.36
2023-11-26,1014,18,42,1491.65,10,2171,0,6,11,42.13
2023-11-27,1047,7,89,847.55,25,3539,0,0,11,89.7
2023-11-28,1020,18,277,375.43,22,35521,0,1,11,277.65
2023-11-29,1048,19,240,686.53,20,30055,1,2,11,240.47
2023-11-30,1070,1,136,1094.44,33,7171,0,3,11,136.26
2023-12-01,1040,7,55,1444.89,16,2633,0,4,12,55.55
2023-12-02,1084,5,312,1896.83,47,47136,0,5,12,312.53
2023-12-03,1097,16,248,882.35,38,28733,0,6,12,249.0
2023-12-04,1058,10,303,1958.32,48,38823,0,0,12,303.18
2023-12-05,1020,4,91,1537.83,21,6774,0,1,12,91.51
2023-12-06,1039,17,216,151.62,24,23263,0,2,12,216.4
2023-12-07,1071,12,184,1123.53,34,22253,0,3,12,184.75
2023-12-08,1042,19,58,938.04,10,3551,0,4,12,58.62
2023-12-09,1007,9,114,1197.43,20,8239,0,5,12,114.9
2023-12-10,1081,10,101,950.45,5,12531,0,6,12,101.73
2023-12-11,1079,3,186,789.89,26,14937,0,0,12,186.32
2023-12-12,1007,5,221,1492.01,47,21074,0,1,12,221.36
2023-12-13,1093,6,56,1938.74,18,3591,0,2,12,56.59
2023-12-14,1000,13,103,1969.81,20,2283,1,3,12,103.44
2023-12-15,1094,5,221,1163.54,32,27819,0,4,12,221.77
2023-12-16,1092,9,129,1656.22,49,1645,0,5,12,129.07
2023-12-17,1043,11,244,1812.46,43,27475,0,6,12,244.49
2023-12-18,1075,16,194,1452.83,25,25765,0,0,12,194.1
2023-12-19,1034,2,288,761.09,46,30009,0,1,12,288.99
2023-12-20,1021,17,141,1698.75,10,12101,1,2,12,141.74
2023-12-21,1034,1,185,339.9,15,23433,0,3,12,185.72
2023-12-22,1038,6,129,1725.9,0,22447,0,4,12,129.73
2023-12-23,1062,3,315,1418.89,24,48246,0,5,12,315.99
2023-12-24,1075,17,241,1555.52,34,30516,0,6,12,241.27
2023-12-25,1096,6,171,1374.39,22,18761,0,0,12,171.39
2023-12-26,1071,3,172,884.25,13,23010,0,1,12,172.16
2023-12-27,1024,8,309,1505.82,25,48717,0,2,12,309.12
2023-12-28,1050,3,103,1532.53,8,6075,1,3,12,103.23
2023-12-29,1077,9,82,679.03,18,5493,0,4,12,82.88
2023-12-30,1013,11,298,241.06,40,33698,0,5,12,298.95
2023-12-31,1040,4,187,222.53,27,15849,0,6,12,187.82
2024-01-01,1054,16,201,555.07,48,10885,0,0,1,201.47
2024-01-02,1010,14,129,1725.82,20,14615,0,1,1,129.29
2024-01-03,1072,9,176,1371.48,16,21961,0,2,1,176.76
2024-01-04,1064,8,321,1083.15,46,35215,0,3,1,321.15
2024-01-05,1018,8,249,1901.41,37,31483,0,4,1,249.87
2024-01-06,1050,4,238,1385.21,27,32259,0,5,1,238.63
2024-01-07,1090,9,180,1061.91,22,21389,0,6,1,180.4
2024-01-08,1024,18,211,787.52,11,29933,0,0,1,211.62
2024-01-09,1064,13,157,1015.88,39,9333,0,1,1,157.42
2024-01-10,1083,17,329,1081.49,37,44056,0,2,1,329.56
2024-01-11,1084,17,156,515.17,41,6482,0,3,1,156.59
2024-01-12,1008,5,254,640.67,16,34623,0,4,1,254.26
2024-01-13,1038,13,217,1383.3,45,17018,0,5,1,217.35
2024-01-14,1045,13,177,849.69,43,9210,0,6,1,177.73
2024-01-15,1011,16,275,663.78,25,34755,0,0,1,275.59
2024-01-16,1007,14,148,197.16,44,1726,0,1,1,148.92
2024-01-17,1067,1,247,966.85,17,33402,0,2,1,247.43
2024-01-18,1039,17,202,234.91,14,15376,1,3,1,202.45
2024-01-19,1065,19,115,1227.96,9,10101,0,4,1,115.52
2024-01-20,1072,7,132,1760.03,19,12777,0,5,1,132.27
2024-01-21,1011,3,153,952.82,44,2998,0,6,1,153.11
2024-01-22,1084,17,138,510.5,24,8446,0,0,1,138.33
2024-01-23,1017,4,230,1378.64,8,37788,0,1,1,230.89
2024-01-24,1029,12,128,1616.92,2,19626,0,2,1,128.45
2024-01-25,1074,16,242,123.39,35,21384,0,3,1,242.56
2024-01-26,1033,5,239,1326.91,36,27167,0,4,1,239.75
2024-01-27,1073,18,347,1310.11,42,45014,0,5,1,347.17
2024-01-28,1010,17,154,292.39,4,14703,0,6,1,154.58
2024-01-29,1049,5,261,534.12,23,34210,0,0,1,261.75
2024-01-30,1044,4,397,288.67,45,48093,1,1,1,397.02
2024-01-31,1005,15,122,1026.92,41,3169,0,2,1,122.8
2024-02-01,1041,5,235,1000.61,5,31403,1,3,2,235.7
2024-02-02,1058,15,280,388.01,16,37575,0,4,2,280.39
2024-02-03,1067,5,176,392.88,48,2932,0,5,2,176.5
2024-02-04,1050,3,150,674.43,31,5857,0,6,2,150.13
2024-02-05,1045,12,86,546.57,10,1358,0,0,2,86.11
2024-02-06,1098,13,121,1289.85,10,14283,0,1,2,121.11
2024-02-07,1016,3,149,1772.6,39,10429,0,2,2,149.72
2024-02-08,1084,8,282,174.97,16,36428,0,3,2,282.93
2024-02-09,1018,2,152,1472.07,44,4630,0,4,2,152.11
2024-02-10,1091,5,84,1609.0,19,2960,0,5,2,84.02
2024-02-11,1011,6,329,382.71,18,38529,1,6,2,329.57
2024-02-12,1054,4,190,642.99,32,14527,0,0,2,190.58
2024-02-13,1026,11,314,1845.6,49,37304,0,1,2,314.38
2024-02-14,1050,15,289,1552.6,3,42862,1,2,2,289.43
2024-02-15,1047,9,185,213.0,44,9016,0,3,2,185.91
2024-02-16,1062,6,321,586.49,4,47092,1,4,2,321.11
2024-02-17,1060,16,265,1548.93,21,37188,0,5,2,265.07
2024-02-18,1063,16,209,1657.62,40,16906,0,6,2,209.49
