CustomerID,Gender,AgeGroup,MaritalStatus,Education,Occupation,IncomeLevel,Region,ShoppingFrequency,PreferredChannel,PurchaseCategory
34,Male,18-25,Single,Graduate,Business,Low,Semiurban,Weekly,Store,Fashion
35,Male,36-45,Married,Graduate,Professional,Low,Rural,Weekly,Online,Grocery
36,Female,26-35,Single,Graduate,Student,Medium,Urban,Weekly,Store,HomeDecor
37,Male,36-45,Single,Graduate,Professional,Low,Semiurban,Weekly,Online,HomeDecor
38,Female,36-45,Single,Graduate,Student,High,Urban,Monthly,Store,Grocery
39,Male,36-45,Married,Postgraduate,Business,High,Semiurban,Weekly,Online,Grocery
40,Male,36-45,Single,Graduate,Business,Medium,Semiurban,Monthly,Store,Electronics
41,Female,26-35,Married,Graduate,Business,Medium,Urban,Weekly,Store,HomeDecor
42,Male,36-45,Married,Graduate,Business,Medium,Rural,Monthly,Store,Grocery
43,Female,36-45,Single,Graduate,Professional,High,Semiurban,Weekly,Store,HomeDecor
44,Male,36-45,Married,Graduate,Professional,High,Rural,Monthly,Store,HomeDecor
45,Female,26-35,Married,Graduate,Business,Low,Semiurban,Monthly,Online,Fashion
46,Female,26-35,Single,Graduate,Student,Low,Urban,Monthly,Online,HomeDecor
47,Female,26-35,Married,Postgraduate,Professional,Low,Urban,Weekly,Online,HomeDecor
48,Male,26-35,Married,Graduate,Business,Low,Urban,Monthly,Online,HomeDecor
49,Female,46-55,Married,Postgraduate,Student,High,Semiurban,Monthly,Store,Fashion
50,Female,46-55,Single,Postgraduate,Professional,Low,Rural,Monthly,Online,Grocery
51,Female,36-45,Single,Graduate,Student,Low,Semiurban,Weekly,Online,Electronics
52,Female,46-55,Married,Postgraduate,Professional,Low,Urban,Monthly,Store,Electronics
53,Female,46-55,Single,Postgraduate,Professional,Medium,Semiurban,Weekly,Store,Fashion
54,Female,46-55,Married,Graduate,Professional,Medium,Rural,Monthly,Online,HomeDecor
55,Male,18-25,Married,Graduate,Student,High,Semiurban,Weekly,Store,Fashion
56,Male,36-45,Married,Postgraduate,Student,Medium,Semiurban,Monthly,Store,Grocery
57,Female,36-45,Single,Postgraduate,Student,High,Rural,Weekly,Store,Fashion
58,Male,18-25,Single,Graduate,Student,Low,Rural,Weekly,Online,Fashion
59,Female,18-25,Single,Postgraduate,Business,Medium,Semiurban,Weekly,Online,Fashion
60,Female,18-25,Single,Postgraduate,Business,High,Semiurban,Monthly,Online,Electronics
61,Male,18-25,Married,Graduate,Business,Low,Semiurban,Monthly,Store,Electronics
62,Female,18-25,Married,Postgraduate,Student,Medium,Semiurban,Monthly,Online,HomeDecor
63,Male,36-45,Married,Postgraduate,Professional,High,Rural,Monthly,Store,Fashion
64,Male,36-45,Married,Graduate,Professional,High,Rural,Monthly,Store,Electronics
65,Female,36-45,Single,Postgraduate,Student,Medium,Semiurban,Monthly,Store,Grocery
66,Male,26-35,Single,Graduate,Business,Medium,Semiurban,Weekly,Store,HomeDecor
67,Female,18-25,Single,Postgraduate,Student,Medium,Rural,Weekly,Store,Grocery
68,Female,36-45,Married,Postgraduate,Professional,High,Semiurban,Monthly,Store,Grocery
69,Male,18-25,Single,Postgraduate,Student,High,Rural,Weekly,Online,Fashion
70,Female,36-45,Married,Graduate,Student,Medium,Urban,Monthly,Online,Grocery
71,Male,26-35,Married,Graduate,Student,High,Semiurban,Weekly,Store,Electronics
72,Male,36-45,Married,Postgraduate,Professional,Medium,Urban,Weekly,Store,HomeDecor
73,Male,18-25,Married,Postgraduate,Student,High,Rural,Weekly,Online,Fashion
74,Female,18-25,Single,Graduate,Business,Medium,Rural,Weekly,Store,HomeDecor
75,Female,36-45,Married,Postgraduate,Business,High,Urban,Weekly,Online,Fashion
76,Female,18-25,Single,Graduate,Student,High,Urban,Weekly,Online,HomeDecor
77,Female,46-55,Married,Graduate,Student,Medium,Rural,Monthly,Store,Electronics
78,Male,36-45,Single,Postgraduate,Student,High,Urban,Weekly,Store,Fashion
79,Male,18-25,Single,Postgraduate,Business,High,Rural,Monthly,Store,Electronics
80,Female,36-45,Married,Postgraduate,Business,High,Semiurban,Monthly,Online,Electronics
81,Female,36-45,Married,Graduate,Student,Low,Rural,Weekly,Store,Electronics
82,Male,46-55,Married,Postgraduate,Student,High,Semiurban,Monthly,Online,HomeDecor
83,Female,46-55,Married,Postgraduate,Business,Low,Urban,Monthly,Store,HomeDecor
84,Female,46-55,Single,Postgraduate,Student,Medium,Semiurban,Monthly,Online,HomeDecor
85,Male,46-55,Married,Graduate,Student,High,Semiurban,Monthly,Store,Electronics
86,Male,36-45,Single,Postgraduate,Professional,High,Semiurban,Weekly,Online,Fashion
87,Male,36-45,Single,Postgraduate,Student,Low,Urban,Monthly,Online,Fashion
88,Female,36-45,Married,Postgraduate,Professional,Medium,Urban,Monthly,Online,HomeDecor
89,Male,26-35,Single,Postgraduate,Professional,Medium,Rural,Monthly,Online,Grocery
90,Female,46-55,Single,Postgraduate,Business,Medium,Semiurban,Monthly,Store,HomeDecor
91,Female,26-35,Single,Postgraduate,Student,Medium,Urban,Monthly,Store,HomeDecor
92,Female,26-35,Married,Graduate,Student,High,Rural,Monthly,Online,HomeDecor
93,Male,46-55,Single,Graduate,Professional,High,Urban,Weekly,Store,Grocery
94,Female,46-55,Single,Postgraduate,Business,High,Semiurban,Monthly,Store,Electronics
95,Male,26-35,Married,Graduate,Business,Low,Semiurban,Weekly,Online,HomeDecor
96,Male,36-45,Single,Graduate,Professional,Low,Semiurban,Monthly,Store,HomeDecor
97,Male,26-35,Married,Graduate,Student,Low,Urban,Monthly,Online,HomeDecor
98,Male,26-35,Married,Postgraduate,Professional,Medium,Rural,Weekly,Store,Grocery
99,Male,18-25,Married,Postgraduate,Business,Medium,Rural,Monthly,Store,HomeDecor
100,Female,26-35,Married,Postgraduate,Student,Low,Semiurban,Monthly,Store,Grocery
101,Male,46-55,Married,Graduate,Business,High,Rural,Weekly,Store,Grocery
102,Male,36-45,Single,Graduate,Business,Medium,Rural,Weekly,Online,Electronics
103,Female,46-55,Single,Postgraduate,Business,Low,Urban,Monthly,Store,HomeDecor
104,Male,26-35,Single,Postgraduate,Business,High,Semiurban,Weekly,Store,HomeDecor
105,Female,36-45,Single,Postgraduate,Student,Low,Urban,Monthly,Store,Electronics
106,Female,18-25,Married,Graduate,Professional,Medium,Rural,Monthly,Store,Grocery
107,Male,26-35,Married,Graduate,Business,High,Semiurban,Weekly,Online,HomeDecor
108,Female,46-55,Single,Graduate,Student,Low,Semiurban,Monthly,Online,Electronics
109,Male,26-35,Married,Postgraduate,Professional,High,Rural,Monthly,Online,HomeDecor
110,Male,46-55,Married,Postgraduate,Student,High,Semiurban,Weekly,Store,HomeDecor
111,Male,36-45,Single,Postgraduate,Business,High,Semiurban,Weekly,Store,Grocery
112,Male,18-25,Married,Graduate,Business,Low,Rural,Weekly,Online,Grocery
113,Male,26-35,Single,Graduate,Business,Low,Rural,Weekly,Online,Grocery
114,Male,18-25,Married,Graduate,Student,High,Semiurban,Weekly,Online,Electronics
115,Male,18-25,Married,Graduate,Business,Medium,Urban,Weekly,Store,Electronics
116,Male,46-55,Single,Graduate,Professional,Medium,Semiurban,Weekly,Store,Fashion
117,Male,36-45,Married,Graduate,Student,Medium,Semiurban,Monthly,Online,HomeDecor
118,Female,18-25,Single,Postgraduate,Business,Low,Urban,Weekly,Store,Grocery
119,Female,36-45,Married,Postgraduate,Student,High,Urban,Weekly,Store,HomeDecor
120,Male,46-55,Married,Postgraduate,Professional,Medium,Rural,Weekly,Store,HomeDecor
121,Female,36-45,Married,Graduate,Business,Medium,Urban,Weekly,Online,Electronics
122,Female,18-25,Married,Graduate,Business,Low,Rural,Monthly,Online,HomeDecor
123,Female,46-55,Single,Postgraduate,Business,Medium,Semiurban,Weekly,Online,Fashion
124,Female,26-35,Single,Postgraduate,Business,Medium,Urban,Monthly,Online,HomeDecor
125,Male,36-45,Single,Graduate,Professional,High,Semiurban,Monthly,Store,Electronics
126,Male,26-35,Married,Graduate,Student,High,Rural,Weekly,Online,Fashion
127,Female,46-55,Married,Postgraduate,Student,Medium,Semiurban,Monthly,Online,Electronics
128,Male,26-35,Single,Graduate,Professional,Medium,Rural,Monthly,Store,HomeDecor
129,Female,36-45,Single,Graduate,Professional,Medium,Urban,Monthly,Store,Grocery
130,Male,26-35,Married,Graduate,Student,Low,Semiurban,Weekly,Online,Grocery
131,Female,36-45,Single,Graduate,Professional,High,Semiurban,Weekly,Online,HomeDecor
132,Male,36-45,Single,Postgraduate,Business,Low,Semiurban,Weekly,Store,Electronics
133,Female,46-55,Married,Postgraduate,Professional,Low,Semiurban,Weekly,Store,Fashion
134,Female,36-45,Single,Postgraduate,Student,Low,Semiurban,Monthly,Online,HomeDecor
135,Female,36-45,Single,Postgraduate,Student,Low,Rural,Weekly,Online,Grocery
136,Female,26-35,Single,Graduate,Student,Medium,Urban,Weekly,Online,Electronics
137,Male,46-55,Married,Postgraduate,Business,High,Rural,Monthly,Store,Fashion
138,Female,18-25,Married,Postgraduate,Business,Medium,Semiurban,Weekly,Store,Electronics
139,Female,46-55,Married,Graduate,Student,Medium,Semiurban,Weekly,Online,HomeDecor
140,Female,18-25,Married,Graduate,Professional,High,Semiurban,Weekly,Online,HomeDecor
141,Male,36-45,Single,Graduate,Student,Low,Rural,Monthly,Store,Fashion
142,Female,36-45,Married,Postgraduate,Professional,Medium,Rural,Weekly,Store,Electronics
143,Female,18-25,Married,Postgraduate,Professional,High,Rural,Weekly,Store,Electronics
144,Male,36-45,Married,Postgraduate,Student,High,Rural,Weekly,Store,HomeDecor
145,Female,26-35,Single,Postgraduate,Business,Medium,Urban,Monthly,Store,Fashion
146,Male,36-45,Married,Graduate,Student,Low,Urban,Weekly,Store,Electronics
147,Male,36-45,Single,Postgraduate,Student,Low,Urban,Weekly,Store,Electronics
148,Female,36-45,Single,Postgraduate,Business,Medium,Rural,Monthly,Online,Fashion
149,Female,46-55,Single,Postgraduate,Business,High,Semiurban,Monthly,Store,HomeDecor
150,Female,26-35,Single,Graduate,Professional,Low,Rural,Monthly,Store,Electronics
151,Male,36-45,Single,Graduate,Professional,Medium,Rural,Weekly,Store,Electronics
152,Male,46-55,Married,Graduate,Professional,Low,Semiurban,Monthly,Online,HomeDecor
153,Male,36-45,Single,Graduate,Professional,Low,Rural,Monthly,Online,Fashion
154,Male,36-45,Married,Graduate,Business,Medium,Semiurban,Weekly,Online,Electronics
155,Female,26-35,Single,Postgraduate,Student,Medium,Urban,Monthly,Online,Electronics
156,Male,46-55,Married,Graduate,Student,Medium,Rural,Weekly,Online,Fashion
157,Female,46-55,Single,Postgraduate,Student,High,Semiurban,Weekly,Online,Grocery
158,Male,18-25,Married,Postgraduate,Student,High,Semiurban,Monthly,Store,Electronics
159,Female,18-25,Married,Graduate,Business,High,Rural,Weekly,Store,Fashion
160,Male,36-45,Married,Graduate,Business,Medium,Rural,Monthly,Online,Fashion
161,Male,46-55,Single,Postgraduate,Student,Low,Urban,Weekly,Store,Grocery
162,Female,46-55,Married,Graduate,Business,Low,Semiurban,Monthly,Online,Grocery
163,Female,18-25,Married,Postgraduate,Professional,High,Semiurban,Monthly,Store,Fashion
164,Female,46-55,Married,Postgraduate,Student,High,Semiurban,Weekly,Store,Fashion
165,Female,36-45,Single,Graduate,Professional,High,Semiurban,Monthly,Store,HomeDecor
166,Male,46-55,Married,Postgraduate,Student,High,Semiurban,Monthly,Store,Electronics
167,Male,46-55,Married,Graduate,Student,Low,Rural,Monthly,Online,Fashion
168,Male,26-35,Married,Postgraduate,Professional,High,Urban,Weekly,Store,Grocery
169,Female,46-55,Single,Graduate,Business,Medium,Semiurban,Monthly,Store,Fashion
170,Male,18-25,Single,Postgraduate,Business,Medium,Rural,Weekly,Store,Grocery
171,Female,26-35,Married,Postgraduate,Student,Low,Urban,Weekly,Store,Fashion
172,Female,18-25,Married,Postgraduate,Business,Low,Rural,Monthly,Store,Fashion
173,Male,36-45,Single,Graduate,Student,Low,Urban,Monthly,Online,Grocery
174,Female,46-55,Single,Graduate,Student,Medium,Semiurban,Monthly,Store,HomeDecor
175,Male,26-35,Married,Graduate,Professional,Medium,Rural,Monthly,Online,Fashion
176,Male,46-55,Single,Graduate,Business,Low,Semiurban,Weekly,Online,Grocery
177,Male,36-45,Married,Graduate,Professional,Low,Rural,Monthly,Online,Grocery
178,Male,26-35,Single,Graduate,Business,High,Rural,Monthly,Online,Electronics
179,Male,18-25,Married,Graduate,Business,Medium,Rural,Weekly,Store,Grocery
180,Female,46-55,Single,Postgraduate,Professional,Medium,Urban,Weekly,Online,HomeDecor
181,Female,46-55,Married,Graduate,Professional,High,Urban,Monthly,Store,Grocery
182,Female,26-35,Married,Graduate,Professional,Low,Semiurban,Weekly,Store,HomeDecor
183,Male,26-35,Single,Graduate,Professional,Medium,Rural,Monthly,Online,Fashion
184,Female,36-45,Single,Graduate,Professional,High,Semiurban,Monthly,Store,HomeDecor
185,Male,18-25,Married,Postgraduate,Student,Low,Rural,Monthly,Online,Electronics
186,Female,46-55,Married,Postgraduate,Business,Low,Urban,Monthly,Online,Grocery
187,Female,46-55,Married,Graduate,Professional,Low,Rural,Weekly,Store,Grocery
188,Male,46-55,Married,Postgraduate,Business,High,Rural,Weekly,Online,Electronics
189,Female,36-45,Married,Postgraduate,Student,Low,Rural,Monthly,Online,Electronics
190,Male,26-35,Married,Postgraduate,Business,Medium,Urban,Weekly,Store,Grocery
191,Male,46-55,Married,Postgraduate,Business,High,Rural,Monthly,Store,HomeDecor
192,Male,36-45,Married,Graduate,Professional,High,Semiurban,Weekly,Store,Grocery
193,Male,18-25,Married,Graduate,Business,High,Rural,Monthly,Online,Fashion
194,Male,18-25,Single,Graduate,Professional,Medium,Semiurban,Weekly,Store,Fashion
195,Female,46-55,Single,Graduate,Business,Low,Rural,Monthly,Store,HomeDecor
196,Female,26-35,Married,Postgraduate,Business,Medium,Rural,Monthly,Store,Fashion
197,Male,36-45,Married,Graduate,Professional,Medium,Rural,Weekly,Store,Grocery
198,Female,36-45,Married,Postgraduate,Student,High,Rural,Monthly,Store,Grocery
199,Male,36-45,Single,Postgraduate,Business,Low,Semiurban,Monthly,Store,HomeDecor
200,Male,26-35,Married,Postgraduate,Student,Low,Rural,Weekly,Online,Electronics
201,Male,26-35,Single,Graduate,Professional,Medium,Rural,Monthly,Online,Fashion
202,Male,26-35,Married,Postgraduate,Professional,High,Urban,Monthly,Store,Grocery
203,Male,18-25,Single,Graduate,Student,Medium,Urban,Weekly,Store,HomeDecor
204,Male,36-45,Single,Graduate,Professional,High,Rural,Weekly,Store,Grocery
205,Female,46-55,Single,Postgraduate,Professional,Low,Urban,Monthly,Online,HomeDecor
206,Female,26-35,Single,Postgraduate,Professional,High,Rural,Weekly,Online,HomeDecor
207,Female,36-45,Single,Postgraduate,Business,Low,Urban,Weekly,Store,Grocery
208,Male,18-25,Married,Postgraduate,Student,Medium,Semiurban,Monthly,Store,Electronics
209,Female,36-45,Single,Graduate,Business,Low,Semiurban,Monthly,Online,HomeDecor
210,Female,18-25,Married,Postgraduate,Business,Low,Urban,Weekly,Store,Fashion
211,Female,36-45,Married,Postgraduate,Business,High,Urban,Weekly,Online,HomeDecor
212,Female,18-25,Single,Graduate,Business,High,Urban,Weekly,Online,Grocery
213,Female,18-25,Single,Postgraduate,Student,High,Semiurban,Weekly,Store,Fashion
214,Female,46-55,Single,Postgraduate,Business,Medium,Rural,Weekly,Store,Grocery
215,Male,26-35,Single,Graduate,Professional,Medium,Rural,Weekly,Online,Electronics
216,Female,18-25,Married,Postgraduate,Student,Low,Rural,Monthly,Store,HomeDecor
217,Female,46-55,Married,Graduate,Business,High,Rural,Weekly,Store,Electronics
218,Male,46-55,Single,Graduate,Student,Low,Semiurban,Monthly,Store,HomeDecor
219,Male,26-35,Married,Postgraduate,Student,Medium,Urban,Weekly,Online,HomeDecor
220,Male,26-35,Single,Graduate,Student,High,Urban,Monthly,Online,Fashion
221,Male,46-55,Married,Graduate,Business,Low,Urban,Weekly,Store,Fashion
222,Female,36-45,Single,Postgraduate,Student,High,Rural,Weekly,Store,Grocery
223,Female,18-25,Single,Postgraduate,Business,Medium,Urban,Monthly,Store,Grocery
224,Female,46-55,Single,Postgraduate,Professional,Low,Rural,Monthly,Online,Fashion
225,Female,26-35,Married,Graduate,Business,Medium,Semiurban,Weekly,Store,Fashion
226,Female,26-35,Married,Graduate,Professional,Medium,Urban,Weekly,Online,Grocery
227,Female,18-25,Single,Graduate,Business,High,Rural,Weekly,Store,Fashion
228,Female,36-45,Single,Graduate,Student,High,Urban,Monthly,Online,Fashion
229,Female,26-35,Married,Postgraduate,Professional,Medium,Rural,Monthly,Store,Grocery
230,Female,46-55,Married,Graduate,Business,Medium,Semiurban,Weekly,Store,Grocery
231,Female,18-25,Single,Graduate,Student,Medium,Rural,Monthly,Store,Fashion
232,Male,36-45,Single,Postgraduate,Business,Low,Semiurban,Monthly,Store,HomeDecor
233,Female,46-55,Single,Postgraduate,Student,Low,Rural,Monthly,Online,Electronics
234,Male,18-25,Single,Graduate,Professional,Low,Rural,Weekly,Online,Fashion
235,Male,26-35,Married,Postgraduate,Student,High,Rural,Monthly,Store,Electronics
236,Male,46-55,Single,Graduate,Business,High,Semiurban,Monthly,Online,HomeDecor
237,Male,18-25,Single,Graduate,Student,Low,Rural,Monthly,Store,Grocery
238,Female,18-25,Married,Postgraduate,Professional,High,Urban,Weekly,Store,Electronics
239,Male,18-25,Married,Postgraduate,Professional,High,Semiurban,Weekly,Online,Fashion
240,Male,46-55,Married,Postgraduate,Business,Low,Rural,Weekly,Online,Fashion
241,Female,36-45,Single,Graduate,Business,Medium,Rural,Weekly,Online,Grocery
242,Male,26-35,Single,Postgraduate,Student,Medium,Urban,Weekly,Store,Grocery
243,Female,26-35,Single,Postgraduate,Student,Low,Semiurban,Weekly,Online,Grocery
244,Female,36-45,Single,Postgraduate,Professional,Medium,Urban,Monthly,Store,HomeDecor
245,Male,46-55,Single,Postgraduate,Student,High,Urban,Weekly,Store,Fashion
246,Female,26-35,Married,Postgraduate,Professional,Low,Urban,Weekly,Store,HomeDecor
247,Female,36-45,Single,Graduate,Student,Low,Semiurban,Monthly,Store,Electronics
248,Male,18-25,Married,Graduate,Business,High,Semiurban,Monthly,Online,Grocery
249,Female,46-55,Single,Graduate,Business,High,Urban,Monthly,Online,Fashion
250,Female,36-45,Married,Postgraduate,Student,Low,Urban,Monthly,Store,HomeDecor
251,Female,46-55,Single,Postgraduate,Professional,Low,Rural,Monthly,Online,HomeDecor
252,Male,26-35,Married,Graduate,Professional,Medium,Rural,Monthly,Store,HomeDecor
253,Female,46-55,Single,Postgraduate,Professional,High,Rural,Weekly,Store,Grocery
254,Male,46-55,Married,Postgraduate,Business,High,Rural,Monthly,Online,Grocery
255,Female,36-45,Married,Postgraduate,Student,High,Urban,Weekly,Online,HomeDecor
256,Male,46-55,Married,Graduate,Professional,High,Semiurban,Weekly,Store,Fashion
257,Female,26-35,Married,Postgraduate,Student,Medium,Rural,Monthly,Store,HomeDecor
258,Male,36-45,Single,Graduate,Student,High,Rural,Monthly,Online,Electronics
259,Female,36-45,Married,Graduate,Student,Low,Semiurban,Weekly,Online,HomeDecor
260,Female,46-55,Married,Graduate,Professional,Low,Semiurban,Weekly,Store,HomeDecor
261,Male,18-25,Single,Postgraduate,Professional,Medium,Semiurban,Weekly,Store,Grocery
262,Female,18-25,Married,Postgraduate,Professional,Low,Semiurban,Weekly,Online,Electronics
263,Female,18-25,Single,Graduate,Business,Low,Rural,Weekly,Store,HomeDecor
264,Female,26-35,Married,Graduate,Student,High,Rural,Monthly,Store,Electronics
265,Male,46-55,Married,Postgraduate,Student,High,Urban,Weekly,Store,Electronics
266,Male,26-35,Married,Postgraduate,Student,Medium,Urban,Monthly,Store,Grocery
267,Female,46-55,Single,Postgraduate,Professional,Medium,Rural,Weekly,Store,Electronics
268,Male,36-45,Single,Graduate,Professional,Low,Urban,Monthly,Online,HomeDecor
269,Female,26-35,Married,Postgraduate,Student,Medium,Rural,Weekly,Online,HomeDecor
270,Female,26-35,Single,Postgraduate,Professional,High,Urban,Monthly,Online,HomeDecor
271,Male,26-35,Married,Postgraduate,Professional,High,Semiurban,Monthly,Store,HomeDecor
272,Male,18-25,Single,Graduate,Professional,Low,Semiurban,Weekly,Store,Fashion
273,Female,46-55,Single,Graduate,Professional,High,Semiurban,Weekly,Store,Fashion
274,Female,18-25,Single,Postgraduate,Student,Medium,Semiurban,Monthly,Online,HomeDecor
275,Male,26-35,Single,Postgraduate,Business,High,Rural,Monthly,Online,Fashion
276,Male,26-35,Single,Postgraduate,Business,Medium,Rural,Weekly,Store,Grocery
277,Female,36-45,Single,Graduate,Professional,Low,Semiurban,Weekly,Online,Fashion
278,Male,36-45,Single,Postgraduate,Professional,Low,Rural,Monthly,Store,HomeDecor
279,Female,18-25,Single,Postgraduate,Business,High,Semiurban,Monthly,Store,HomeDecor
280,Female,18-25,Single,Postgraduate,Business,High,Rural,Monthly,Online,HomeDecor
281,Male,46-55,Single,Postgraduate,Professional,Medium,Semiurban,Monthly,Online,HomeDecor
282,Female,18-25,Single,Graduate,Business,Medium,Urban,Weekly,Online,HomeDecor
283,Female,18-25,Married,Graduate,Business,Low,Rural,Monthly,Online,Grocery
284,Male,36-45,Married,Graduate,Professional,High,Rural,Weekly,Online,HomeDecor
285,Female,26-35,Married,Graduate,Business,Low,Urban,Weekly,Store,Electronics
286,Male,26-35,Married,Graduate,Student,High,Semiurban,Weekly,Store,Fashion
287,Female,18-25,Single,Postgraduate,Student,High,Urban,Weekly,Store,Grocery
288,Female,26-35,Married,Graduate,Business,High,Urban,Weekly,Online,Fashion
289,Female,36-45,Single,Graduate,Professional,High,Rural,Monthly,Online,Electronics
290,Male,26-35,Single,Postgraduate,Professional,Medium,Semiurban,Weekly,Online,Grocery
291,Male,26-35,Married,Graduate,Business,Medium,Urban,Weekly,Store,Grocery
292,Male,26-35,Married,Postgraduate,Student,Low,Semiurban,Weekly,Online,Grocery
293,Female,26-35,Married,Postgraduate,Professional,High,Rural,Weekly,Store,Electronics
294,Male,18-25,Single,Postgraduate,Student,Low,Urban,Monthly,Store,HomeDecor
295,Female,46-55,Single,Graduate,Professional,Low,Semiurban,Weekly,Online,Fashion
296,Female,46-55,Single,Postgraduate,Business,Medium,Rural,Weekly,Online,Fashion
297,Male,46-55,Single,Postgraduate,Business,High,Urban,Monthly,Online,Electronics
298,Male,26-35,Single,Graduate,Professional,Medium,Rural,Monthly,Online,Grocery
299,Male,36-45,Single,Graduate,Professional,Medium,Semiurban,Weekly,Store,Electronics
300,Female,46-55,Married,Graduate,Professional,High,Urban,Monthly,Online,Grocery
301,Male,18-25,Single,Graduate,Student,Low,Urban,Weekly,Store,Grocery
302,Female,26-35,Single,Graduate,Business,High,Rural,Monthly,Online,Grocery
303,Male,46-55,Married,Postgraduate,Student,High,Semiurban,Weekly,Online,Fashion
304,Male,18-25,Married,Graduate,Professional,Medium,Semiurban,Monthly,Online,HomeDecor
305,Male,36-45,Single,Postgraduate,Business,Medium,Rural,Weekly,Store,Grocery
306,Female,26-35,Single,Graduate,Student,Medium,Urban,Weekly,Store,Electronics
307,Female,18-25,Married,Postgraduate,Student,Low,Rural,Weekly,Store,HomeDecor
308,Male,26-35,Married,Graduate,Student,Low,Rural,Monthly,Store,HomeDecor
309,Male,18-25,Single,Postgraduate,Student,High,Rural,Weekly,Store,Fashion
310,Male,36-45,Married,Postgraduate,Professional,High,Rural,Monthly,Store,HomeDecor
311,Female,26-35,Single,Graduate,Student,High,Urban,Weekly,Online,Fashion
312,Female,46-55,Married,Postgraduate,Student,High,Semiurban,Weekly,Store,Grocery
313,Female,36-45,Single,Graduate,Student,High,Semiurban,Weekly,Online,Grocery
314,Male,18-25,Single,Postgraduate,Professional,High,Urban,Monthly,Store,Fashion
315,Male,46-55,Married,Graduate,Student,Medium,Urban,Weekly,Online,Electronics
316,Male,26-35,Single,Graduate,Professional,Medium,Rural,Weekly,Store,Electronics
317,Male,18-25,Single,Postgraduate,Student,Low,Semiurban,Weekly,Online,HomeDecor
318,Male,26-35,Married,Postgraduate,Professional,Low,Semiurban,Monthly,Online,Grocery
319,Male,26-35,Married,Postgraduate,Professional,Low,Urban,Weekly,Store,HomeDecor
320,Female,46-55,Single,Graduate,Professional,Medium,Urban,Monthly,Online,Fashion
321,Male,46-55,Married,Postgraduate,Business,Medium,Semiurban,Monthly,Store,Grocery
322,Male,18-25,Married,Graduate,Student,Medium,Urban,Monthly,Store,Fashion
323,Male,18-25,Single,Graduate,Professional,High,Rural,Weekly,Online,HomeDecor
324,Female,26-35,Single,Graduate,Business,Medium,Rural,Monthly,Online,Grocery
325,Male,26-35,Married,Postgraduate,Student,Medium,Urban,Weekly,Online,Fashion
