OrderID,CustomerID,CustomerLatitude,CustomerLongitude,PartnerID,PartnerLatitude,PartnerLongitude,RestaurantID,RestaurantLatitude,RestaurantLongitude,DistanceKM,TrafficLevel,WeatherCondition,PartnerRating,PartnerAvailability,OrderValue,DeliveryTimeMinutes
33,82592,19.911223,75.218191,2542,19.943409,75.238815,673,19.844239,75.151765,4.24,High,Sunny,3.7,Busy,610,23
34,45909,19.860783,75.294497,8419,19.881291,75.269369,914,19.833623,75.284009,3.6,Low,Sunny,3.8,Available,1783,24
35,65771,19.939242,75.386053,9647,19.957346,75.359804,816,19.923278,75.382487,3.54,Low,Sunny,3.4,Busy,784,20
36,71642,19.877386,75.442326,6348,19.879696,75.455266,663,19.908706,75.435053,1.46,Low,Cloudy,4.2,Busy,1135,19
37,20975,19.854801,75.355033,6063,19.832539,75.323845,857,19.848993,75.331569,4.25,Medium,Sunny,4.9,Busy,1324,27
38,45547,19.959513,75.405634,1924,20.004493,75.428206,896,19.977659,75.392553,5.59,Medium,Cloudy,4.1,Available,1115,23
39,71813,19.976616,75.294185,3193,20.001574,75.283484,723,20.029282,75.305238,3.01,Low,Cloudy,3.1,Available,504,19
40,33524,19.924129,75.294463,4636,19.898237,75.264968,664,19.88436,75.25842,4.36,Medium,Sunny,4.3,Available,2242,23
41,17239,19.859528,75.407843,1249,19.840306,75.439482,661,19.934404,75.341988,4.11,High,Sunny,4.2,Available,1352,29
42,63682,19.88986,75.359161,7881,19.895342,75.318261,793,19.926084,75.366752,4.58,Low,Rainy,3.8,Available,2228,28
43,49811,19.943681,75.392229,1137,19.900305,75.346815,683,19.96301,75.367815,6.97,Medium,Rainy,4.2,Available,2258,25
44,51240,19.868504,75.443278,2887,19.878698,75.415663,694,19.919991,75.418491,3.27,Medium,Sunny,3.1,Available,2380,22
45,26907,19.833782,75.325854,3393,19.852821,75.279785,545,19.881688,75.346318,5.53,High,Cloudy,3.3,Available,436,30
46,89714,19.79815,75.292618,2276,19.796602,75.304443,679,19.777176,75.286624,1.32,Low,Cloudy,3.1,Available,1130,10
47,15122,19.867686,75.333028,2646,19.828403,75.327769,906,19.872905,75.291823,4.4,Low,Rainy,3.8,Available,2076,15
48,13596,19.831674,75.362206,7168,19.829632,75.370626,567,19.869566,75.371445,0.96,Low,Rainy,3.8,Available,1405,13
49,58447,19.831902,75.446629,2761,19.842479,75.420352,942,19.768187,75.391086,3.14,High,Cloudy,3.4,Available,1730,20
50,38746,19.937927,75.264476,9195,19.905016,75.28134,834,20.006627,75.273558,4.1,Medium,Rainy,4.7,Available,1533,26
51,52101,19.919337,75.33246,9915,19.94006,75.359238,724,19.853303,75.333437,3.76,High,Sunny,4.1,Available,789,31
52,19865,19.824141,75.402469,3219,19.799605,75.420619,885,19.865777,75.417771,3.39,Medium,Rainy,4.6,Available,1704,10
53,22219,19.778588,75.382717,1235,19.822422,75.35084,933,19.709227,75.421296,6.02,Medium,Sunny,3.3,Available,2417,30
54,25524,19.895764,75.426967,3898,19.877384,75.435798,878,19.925041,75.419279,2.26,Medium,Rainy,4.2,Available,674,19
55,28574,19.956902,75.295973,3712,19.961257,75.33662,644,19.97678,75.234677,4.54,Medium,Rainy,4.3,Available,1571,32
56,10922,19.784885,75.277931,1419,19.759734,75.302326,656,19.71025,75.289113,3.89,Medium,Sunny,4.8,Available,2032,21
57,33710,19.779322,75.299322,7371,19.809052,75.264314,864,19.736002,75.334882,5.1,Medium,Rainy,4.3,Available,893,21
58,87834,19.816224,75.353738,7166,19.857409,75.31765,802,19.752351,75.3147,6.08,High,Sunny,4.8,Available,703,22
59,75310,19.919382,75.433592,7024,19.961939,75.428676,550,19.8575,75.511167,4.76,Medium,Cloudy,4.7,Available,666,26
60,21694,19.827095,75.400713,8112,19.777558,75.384063,808,19.810802,75.406696,5.8,High,Cloudy,3.7,Available,517,20
61,46368,19.757555,75.428187,7783,19.732378,75.43595,926,19.704037,75.353608,2.92,Low,Sunny,4.6,Available,2303,19
62,80480,19.87818,75.415158,4432,19.881687,75.383604,676,19.846115,75.384748,3.52,Medium,Rainy,3.9,Available,2179,13
63,12717,19.858575,75.34121,5524,19.815146,75.368763,976,19.851101,75.345112,5.71,Low,Cloudy,4.0,Available,2020,24
64,58770,19.956409,75.331645,5873,19.986484,75.379538,957,20.010775,75.390364,6.28,Low,Sunny,3.4,Available,1890,27
65,84055,19.933981,75.244636,8221,19.949256,75.218454,748,19.869892,75.203544,3.36,Medium,Cloudy,4.7,Available,264,18
66,76358,19.75299,75.221377,1943,19.723779,75.17403,965,19.70202,75.234664,6.18,Medium,Cloudy,4.8,Available,845,23
67,25358,19.885768,75.267016,2409,19.898183,75.257957,694,19.894096,75.256796,1.71,High,Cloudy,4.5,Available,2206,15
68,61920,19.811796,75.335409,4186,19.825144,75.311198,708,19.754093,75.388998,3.07,Medium,Cloudy,4.8,Available,904,19
69,91994,19.871822,75.403764,7981,19.871631,75.360482,645,19.856662,75.403358,4.8,High,Sunny,3.0,Available,745,19
70,56828,19.790335,75.428603,7136,19.782212,75.416917,808,19.793362,75.356118,1.58,Medium,Rainy,3.4,Available,1494,18
71,88617,19.942528,75.309298,5124,19.984079,75.331451,648,19.960193,75.381187,5.23,High,Rainy,4.9,Available,1412,27
72,77298,19.785575,75.355833,8101,19.782999,75.340271,864,19.761821,75.34188,1.75,Low,Rainy,4.2,Available,230,6
73,38145,19.90978,75.268036,2252,19.918803,75.254133,607,19.844433,75.334806,1.84,Low,Sunny,4.9,Available,111,20
74,81431,19.90152,75.373069,3708,19.93644,75.348036,580,19.899828,75.328463,4.77,Medium,Sunny,4.9,Available,877,24
75,39711,19.791532,75.341986,5806,19.833081,75.295381,900,19.823119,75.309562,6.93,Medium,Rainy,4.9,Available,1089,30
76,27850,19.758512,75.349067,4561,19.731513,75.311124,602,19.690825,75.380473,5.17,Medium,Rainy,3.8,Available,1472,22
77,25317,19.893955,75.421494,1920,19.905541,75.39479,896,19.817859,75.48071,3.23,Medium,Rainy,4.7,Available,1731,25
78,71916,19.894326,75.418419,9436,19.942734,75.445246,735,19.881169,75.405836,6.14,Low,Sunny,3.5,Available,1265,25
79,34951,19.914577,75.347277,3033,19.892304,75.388311,823,19.841793,75.284792,5.18,Low,Rainy,4.9,Available,1038,26
80,66638,19.891085,75.241758,9202,19.940202,75.214925,561,19.961922,75.265701,6.21,Low,Rainy,4.0,Available,325,28
81,92856,19.830529,75.214461,7402,19.877439,75.25284,875,19.898969,75.293646,6.73,Low,Rainy,3.8,Available,2209,41
82,43660,19.947829,75.314358,5675,19.936946,75.291654,897,19.944097,75.241458,2.79,Medium,Cloudy,4.6,Available,1518,15
83,60106,19.751169,75.373929,8291,19.706047,75.377189,962,19.825109,75.311444,5.02,Low,Sunny,4.7,Available,2371,29
84,11591,19.948833,75.383477,7183,19.950959,75.420293,846,19.908079,75.328652,4.09,Low,Sunny,4.7,Available,1293,22
85,96206,19.793521,75.420409,4738,19.839653,75.416956,921,19.854172,75.341232,5.13,High,Sunny,4.5,Available,688,24
86,97263,19.895317,75.264951,2136,19.908718,75.26895,732,19.940092,75.202068,1.55,Medium,Rainy,4.1,Busy,1535,14
87,36660,19.965563,75.371971,6084,19.922347,75.352067,777,19.998871,75.302747,5.28,Medium,Cloudy,3.7,Available,2357,27
88,97046,19.938948,75.292958,9220,19.970827,75.268209,894,19.859113,75.238388,4.48,Medium,Sunny,4.9,Available,138,20
89,78878,19.818626,75.409987,3844,19.845908,75.382992,656,19.75964,75.468876,4.26,Medium,Sunny,4.9,Available,183,15
90,15626,19.955643,75.257489,8424,19.926953,75.210602,557,19.97991,75.236453,6.1,High,Rainy,4.9,Available,1780,24
91,46444,19.927312,75.411196,4380,19.953414,75.423818,507,19.868311,75.3364,3.22,Medium,Rainy,3.4,Available,2353,27
92,61027,19.796121,75.322899,2763,19.752542,75.331096,508,19.75916,75.370508,4.92,High,Sunny,3.3,Available,2113,32
93,40015,19.888005,75.272916,2389,19.907503,75.308928,994,19.932781,75.199255,4.55,Medium,Rainy,3.2,Available,1795,23
94,58787,19.928435,75.435309,3720,19.885677,75.438733,701,19.98964,75.36851,4.76,Low,Cloudy,3.8,Available,189,22
95,60861,19.788521,75.226142,4041,19.802164,75.24679,605,19.713575,75.295936,2.75,High,Rainy,4.1,Available,1387,18
96,35683,19.768426,75.423704,9442,19.773185,75.455434,882,19.760797,75.446676,3.56,Low,Cloudy,3.9,Available,2234,23
97,11560,19.825674,75.317546,2266,19.850102,75.354729,621,19.815059,75.244532,4.94,Medium,Cloudy,4.4,Available,411,25
98,89561,19.800729,75.3046,9946,19.771087,75.338645,534,19.7486,75.378325,5.01,Medium,Sunny,4.7,Available,1487,25
99,49443,19.874959,75.328499,1955,19.883765,75.281438,651,19.858241,75.345489,5.31,High,Cloudy,4.6,Available,854,29
100,58364,19.94228,75.258948,1529,19.96988,75.249479,539,19.958577,75.280154,3.24,Medium,Cloudy,4.0,Available,652,20
101,45133,19.843155,75.34823,2525,19.851096,75.364492,815,19.778397,75.37257,2.01,Low,Sunny,3.8,Busy,360,21
102,71367,19.803975,75.420927,8062,19.798177,75.404016,802,19.795779,75.448029,1.98,Low,Sunny,3.9,Available,2460,12
103,92495,19.837252,75.351385,8029,19.822925,75.354736,967,19.882338,75.384247,1.63,High,Rainy,4.1,Available,2039,14
104,57614,19.897201,75.256175,1281,19.865202,75.215031,784,19.83373,75.269722,5.79,Medium,Sunny,4.0,Available,225,27
105,55272,19.949621,75.313685,8473,19.951181,75.31257,784,19.976319,75.256029,0.21,Medium,Sunny,3.3,Busy,991,12
106,23669,19.790744,75.373156,5612,19.824556,75.417617,994,19.820064,75.372704,6.2,Low,Cloudy,4.7,Available,687,25
107,60138,19.961296,75.350152,5440,20.005384,75.382836,801,19.988011,75.362502,6.09,Medium,Cloudy,5.0,Available,1708,26
108,95150,19.952059,75.301035,1488,19.934762,75.317794,958,20.001314,75.343001,2.67,Low,Rainy,3.9,Busy,1467,19
109,61924,19.834286,75.299043,4726,19.853833,75.287899,564,19.826077,75.25705,2.5,Low,Rainy,3.5,Available,1061,6
110,16471,19.860212,75.206411,3863,19.844337,75.194431,949,19.844024,75.219239,2.21,High,Rainy,4.5,Busy,990,13
111,68348,19.849098,75.424179,9212,19.806226,75.469645,906,19.873849,75.404991,6.94,Low,Sunny,3.7,Available,2016,33
112,46378,19.874007,75.277827,7894,19.88504,75.299442,655,19.837627,75.263995,2.69,Low,Cloudy,3.4,Available,1162,29
113,82588,19.774582,75.341828,4654,19.750238,75.388121,946,19.771949,75.390787,5.81,Low,Sunny,4.3,Busy,1400,25
114,47384,19.844537,75.409965,1009,19.884539,75.395307,971,19.802436,75.454849,4.73,Medium,Rainy,4.7,Available,245,26
115,91571,19.88492,75.242004,4040,19.908607,75.278284,938,19.839598,75.177318,4.81,Low,Rainy,3.5,Available,1646,21
116,67784,19.977191,75.23411,8421,19.996705,75.224542,908,19.965703,75.268926,2.41,Low,Rainy,5.0,Available,1703,10
117,27625,19.958271,75.393156,2125,19.934761,75.407685,541,19.973591,75.377346,3.07,Low,Rainy,3.7,Available,1904,15
118,20756,19.897239,75.267787,3475,19.90652,75.2858,526,19.854172,75.260884,2.25,Medium,Cloudy,3.1,Available,1332,16
119,19686,19.883509,75.222192,5211,19.929676,75.235688,763,19.924283,75.169468,5.34,Medium,Cloudy,3.8,Busy,756,14
120,82982,19.785056,75.448121,5443,19.827756,75.452117,614,19.839781,75.451474,4.76,Medium,Cloudy,3.2,Available,1284,21
121,86559,19.777059,75.256839,3785,19.761226,75.24493,641,19.75247,75.215088,2.2,Low,Rainy,4.7,Available,1789,18
122,93362,19.882155,75.341644,9597,19.871259,75.341759,926,19.865704,75.348001,1.21,Low,Rainy,4.3,Available,233,26
123,62290,19.824181,75.205723,8693,19.78956,75.178084,572,19.897353,75.21741,4.92,Medium,Sunny,4.2,Available,1412,24
124,41055,19.790213,75.325642,5917,19.780079,75.290279,737,19.769019,75.25655,4.08,Medium,Sunny,3.5,Available,227,26
125,21871,19.951504,75.269438,9734,19.986649,75.219471,833,19.874334,75.285847,6.78,High,Rainy,3.8,Available,2053,26
126,59841,19.976246,75.259795,6175,19.940471,75.221933,962,19.94477,75.195962,5.78,Low,Rainy,3.5,Available,1503,27
127,51779,19.900816,75.412004,4292,19.923248,75.441213,807,19.885584,75.436656,4.09,High,Rainy,4.1,Available,1864,24
128,72646,19.860709,75.204798,5481,19.83669,75.230827,561,19.802647,75.210448,3.93,Low,Sunny,3.0,Available,2485,21
129,57076,19.862206,75.227434,5268,19.867002,75.222872,659,19.917303,75.163127,0.73,Medium,Cloudy,3.3,Available,693,0
130,36035,19.930554,75.423021,4493,19.976087,75.451711,541,19.901019,75.453123,5.97,Low,Sunny,4.7,Available,2379,25
131,38602,19.802202,75.422348,7869,19.797264,75.460594,699,19.739113,75.500472,4.28,High,Sunny,3.1,Available,186,21
132,99570,19.969995,75.384377,3711,19.95532,75.364031,516,19.945948,75.428322,2.78,High,Rainy,3.4,Available,1384,19
133,86295,19.754817,75.220543,6439,19.801603,75.200087,637,19.797893,75.240489,5.67,Medium,Rainy,3.4,Available,1713,31
134,56857,19.817349,75.444993,3196,19.827537,75.453235,663,19.857041,75.494876,1.45,Medium,Rainy,3.1,Available,2330,14
135,55000,19.849378,75.309851,6784,19.860672,75.354159,987,19.807889,75.249291,5.08,High,Cloudy,3.0,Busy,2269,26
136,86272,19.875124,75.359018,5875,19.84723,75.406858,732,19.914835,75.368268,6.15,High,Rainy,3.6,Available,1468,29
137,53541,19.917428,75.226986,8003,19.935958,75.186173,784,19.991849,75.225129,4.98,High,Sunny,3.8,Available,1476,15
138,93986,19.771564,75.344293,1022,19.809278,75.337673,912,19.7173,75.35358,4.25,Low,Sunny,4.8,Available,1606,23
139,31727,19.821514,75.385587,9033,19.853026,75.397085,990,19.851575,75.365629,3.72,Low,Cloudy,4.7,Busy,2356,25
140,46751,19.820289,75.419163,2778,19.869922,75.405994,722,19.812067,75.454694,5.7,Medium,Rainy,3.3,Available,921,32
141,12023,19.756686,75.241721,5966,19.724818,75.230488,904,19.741058,75.301603,3.75,Low,Cloudy,4.4,Available,1178,20
142,75697,19.812059,75.406262,1593,19.811885,75.363968,902,19.741427,75.37974,4.69,Medium,Cloudy,4.4,Available,2166,24
143,67775,19.919166,75.258964,6469,19.906308,75.215218,682,19.967385,75.301618,5.06,Low,Cloudy,4.3,Available,1383,18
144,40254,19.838282,75.342968,3125,19.847059,75.311416,623,19.81624,75.31649,3.64,Low,Rainy,3.0,Busy,2128,20
145,45525,19.929994,75.214034,4920,19.965267,75.186588,864,19.9103,75.207911,4.96,Low,Sunny,3.9,Available,1725,25
146,15105,19.929449,75.201757,3978,19.885177,75.174279,628,19.870465,75.185571,5.78,Low,Sunny,3.1,Available,1465,25
147,84971,19.813391,75.396782,5998,19.860874,75.383903,662,19.802013,75.451948,5.46,Medium,Sunny,4.0,Available,2397,16
148,27073,19.829889,75.424958,5000,19.782071,75.441337,974,19.904032,75.434585,5.61,High,Sunny,3.1,Available,995,30
149,32669,19.975698,75.264133,6432,19.991115,75.233943,664,19.986151,75.258362,3.76,Low,Sunny,4.2,Available,524,17
150,43365,19.87038,75.228692,4062,19.906394,75.250973,788,19.801207,75.261946,4.7,Low,Cloudy,3.2,Available,952,23
151,93457,19.856328,75.302941,4137,19.871425,75.307484,829,19.786292,75.304941,1.75,High,Cloudy,5.0,Available,1059,19
152,84905,19.779038,75.364907,6774,19.7452,75.340456,875,19.8505,75.374536,4.63,Medium,Sunny,3.1,Available,1377,22
153,30354,19.864497,75.226368,8264,19.880175,75.258578,541,19.845364,75.270466,3.98,High,Rainy,3.4,Available,575,17
154,17239,19.841073,75.428773,7710,19.844376,75.394568,892,19.872417,75.475695,3.81,High,Rainy,3.7,Busy,1998,26
155,14135,19.887566,75.208346,7629,19.873935,75.23161,916,19.938826,75.178452,2.99,Medium,Cloudy,4.9,Busy,1647,14
156,64400,19.976345,75.36698,9766,19.989812,75.333575,608,20.037453,75.355378,4.0,High,Rainy,4.4,Available,2343,27
157,34217,19.793105,75.414544,7788,19.825011,75.418623,726,19.826744,75.38484,3.57,High,Cloudy,4.6,Available,1349,21
158,69165,19.775977,75.221795,5079,19.797885,75.213807,776,19.840835,75.260142,2.59,Medium,Cloudy,4.2,Available,995,18
159,91557,19.935425,75.410934,7416,19.910822,75.364046,824,19.973712,75.347949,5.88,High,Rainy,3.3,Busy,223,26
160,97960,19.798908,75.208297,6925,19.779303,75.223613,642,19.869037,75.26769,2.76,High,Sunny,4.6,Available,2357,15
161,60290,19.750043,75.24227,5741,19.739019,75.23022,750,19.70632,75.223328,1.81,Medium,Rainy,3.8,Busy,1630,12
162,33383,19.814409,75.414585,5249,19.793631,75.455662,601,19.855043,75.46337,5.11,Low,Rainy,4.2,Available,1759,24
163,89222,19.950733,75.228145,2531,19.971102,75.232215,774,19.886179,75.186848,2.31,Low,Sunny,4.6,Available,2481,21
164,73095,19.768163,75.259878,4198,19.797621,75.213345,754,19.781412,75.339148,6.11,Medium,Sunny,4.0,Available,1399,36
165,54900,19.91964,75.33131,8851,19.872905,75.368165,916,19.84999,75.404242,6.61,Low,Rainy,3.9,Available,2321,32
166,36649,19.889631,75.357827,7748,19.898801,75.37809,905,19.84762,75.359805,2.47,Medium,Sunny,4.9,Available,2107,24
167,27569,19.976283,75.26724,3394,19.96698,75.306388,938,19.89675,75.193603,4.47,Medium,Cloudy,4.8,Available,461,16
168,15410,19.859086,75.347717,2455,19.862787,75.383131,736,19.787005,75.401048,3.95,Low,Cloudy,3.9,Available,803,21
169,22605,19.964303,75.299254,6482,19.923012,75.310961,809,19.902517,75.27449,4.76,High,Rainy,4.7,Available,1617,20
170,71035,19.952919,75.367736,9210,19.928736,75.385197,831,19.920395,75.402685,3.31,Medium,Sunny,3.0,Available,1466,12
171,62893,19.763691,75.350949,4052,19.78235,75.312398,930,19.745105,75.343947,4.75,Medium,Sunny,3.2,Available,1207,23
172,34306,19.966597,75.367143,3702,19.984464,75.353335,540,19.981583,75.288764,2.51,Medium,Rainy,4.8,Available,1663,21
173,27154,19.777728,75.425613,4155,19.734372,75.42901,953,19.72047,75.347486,4.83,Medium,Rainy,3.9,Available,2098,14
174,82982,19.944489,75.373123,2431,19.937482,75.39042,793,19.90855,75.342133,2.07,Medium,Cloudy,3.9,Available,1574,19
175,94162,19.924651,75.224718,4243,19.963616,75.175949,834,19.903859,75.149105,6.93,Low,Rainy,4.0,Available,106,25
176,50379,19.751543,75.296469,1913,19.780715,75.306068,975,19.687745,75.352011,3.41,Medium,Cloudy,3.9,Available,2000,18
177,52417,19.756333,75.326364,7980,19.802735,75.314785,913,19.682572,75.251317,5.31,High,Cloudy,3.8,Available,2272,16
178,12169,19.969861,75.278492,3172,20.008701,75.288786,536,20.022134,75.355934,4.46,Low,Rainy,4.9,Available,2256,21
179,46575,19.874524,75.238536,8151,19.879895,75.242706,777,19.916428,75.29192,0.75,High,Rainy,3.6,Available,861,11
180,72443,19.878273,75.286819,9491,19.88632,75.250739,638,19.86932,75.307016,4.1,High,Rainy,4.6,Available,2251,19
181,84965,19.796302,75.298784,7905,19.750248,75.296339,774,19.803186,75.255224,5.12,High,Sunny,4.2,Available,2393,26
182,26859,19.906574,75.316696,8684,19.86002,75.363657,964,19.978432,75.31876,7.34,Medium,Rainy,3.6,Available,1710,30
183,38064,19.851481,75.351439,9125,19.893354,75.337666,715,19.887596,75.414551,4.89,High,Cloudy,3.9,Available,1002,30
184,90018,19.808891,75.207698,8742,19.856044,75.179773,793,19.846336,75.249713,6.08,Medium,Sunny,3.1,Busy,1933,27
185,36943,19.938553,75.283352,1276,19.961858,75.28621,963,19.985496,75.361839,2.61,Medium,Cloudy,4.7,Available,678,21
186,96156,19.901464,75.391529,9068,19.936056,75.402889,687,19.835641,75.389549,4.04,Medium,Cloudy,3.8,Available,1481,24
187,76634,19.77553,75.402059,4426,19.820299,75.359291,571,19.848348,75.405671,6.87,Medium,Sunny,4.0,Available,2469,29
188,20350,19.814631,75.400871,3555,19.857554,75.391381,789,19.879609,75.37231,4.88,Low,Rainy,3.5,Available,536,21
189,45596,19.832297,75.361954,2556,19.794589,75.40082,902,19.83279,75.35385,6.01,Medium,Cloudy,3.1,Available,1111,22
190,94227,19.92833,75.267852,2228,19.928,75.246279,558,19.869743,75.288581,2.39,High,Sunny,4.5,Available,1090,12
191,68608,19.760776,75.269042,8161,19.781474,75.225311,848,19.81507,75.189653,5.37,Low,Sunny,3.2,Busy,732,19
192,15793,19.931454,75.422968,5523,19.924836,75.463962,951,19.911825,75.497221,4.61,Low,Sunny,4.4,Available,1028,19
193,54760,19.781997,75.263558,8094,19.819548,75.231839,893,19.746547,75.204294,5.46,High,Sunny,3.6,Available,1846,24
194,27508,19.838578,75.416455,6621,19.836175,75.377553,803,19.860086,75.45978,4.33,Low,Rainy,4.5,Available,496,23
195,36654,19.858625,75.420039,5424,19.830199,75.43782,665,19.875865,75.387287,3.72,High,Cloudy,4.5,Busy,1039,28
196,64336,19.816104,75.291946,9547,19.771913,75.253097,520,19.818642,75.254761,6.53,Low,Cloudy,3.0,Available,1915,25
197,46609,19.968235,75.207855,9016,19.991855,75.190879,855,20.033206,75.170523,3.23,Low,Rainy,4.8,Available,2377,18
198,53791,19.778877,75.204237,3745,19.805893,75.234953,959,19.71811,75.16673,4.54,Low,Sunny,4.5,Available,2159,31
199,56607,19.902492,75.337096,1719,19.940418,75.354654,542,19.910006,75.389858,4.64,High,Sunny,3.6,Available,1182,21
200,12204,19.858882,75.214929,6345,19.876046,75.22315,911,19.937315,75.173194,2.11,Medium,Rainy,4.9,Available,332,15
201,48458,19.782385,75.355603,8659,19.810517,75.363433,698,19.725899,75.405383,3.24,High,Rainy,4.3,Available,1172,18
202,33989,19.912776,75.215551,3606,19.877506,75.166335,658,19.933723,75.207179,6.72,Medium,Sunny,4.9,Available,2162,32
203,94703,19.906313,75.21906,4644,19.883783,75.249757,621,19.899859,75.226512,4.23,Low,Rainy,3.1,Available,1216,27
204,18811,19.978846,75.331808,8888,19.968032,75.347719,739,19.916269,75.353654,2.14,High,Cloudy,4.0,Available,456,16
205,73064,19.766809,75.355586,8186,19.814927,75.324597,970,19.813624,75.42085,6.35,Medium,Sunny,4.9,Available,1029,25
206,18199,19.806888,75.360154,4423,19.823548,75.326424,983,19.817302,75.403614,4.18,Medium,Sunny,4.7,Available,2318,24
207,34532,19.790914,75.328671,3217,19.821742,75.304053,751,19.750243,75.313113,4.38,Low,Sunny,3.2,Available,766,23
208,63574,19.840265,75.388566,4824,19.882108,75.433659,822,19.852605,75.365705,6.83,Medium,Sunny,3.5,Available,1205,33
209,73811,19.957514,75.419339,4008,20.004951,75.372091,613,20.011885,75.459623,7.43,Low,Cloudy,4.9,Available,1872,30
210,66575,19.848325,75.281585,3871,19.882291,75.245966,934,19.837141,75.346186,5.46,Medium,Sunny,3.8,Available,973,19
211,18275,19.797076,75.347783,2422,19.76569,75.330939,741,19.853881,75.300915,3.95,Low,Rainy,3.1,Busy,2020,28
212,55095,19.90057,75.237899,4607,19.938158,75.241808,523,19.865766,75.225936,4.19,Low,Rainy,3.3,Available,924,20
213,42252,19.870177,75.213659,4832,19.917485,75.186272,687,19.838849,75.18229,6.07,High,Rainy,3.1,Available,943,31
