Claim_ID,Age,Annual_Income,Policy_Tenure_Years,Claim_Amount,Number_of_Previous_Claims,Days_to_Report,Policy_Premium,Vehicle_Age,Num_Policy_Changes,Hospitalization_Days,Claim_History,Claim_Type,Incident_Type,Policy_Type,Documentation_Complete,Fraud
CLM000063,38,211521,5.3,13528,1,14,32754,8,1,22,Clean,Life,Damage,Standard,Yes,0
CLM000064,73,171735,8.3,164241,2,52,10557,1,0,18,Minor,Life,Accident,Premium,No,1
CLM000065,23,168861,2.9,53176,2,35,28960,6,0,25,Minor,Life,Theft,Basic,No,0
CLM000066,77,175074,7.3,226707,1,48,31167,7,1,3,Clean,Property,Accident,Standard,Yes,1
CLM000067,63,120893,3.7,136378,1,48,42976,10,1,22,Frequent,Health,Loss,Basic,Yes,1
CLM000068,69,61127,2.6,19545,2,8,30747,11,0,16,Minor,Travel,Damage,Standard,Yes,0
CLM000069,33,125485,7.5,292542,0,32,44336,5,1,10,Minor,Travel,Medical,Basic,No,1
CLM000070,20,102019,12.4,281307,2,42,4980,7,1,4,Minor,Vehicle,Medical,Standard,Yes,1
CLM000071,18,46151,15.8,282402,0,27,4974,7,2,14,Frequent,Property,Loss,Basic,Yes,1
CLM000072,36,123932,14.2,58004,2,25,20812,6,0,10,Minor,Vehicle,Theft,Basic,Yes,1
CLM000073,58,162667,5.1,223467,1,10,31238,18,0,10,Clean,Travel,Accident,Basic,Yes,0
CLM000074,28,170836,2.2,253949,0,40,14892,2,2,1,Minor,Vehicle,Theft,Standard,Yes,1
CLM000075,49,238723,16.4,216480,2,24,46228,4,3,11,Frequent,Property,Theft,Basic,No,1
CLM000076,75,186668,0.2,264156,1,23,47327,19,2,6,Clean,Travel,Damage,Basic,Yes,1
CLM000077,50,222839,11.2,90088,0,33,35893,11,3,18,Frequent,Health,Theft,Basic,Yes,1
CLM000078,34,168661,17.3,278767,2,29,46404,5,0,4,Frequent,Vehicle,Damage,Standard,Yes,1
CLM000079,42,171071,17.9,247662,1,50,18844,12,0,15,Clean,Health,Damage,Standard,Yes,1
CLM000080,38,181661,18.8,205001,0,35,12040,14,0,9,Clean,Property,Medical,Premium,Yes,1
CLM000081,75,169527,3.9,216157,0,15,11879,3,1,28,Minor,Life,Accident,Standard,Yes,0
CLM000082,65,105365,18.3,34244,2,29,7721,8,1,6,Clean,Travel,Loss,Standard,Yes,0
CLM000083,25,61833,2.2,138035,0,11,16416,8,3,26,Clean,Life,Damage,Basic,No,1
CLM000084,35,130817,14.7,226661,3,31,15084,13,0,29,Minor,Vehicle,Damage,Premium,Yes,0
CLM000085,67,61928,14.7,189542,0,28,48116,10,1,28,Clean,Vehicle,Theft,Standard,Yes,0
CLM000086,47,129786,14.0,138806,1,26,30195,2,0,4,Minor,Travel,Accident,Standard,Yes,1
CLM000087,27,52445,1.1,257893,0,33,41860,11,0,16,Frequent,Life,Damage,Standard,Yes,0
CLM000088,67,130937,16.4,258406,0,59,35721,1,0,3,Clean,Property,Theft,Standard,Yes,1
CLM000089,41,60235,12.5,111430,2,51,13379,7,1,2,Minor,Health,Accident,Standard,Yes,1
CLM000090,42,43430,7.6,130046,4,50,44031,13,1,3,Clean,Vehicle,Accident,Standard,No,1
CLM000091,31,205519,9.7,112318,1,0,35968,18,0,20,Clean,Travel,Accident,Premium,Yes,0
CLM000092,60,227525,16.9,244913,1,15,9509,2,2,30,Clean,Life,Accident,Basic,Yes,0
CLM000093,27,188202,6.2,107640,2,12,39804,12,0,29,Clean,Life,Accident,Standard,No,0
CLM000094,45,241204,1.5,163909,1,43,9795,8,0,17,Minor,Property,Accident,Standard,Yes,1
CLM000095,37,136042,7.6,206735,0,57,28835,18,0,26,Minor,Property,Accident,Standard,Yes,1
CLM000096,75,72065,6.5,284179,4,7,9080,16,0,9,Frequent,Health,Theft,Standard,Yes,1
CLM000097,24,223954,8.3,211047,1,48,4690,14,0,5,Clean,Vehicle,Loss,Basic,Yes,1
CLM000098,25,33320,12.3,35838,0,49,24564,2,0,19,Clean,Property,Medical,Standard,Yes,1
CLM000099,23,102175,10.1,254794,0,14,10384,2,3,24,Clean,Property,Damage,Standard,Yes,1
CLM000100,29,59817,9.3,26575,0,15,47762,6,3,22,Clean,Vehicle,Accident,Premium,Yes,0
CLM000101,79,228614,2.3,232404,1,7,30444,7,2,30,Minor,Vehicle,Damage,Standard,Yes,1
CLM000102,43,70007,5.0,19473,3,60,15562,18,4,21,Minor,Vehicle,Damage,Standard,Yes,1
CLM000103,38,34896,2.9,215398,0,23,23068,16,1,17,Clean,Health,Medical,Standard,No,1
CLM000104,71,50584,12.2,12475,2,0,14769,14,0,19,Minor,Property,Accident,Standard,Yes,1
CLM000105,29,92984,16.8,281597,1,33,41363,19,2,11,Minor,Life,Medical,Standard,Yes,1
CLM000106,68,183510,1.1,117791,1,58,30882,13,0,20,Clean,Property,Medical,Standard,No,1
CLM000107,30,77306,13.2,105511,1,50,11280,19,0,10,Clean,Vehicle,Medical,Standard,Yes,1
CLM000108,62,241479,19.8,5743,3,24,16218,17,3,16,Clean,Health,Accident,Standard,Yes,1
CLM000109,64,56360,8.2,33605,5,24,36503,14,1,29,Minor,Vehicle,Loss,Standard,Yes,1
CLM000110,21,69693,16.3,129318,0,24,20607,17,0,11,Frequent,Travel,Loss,Basic,Yes,0
CLM000111,42,229419,4.9,131909,1,59,34301,6,1,22,Clean,Health,Accident,Standard,No,1
CLM000112,20,70533,3.7,117645,2,48,9829,6,0,10,Clean,Travel,Theft,Basic,Yes,1
CLM000113,61,43788,12.0,260753,1,0,41360,3,0,6,Frequent,Health,Damage,Standard,Yes,0
CLM000114,77,219678,19.2,54704,1,22,26854,0,0,27,Clean,Health,Medical,Basic,Yes,1
CLM000115,27,103998,1.3,277677,3,33,27983,7,0,7,Clean,Health,Medical,Basic,Yes,0
CLM000116,39,117371,2.6,46020,1,36,30279,18,3,1,Clean,Vehicle,Accident,Basic,Yes,1
CLM000117,56,213146,5.5,287293,2,10,1167,8,1,25,Minor,Life,Loss,Standard,Yes,1
CLM000118,35,166315,10.7,266230,1,48,8994,0,0,22,Minor,Travel,Theft,Basic,Yes,1
CLM000119,66,67332,17.2,244758,3,23,30609,1,0,27,Clean,Health,Medical,Standard,Yes,1
CLM000120,49,94285,6.4,131792,0,34,9387,17,1,18,Clean,Property,Accident,Premium,Yes,1
CLM000121,34,119042,6.3,155860,0,56,11808,13,0,4,Clean,Property,Loss,Basic,Yes,1
CLM000122,51,100561,16.5,17899,0,59,6564,18,1,23,Clean,Life,Damage,Standard,Yes,0
CLM000123,68,222705,1.8,43230,2,38,26134,5,1,30,Clean,Vehicle,Theft,Standard,No,1
CLM000124,35,160785,5.4,248249,1,2,37832,7,2,18,Clean,Travel,Medical,Basic,Yes,0
CLM000125,68,83967,5.2,248431,1,48,28904,16,1,20,Clean,Health,Medical,Basic,No,1
CLM000126,37,226831,12.8,101507,2,15,34019,18,0,7,Minor,Life,Medical,Premium,No,0
CLM000127,51,122464,8.3,288704,0,0,13772,8,2,14,Clean,Vehicle,Accident,Basic,Yes,0
CLM000128,57,158220,5.8,221084,1,7,7538,8,0,22,Clean,Vehicle,Loss,Basic,No,1
CLM000129,42,120905,4.7,120136,0,14,820,19,1,20,Minor,Travel,Theft,Premium,No,1
CLM000130,35,105670,15.7,258365,1,36,3993,0,0,1,Clean,Vehicle,Medical,Basic,Yes,1
CLM000131,70,87689,16.8,185754,0,54,21581,14,0,5,Clean,Vehicle,Medical,Premium,No,1
CLM000132,48,135888,16.6,257926,0,60,12179,0,0,5,Clean,Vehicle,Theft,Premium,No,1
CLM000133,28,165571,1.4,127070,2,15,44057,9,2,0,Clean,Vehicle,Accident,Standard,Yes,1
CLM000134,35,215264,14.9,297777,1,34,22094,12,1,6,Clean,Travel,Loss,Premium,Yes,1
CLM000135,69,146296,5.7,40042,2,6,34050,2,1,28,Clean,Health,Loss,Basic,Yes,1
CLM000136,38,205602,6.3,271874,2,54,8907,2,0,8,Clean,Life,Theft,Standard,Yes,1
CLM000137,58,150350,4.5,6884,2,1,28129,4,1,14,Clean,Life,Theft,Basic,Yes,0
CLM000138,27,96081,19.3,252896,1,28,3555,16,0,22,Minor,Life,Damage,Premium,Yes,1
CLM000139,60,158864,18.2,174879,0,14,25704,12,1,8,Clean,Health,Theft,Basic,Yes,1
CLM000140,38,229191,5.4,147876,2,59,23244,12,2,11,Clean,Life,Theft,Standard,Yes,1
CLM000141,73,19149,16.6,9149,1,45,39154,7,1,2,Minor,Travel,Damage,Standard,Yes,1
CLM000142,78,216415,4.9,265203,3,16,32498,17,0,29,Clean,Property,Accident,Premium,Yes,0
CLM000143,26,108600,0.4,12563,0,27,25261,17,1,5,Clean,Life,Theft,Standard,Yes,0
CLM000144,19,23997,18.8,292583,2,25,49590,4,0,3,Clean,Life,Loss,Standard,Yes,1
CLM000145,64,214621,1.3,237463,1,29,47885,3,1,8,Clean,Life,Accident,Standard,Yes,0
CLM000146,74,208856,5.6,63285,1,29,20073,16,0,13,Clean,Travel,Medical,Standard,Yes,1
CLM000147,31,223076,7.2,54512,3,22,31722,19,0,25,Frequent,Vehicle,Loss,Premium,Yes,1
CLM000148,61,34538,18.1,54363,1,53,29441,6,0,16,Clean,Vehicle,Medical,Premium,No,0
CLM000149,29,140470,18.4,42733,2,38,39564,18,0,14,Minor,Travel,Theft,Basic,Yes,1
CLM000150,18,29142,5.2,199488,1,30,40661,4,1,23,Minor,Life,Loss,Standard,No,0
CLM000151,26,199180,4.7,220934,0,29,24505,8,2,3,Frequent,Health,Accident,Basic,Yes,1
CLM000152,26,190991,0.2,150987,0,0,13536,19,2,22,Frequent,Travel,Damage,Premium,Yes,0
CLM000153,18,43977,16.0,9934,1,27,43734,18,1,8,Clean,Vehicle,Loss,Standard,Yes,0
CLM000154,77,171460,12.3,219882,1,56,25530,15,0,25,Minor,Life,Damage,Standard,No,0
CLM000155,55,188872,11.0,97728,2,35,20880,1,1,20,Clean,Travel,Medical,Basic,No,0
CLM000156,23,175279,17.6,102823,5,20,5914,2,1,1,Clean,Travel,Damage,Standard,Yes,0
CLM000157,50,188714,18.0,168972,2,53,678,19,1,4,Clean,Property,Theft,Basic,Yes,1
CLM000158,25,194632,14.7,76932,2,33,49430,10,1,5,Minor,Life,Medical,Basic,Yes,1
CLM000159,23,188580,11.8,169867,0,18,15568,13,1,21,Clean,Travel,Accident,Premium,Yes,1
CLM000160,47,85660,11.3,131632,1,26,16342,0,1,5,Frequent,Vehicle,Loss,Basic,Yes,0
CLM000161,40,98154,3.1,116461,2,35,48454,18,1,19,Clean,Life,Damage,Basic,Yes,0
CLM000162,75,191442,2.0,263645,1,55,7841,0,4,29,Clean,Property,Accident,Basic,Yes,1
CLM000163,30,158856,4.2,204326,1,17,33363,16,1,26,Minor,Property,Theft,Premium,Yes,1
CLM000164,38,64943,15.7,238617,1,15,16279,1,2,18,Clean,Travel,Theft,Standard,Yes,1
CLM000165,78,173820,7.5,195640,0,26,37149,14,0,18,Clean,Health,Damage,Premium,Yes,1
CLM000166,63,153912,10.7,216065,0,6,21927,8,2,5,Clean,Vehicle,Damage,Premium,Yes,0
CLM000167,19,131958,4.4,245981,3,2,22289,11,2,18,Frequent,Property,Loss,Standard,Yes,1
CLM000168,44,197682,17.1,179403,1,2,3131,16,0,30,Clean,Vehicle,Loss,Basic,Yes,1
CLM000169,36,182494,1.4,35253,1,49,21443,10,1,11,Minor,Property,Medical,Standard,Yes,1
CLM000170,20,205833,10.2,137324,1,47,34517,16,1,27,Clean,Life,Loss,Standard,Yes,0
CLM000171,72,134740,17.8,130992,0,12,44079,10,3,18,Clean,Travel,Medical,Basic,Yes,0
CLM000172,67,138316,10.2,57657,1,14,1784,17,1,5,Clean,Health,Damage,Standard,Yes,0
CLM000173,45,87931,18.7,151627,1,12,1025,2,0,1,Clean,Health,Loss,Basic,Yes,0
CLM000174,45,122901,11.2,91957,0,9,37369,6,1,2,Frequent,Travel,Medical,Basic,Yes,1
CLM000175,72,20628,1.5,284994,1,48,13733,9,2,6,Clean,Vehicle,Medical,Basic,Yes,1
CLM000176,78,181102,17.8,50799,2,40,15119,17,1,13,Minor,Property,Loss,Premium,Yes,0
CLM000177,38,182354,9.7,128935,2,51,44776,12,2,17,Clean,Vehicle,Medical,Basic,Yes,0
CLM000178,73,153602,17.8,200326,4,16,18737,11,0,21,Clean,Travel,Accident,Standard,Yes,1
CLM000179,30,209797,5.0,28039,2,18,3670,17,0,17,Minor,Vehicle,Loss,Premium,No,0
CLM000180,24,202770,9.8,101252,3,30,33186,12,2,30,Clean,Vehicle,Accident,Premium,Yes,0
CLM000181,21,186385,15.4,244100,1,28,32042,1,0,4,Minor,Property,Damage,Basic,Yes,0
CLM000182,55,235661,6.5,174314,2,9,7561,14,3,9,Clean,Property,Loss,Basic,Yes,0
CLM000183,57,219979,14.1,93635,0,44,4227,5,1,14,Minor,Life,Accident,Standard,No,1
CLM000184,42,66494,11.2,268583,2,54,3770,7,1,9,Frequent,Vehicle,Medical,Standard,No,1
CLM000185,66,112688,12.7,33945,1,13,39367,6,0,25,Frequent,Property,Damage,Basic,Yes,1
CLM000186,37,59821,8.4,29077,0,14,21062,12,1,13,Minor,Property,Theft,Basic,Yes,0
CLM000187,58,43524,17.2,50228,2,37,29469,2,1,18,Clean,Vehicle,Loss,Standard,Yes,0
CLM000188,27,147210,19.2,3294,2,8,14603,0,1,23,Clean,Property,Loss,Basic,No,0
CLM000189,21,78381,19.8,251024,2,29,5012,12,0,5,Minor,Vehicle,Accident,Premium,Yes,1
CLM000190,25,79695,3.7,246946,1,31,7721,11,0,7,Clean,Vehicle,Theft,Standard,Yes,1
CLM000191,22,117085,13.1,127650,0,54,49477,19,0,21,Clean,Property,Accident,Basic,Yes,1
CLM000192,28,80370,6.4,49218,2,59,33260,14,3,3,Clean,Property,Theft,Premium,Yes,1
CLM000193,50,33799,12.9,71864,0,8,48756,2,1,12,Clean,Travel,Damage,Standard,Yes,0
CLM000194,73,57394,0.6,189907,0,2,35131,16,1,18,Minor,Travel,Damage,Standard,Yes,0
CLM000195,22,139174,19.5,132545,3,49,42695,1,3,25,Clean,Property,Theft,Premium,Yes,1
CLM000196,53,66381,10.9,76152,1,38,39701,19,0,27,Clean,Travel,Accident,Basic,Yes,1
CLM000197,50,197443,16.5,66458,3,51,35532,1,1,9,Frequent,Property,Medical,Standard,No,1
CLM000198,78,117390,12.5,35243,1,18,39684,12,0,16,Clean,Life,Theft,Standard,Yes,0
CLM000199,23,238180,19.7,243960,0,8,22209,19,4,24,Frequent,Health,Loss,Standard,No,1
CLM000200,42,85343,11.8,243177,0,35,1973,19,1,14,Minor,Vehicle,Loss,Standard,No,1
CLM000201,54,228506,0.6,269803,3,41,39794,4,0,13,Clean,Vehicle,Accident,Premium,Yes,1
CLM000202,33,192080,17.2,155341,1,2,38770,16,1,13,Clean,Property,Damage,Basic,No,1
CLM000203,61,190569,12.5,176134,0,33,20677,6,0,21,Clean,Life,Theft,Basic,No,1
CLM000204,21,228557,0.9,127894,1,43,21029,10,0,22,Clean,Health,Theft,Basic,Yes,1
CLM000205,78,16637,9.8,111162,0,17,5103,12,2,1,Clean,Life,Loss,Basic,No,1
CLM000206,68,187331,0.6,217259,0,11,9347,9,1,30,Clean,Life,Medical,Premium,Yes,1
CLM000207,40,35074,11.0,51422,2,59,2385,15,1,25,Clean,Health,Loss,Standard,Yes,1
CLM000208,37,154402,8.6,243866,1,33,18577,11,0,3,Clean,Vehicle,Loss,Standard,No,1
CLM000209,32,148747,16.7,278655,2,33,16596,2,1,20,Clean,Travel,Loss,Basic,Yes,0
CLM000210,30,29289,8.6,137853,2,14,13658,2,0,14,Minor,Vehicle,Theft,Standard,No,1
CLM000211,72,66412,4.6,103562,2,31,1031,5,3,2,Minor,Travel,Damage,Premium,Yes,1
CLM000212,51,164881,15.8,237960,0,26,37046,17,0,10,Frequent,Property,Medical,Standard,Yes,1
CLM000213,69,61779,15.6,197356,1,11,13251,8,0,6,Clean,Life,Loss,Standard,Yes,1
CLM000214,32,181120,0.4,228157,0,37,22450,16,0,3,Clean,Health,Theft,Premium,Yes,1
CLM000215,52,228104,12.9,234028,3,51,6169,6,3,30,Minor,Property,Damage,Standard,Yes,1
CLM000216,52,19145,12.9,137904,1,9,41961,14,0,16,Clean,Property,Theft,Standard,Yes,1
CLM000217,67,186577,6.1,158310,1,47,28976,6,0,14,Minor,Health,Medical,Premium,Yes,0
CLM000218,26,93866,18.3,236930,3,24,4839,8,1,29,Minor,Vehicle,Medical,Basic,Yes,1
CLM000219,51,65912,1.4,296301,1,54,11990,19,2,14,Clean,Property,Loss,Standard,Yes,1
CLM000220,36,21810,10.3,114511,1,13,25325,7,0,23,Minor,Life,Theft,Standard,Yes,1
CLM000221,29,84387,7.9,232698,2,44,43940,3,0,20,Clean,Life,Damage,Standard,Yes,1
CLM000222,34,159523,14.4,88754,0,12,35566,16,2,9,Clean,Vehicle,Theft,Standard,Yes,0
CLM000223,27,121531,4.6,63160,0,50,30620,6,1,30,Minor,Travel,Accident,Standard,Yes,1
CLM000224,50,22668,13.9,179651,2,11,49082,6,3,26,Minor,Property,Accident,Standard,No,0
CLM000225,75,204010,7.5,108271,3,40,5287,3,0,3,Clean,Health,Medical,Basic,Yes,1
CLM000226,40,57600,14.9,91144,2,50,14405,12,0,19,Minor,Travel,Damage,Basic,No,1
CLM000227,58,167649,3.8,91923,3,12,48843,2,3,25,Clean,Vehicle,Theft,Basic,Yes,0
CLM000228,48,66294,7.8,281953,1,60,28684,6,3,8,Minor,Travel,Loss,Standard,Yes,1
CLM000229,79,226680,9.2,146992,0,49,35190,14,0,5,Minor,Travel,Damage,Standard,Yes,0
CLM000230,36,65101,12.0,186307,3,46,13508,13,0,20,Minor,Travel,Loss,Standard,Yes,1
CLM000231,76,31669,17.5,79168,1,51,23639,16,1,16,Clean,Travel,Damage,Basic,Yes,1
CLM000232,68,246084,0.9,275527,1,0,37574,12,0,14,Clean,Property,Loss,Standard,No,1
CLM000233,70,110343,11.3,270246,2,23,31806,14,2,26,Clean,Vehicle,Accident,Basic,Yes,1
CLM000234,26,61112,2.4,260136,5,12,25766,12,1,3,Minor,Travel,Accident,Premium,No,1
CLM000235,49,187875,18.4,137168,1,42,44488,8,2,28,Minor,Vehicle,Damage,Premium,Yes,1
CLM000236,29,84274,12.9,227120,0,48,21146,14,0,9,Clean,Vehicle,Theft,Standard,Yes,1
CLM000237,66,245591,17.7,296230,1,0,48917,2,2,13,Clean,Life,Loss,Basic,Yes,1
CLM000238,31,222642,2.5,68179,2,49,14427,19,1,7,Minor,Travel,Accident,Premium,Yes,1
CLM000239,53,53204,3.4,46190,0,29,32851,3,0,27,Minor,Travel,Medical,Premium,Yes,0
CLM000240,47,107987,19.3,65926,2,21,22351,14,0,25,Frequent,Travel,Loss,Standard,Yes,1
CLM000241,58,185390,1.4,134097,1,20,36642,7,3,29,Minor,Health,Damage,Standard,Yes,0
CLM000242,66,30552,11.9,220049,2,19,29515,15,0,15,Frequent,Health,Theft,Standard,Yes,1
CLM000243,59,59818,2.5,158632,1,35,24008,18,0,14,Minor,Property,Damage,Basic,No,1
CLM000244,58,18722,17.4,105033,1,37,8269,9,1,25,Clean,Travel,Theft,Standard,Yes,1
CLM000245,33,24331,12.7,8214,1,24,26573,17,0,3,Clean,Travel,Damage,Premium,Yes,0
CLM000246,72,89437,14.1,133508,4,18,34960,10,1,28,Clean,Travel,Medical,Standard,Yes,1
CLM000247,23,115873,20.0,129613,2,44,25755,13,0,28,Clean,Vehicle,Damage,Standard,No,1
CLM000248,33,21175,1.6,257927,1,28,34506,13,1,19,Minor,Travel,Medical,Basic,No,1
CLM000249,68,148866,4.2,4002,1,5,19407,19,0,12,Minor,Health,Medical,Premium,Yes,0
CLM000250,33,208946,9.2,21948,0,35,29287,13,0,27,Frequent,Property,Theft,Standard,No,0
CLM000251,61,201949,1.1,292352,0,34,29925,12,2,17,Clean,Life,Damage,Standard,Yes,0
CLM000252,57,50710,19.7,108210,1,5,33790,15,0,21,Clean,Property,Loss,Premium,Yes,0
CLM000253,30,37130,10.1,151769,1,52,46219,7,3,9,Minor,Vehicle,Damage,Standard,Yes,1
CLM000254,36,149746,17.6,259378,1,46,24963,18,0,16,Minor,Health,Theft,Basic,No,1
CLM000255,56,48225,12.7,273098,1,15,28401,14,0,24,Clean,Vehicle,Loss,Standard,Yes,1
CLM000256,59,128857,17.1,16741,0,30,41341,3,0,18,Minor,Travel,Loss,Basic,Yes,0
CLM000257,41,114042,4.0,204625,0,23,27894,11,2,22,Minor,Life,Theft,Basic,Yes,1
CLM000258,36,89275,2.6,289576,0,31,6101,15,1,23,Frequent,Health,Loss,Standard,Yes,1
CLM000259,26,206165,5.0,163224,1,44,1212,1,1,18,Clean,Travel,Medical,Standard,Yes,1
CLM000260,52,184279,0.2,102954,0,57,19780,13,0,15,Clean,Travel,Medical,Standard,Yes,0
CLM000261,76,148694,14.3,297470,2,45,8106,11,1,27,Frequent,Health,Loss,Standard,Yes,0
