TransactionID,CustomerAge,TransactionAmount,TransactionType,AccountBalance,LocationRisk,DeviceRisk,TransactionTime,Fraud
39,29,254456.16,POS,268876.36,1,1,12,1
40,68,446034.07,Transfer,437222.39,1,0,14,0
41,50,97701.97,Online,501697.41,1,0,16,0
42,61,470235.25,Online,283162.54,3,0,4,1
43,41,165442.08,POS,966821.54,3,1,20,1
44,49,425583.22,ATM,487853.47,1,0,21,0
45,20,285073.58,ATM,212874.12,2,0,9,0
46,19,161343.13,ATM,698530.66,2,0,9,0
47,72,209948.45,POS,867736.96,3,0,3,1
48,62,97217.55,ATM,703457.04,2,1,22,0
49,32,187853.92,POS,441281.75,2,0,21,0
50,39,125200.66,POS,823487.56,1,0,0,1
51,25,385019.78,ATM,965425.57,1,1,19,1
52,47,270363.5,Transfer,142661.33,1,1,9,1
53,47,20629.65,ATM,274478.09,1,0,4,0
54,43,481327.94,Transfer,431172.9,2,0,0,1
55,64,125196.42,POS,98403.92,1,1,0,1
56,33,258396.46,ATM,556582.28,2,0,11,0
57,43,178050.74,Online,124563.82,1,0,14,0
58,66,155775.51,POS,705139.57,1,0,15,0
59,38,236788.54,Online,467350.44,2,0,21,0
60,22,443351.53,ATM,377739.55,2,0,0,1
61,73,329380.95,ATM,617771.91,3,1,19,1
62,41,338616.45,Transfer,645071.78,1,0,4,1
63,29,193112.71,Online,653227.35,1,0,11,0
64,48,188691.82,Online,98970.75,2,0,7,0
65,46,422453.17,POS,343921.45,1,0,20,0
66,67,314508.53,Online,43990.4,1,1,3,1
67,27,211793.12,ATM,807800.57,3,0,17,1
68,66,388228.84,ATM,867781.02,1,0,22,0
69,30,369980.39,Transfer,107608.25,3,0,15,1
70,42,160092.8,Transfer,104484.96,1,1,18,1
71,29,177517.1,ATM,950311.66,3,0,14,0
72,33,224277.92,Transfer,604428.72,1,0,20,0
73,40,390669.9,Transfer,95750.07,1,0,4,1
74,52,443863.32,Transfer,707302.33,3,0,11,1
75,34,50651.23,Transfer,428961.02,1,0,1,0
76,22,256711.75,POS,986706.38,1,0,19,0
77,34,473629.56,Online,593929.3,1,0,18,0
78,61,279246.28,Transfer,252480.53,1,0,12,0
79,30,202660.52,POS,61021.76,1,0,8,0
80,56,373047.84,Online,241318.94,1,0,23,0
81,50,111875.56,POS,803098.7,3,0,14,0
82,38,21796.05,Online,992999.97,1,0,19,0
83,74,261596.61,Online,220725.06,1,1,21,1
84,71,192162.5,Transfer,50219.15,1,1,7,1
85,55,227882.81,ATM,338981.76,1,0,7,0
86,67,133042.37,Online,974522.83,3,0,16,0
87,26,154832.86,ATM,604767.97,1,0,2,1
88,23,474904.98,ATM,583256.81,3,0,17,1
89,62,82500.65,ATM,379581.05,2,1,16,0
90,28,297105.94,Transfer,396024.5,2,0,0,1
91,51,18507.25,Transfer,277040.04,1,1,16,0
92,22,499858.86,POS,913599.92,1,0,9,0
93,27,188987.49,Online,453291.41,1,1,12,1
94,21,114398.54,Online,758214.14,1,0,6,0
95,43,249132.78,POS,773456.8,1,1,21,1
96,61,280512.89,POS,792858.75,1,0,22,0
97,32,392355.67,POS,705559.37,1,0,1,1
98,55,304083.12,POS,395282.82,1,1,19,1
99,74,257043.35,ATM,910918.92,1,0,16,0
100,22,398256.24,POS,926954.69,1,0,23,0
101,22,490018.28,Online,350676.34,1,0,10,0
102,68,268677.98,Transfer,132405.61,1,0,7,0
103,21,91021.85,ATM,414602.91,3,0,17,0
104,68,20530.22,Online,348357.21,1,0,5,0
105,18,267258.31,ATM,210302.05,1,0,12,0
106,44,19752.14,Online,483739.67,2,0,10,0
107,65,30632.87,POS,868959.6,1,0,19,0
108,32,268341.66,ATM,487100.37,2,0,23,0
109,19,373760.72,POS,152000.4,1,0,22,0
110,63,374833.15,ATM,111636.15,1,0,14,0
111,42,368728.86,ATM,24970.84,1,0,11,0
112,42,445274.59,ATM,476600.09,1,0,17,0
113,64,292141.32,POS,588906.91,2,0,18,0
114,59,141959.58,POS,900149.16,2,0,12,0
115,23,302926.83,Online,12496.69,1,0,15,0
116,21,425423.68,POS,288669.69,1,1,22,1
117,20,262303.24,ATM,698476.66,3,1,19,1
118,45,458706.07,Transfer,817986.71,1,0,18,0
119,74,359256.79,Transfer,573754.63,1,0,5,0
120,43,161907.25,Transfer,203509.39,2,0,0,1
121,43,383912.97,POS,583332.03,1,0,10,0
122,20,26006.59,POS,456996.63,1,0,1,0
123,30,342317.32,ATM,258367.45,2,0,10,0
124,32,235840.94,Transfer,795318.0,1,1,11,1
125,67,62236.18,ATM,990974.83,1,0,0,0
126,57,360826.12,ATM,842619.63,1,0,13,0
127,47,412583.83,Online,815501.85,2,0,3,1
128,42,438612.55,Online,684567.15,1,0,18,0
129,55,269936.55,Transfer,505206.79,1,1,22,1
130,19,271822.08,ATM,232880.26,1,0,2,1
131,24,365301.51,POS,143575.71,2,0,19,0
132,47,446956.9,ATM,997704.15,2,0,22,0
133,50,16862.86,POS,715493.76,1,0,21,0
134,55,268287.03,Transfer,847220.03,1,0,7,0
135,22,243230.11,ATM,723641.31,2,0,18,0
136,53,271407.95,Transfer,601034.22,2,1,7,1
137,55,113752.76,Transfer,464695.77,3,0,12,0
138,57,252993.75,Online,259735.45,2,0,11,0
139,53,459383.39,Online,922886.88,2,0,8,0
140,71,38752.8,POS,934695.18,3,0,13,0
141,54,492422.12,POS,190389.28,2,0,21,0
142,72,113775.07,Transfer,402007.69,1,0,19,0
143,74,2415.55,Online,118695.96,1,1,5,0
144,19,232903.49,Transfer,738813.74,1,0,11,0
145,68,124188.4,Online,500875.93,1,1,16,0
146,46,290336.12,POS,223996.73,1,0,16,0
147,37,229548.6,ATM,417551.0,1,1,16,1
148,24,297732.97,Online,400331.52,1,0,16,0
149,62,188925.2,ATM,567016.93,1,0,14,0
150,67,262242.7,ATM,483682.51,1,0,3,1
151,18,167247.97,Transfer,946384.88,1,0,13,0
152,51,204426.21,Transfer,979036.78,2,1,7,1
153,18,275906.13,Transfer,234919.42,2,0,21,0
154,74,399978.05,Transfer,888023.18,1,0,2,1
155,49,494365.52,ATM,856417.99,2,0,4,1
156,71,102571.65,Transfer,327370.11,1,0,0,1
157,40,424079.23,ATM,185528.26,1,0,1,1
158,18,408740.04,ATM,339186.53,2,0,22,0
159,29,415344.19,Online,412364.59,1,0,11,0
160,52,474231.81,POS,780859.98,1,0,13,0
161,40,399947.64,Online,487354.48,1,0,1,1
162,62,201334.77,Online,143659.29,2,1,12,1
163,51,136226.43,Transfer,823470.96,1,1,8,0
164,55,33680.98,Online,653163.29,2,0,9,0
165,39,68529.13,Online,270165.9,2,0,12,0
166,74,247187.5,POS,914839.89,1,0,13,0
167,19,83225.06,Transfer,188449.07,1,0,20,0
168,28,144418.0,ATM,915936.11,2,0,21,0
169,51,198385.02,ATM,937145.59,2,0,3,1
170,64,131205.8,Transfer,842322.01,2,1,10,0
171,51,311703.94,POS,111065.26,1,0,10,0
172,57,217470.19,Transfer,80553.74,1,0,18,0
173,47,2726.38,ATM,364169.03,1,1,16,0
174,27,345311.06,Online,189207.26,1,1,7,1
175,48,403299.92,Transfer,725482.81,2,1,17,1
176,42,323367.79,Transfer,987729.67,3,0,9,1
177,33,462631.63,Transfer,558027.55,1,0,14,0
178,70,365538.73,Transfer,924774.21,3,1,17,1
179,48,431035.12,Transfer,457867.97,1,0,13,0
180,48,182412.16,ATM,124964.05,1,0,7,0
181,43,362410.91,ATM,574565.62,2,0,21,0
182,42,368954.1,Online,886547.86,2,0,22,0
183,52,435062.43,POS,5236.34,1,0,2,1
184,56,4841.77,Online,768352.35,1,0,15,0
185,73,135916.32,Online,769432.05,1,0,4,1
186,18,119464.7,Transfer,469974.21,1,1,17,0
187,54,21142.39,Online,910787.41,1,0,23,0
188,21,109205.12,POS,798999.38,1,0,6,0
189,73,442111.07,ATM,470064.5,2,0,19,0
190,21,115912.68,ATM,838636.61,1,1,13,0
191,27,23567.98,Online,224383.78,1,0,5,0
192,22,29015.55,Transfer,220242.4,1,0,16,0
193,59,257672.44,POS,697540.51,1,1,5,1
194,30,111986.43,Transfer,39690.83,3,1,10,0
195,58,195645.77,Transfer,133867.35,3,1,11,1
196,59,404777.09,ATM,931931.54,2,0,14,0
197,55,129950.92,Online,53539.66,1,1,15,0
198,30,447250.52,Online,851950.88,1,0,18,0
199,20,173969.82,POS,546060.01,3,0,23,0
200,36,434093.59,ATM,851328.82,3,0,10,1
201,62,348765.98,POS,110304.92,2,0,4,1
202,60,480661.51,Online,34101.05,2,0,10,0
203,70,371779.78,Transfer,6114.51,1,0,11,0
204,56,96647.12,Online,618842.28,3,0,1,0
205,41,409357.84,ATM,111445.74,2,0,1,1
206,45,316347.68,POS,754930.34,2,0,3,1
207,67,473654.21,ATM,709631.23,1,0,0,1
208,39,310495.67,Transfer,853152.59,3,0,11,1
209,53,323822.06,ATM,759471.88,1,0,5,0
210,64,244372.73,Transfer,256246.21,1,0,1,1
211,46,472157.39,Transfer,454130.09,1,0,10,0
212,69,419989.59,Transfer,682096.81,2,0,16,0
213,61,15748.03,Online,943897.84,1,0,5,0
214,36,137180.18,Transfer,315392.23,1,0,1,1
215,52,15663.93,Online,716349.42,1,0,7,0
216,63,101930.25,Online,777713.87,2,1,19,0
217,24,313147.54,ATM,297697.13,3,1,19,1
218,63,231102.44,POS,121721.65,1,0,3,1
219,26,100342.31,Online,165021.34,2,0,1,1
220,41,216680.05,ATM,457944.05,1,0,17,0
221,63,487352.46,POS,295204.27,2,1,5,1
222,58,19905.45,POS,750415.83,1,0,13,0
223,49,9281.98,POS,620064.96,2,0,17,0
224,50,258904.05,Online,883120.82,1,1,21,1
225,56,66444.61,Transfer,204854.79,2,1,9,0
226,72,335225.69,ATM,638248.1,2,0,5,0
227,26,26080.44,ATM,302341.71,3,1,19,0
228,64,407431.07,Transfer,662516.02,1,0,21,0
229,43,240503.83,Transfer,528770.65,2,0,21,0
230,29,123626.91,Online,481882.53,2,0,13,0
231,53,372165.1,Online,790750.01,2,0,17,0
232,23,359628.97,POS,335653.05,1,0,9,0
233,68,340146.1,Online,421307.79,1,1,16,1
234,47,480394.2,POS,743992.99,1,0,11,0
235,37,252471.96,POS,867696.34,1,0,20,0
236,51,243385.8,POS,599734.95,2,0,18,0
237,68,141998.88,Online,214608.88,2,0,14,0
238,50,65870.69,ATM,408283.63,2,0,13,0
239,31,256356.34,Online,855113.17,1,0,14,0
240,31,257457.2,Online,664308.17,1,0,1,1
241,52,328402.66,Transfer,590470.57,1,0,22,0
242,64,117413.55,POS,78129.26,1,0,9,0
243,29,414458.79,Online,452186.67,1,1,21,1
244,37,189741.36,Transfer,737720.0,2,0,16,0
245,73,402854.51,ATM,864895.1,1,0,19,0
246,67,493347.82,Online,533513.68,3,0,22,1
247,52,226154.29,Online,93112.81,1,0,11,0
248,59,198749.76,POS,965293.1,1,1,17,1
249,46,433972.36,Transfer,257953.46,1,0,5,0
250,37,62958.18,POS,311390.29,2,0,22,0
251,25,484959.03,Online,732175.33,1,0,14,0
252,39,127727.73,Online,838924.71,3,0,17,0
253,35,308961.84,ATM,865285.79,2,0,13,0
254,21,338289.04,Transfer,941170.98,2,0,8,0
255,43,174351.98,POS,999416.66,1,1,8,1
256,42,435389.65,Online,95029.29,1,0,1,1
257,55,163583.88,POS,440981.48,3,1,22,1
258,36,434463.42,Online,124608.01,1,0,14,0
259,18,183294.12,Transfer,565621.73,1,0,0,1
260,66,272888.88,Transfer,231133.28,1,0,13,0
261,31,309783.22,POS,502943.08,1,1,1,1
262,23,457126.83,Online,344541.59,1,0,4,1
263,32,266847.91,Transfer,397393.5,1,0,11,0
264,60,9214.47,Transfer,433707.78,3,0,14,0
265,42,327381.07,Transfer,64966.05,3,0,1,1
266,31,242987.29,ATM,525469.3,2,1,2,1
267,25,155722.72,ATM,719047.61,1,1,10,1
268,24,340590.82,POS,800782.19,1,0,16,0
269,59,92695.7,ATM,963112.24,1,1,0,0
270,61,21801.93,POS,116742.82,1,0,20,0
271,39,296809.93,POS,215984.62,2,0,9,0
272,25,384995.36,Online,240686.21,2,0,18,0
273,53,211926.75,POS,810482.33,2,0,22,0
274,67,76576.6,Online,738189.38,3,0,16,0
275,39,11916.93,Transfer,234094.94,1,0,8,0
276,31,316044.54,Online,499283.02,3,0,20,1
277,35,202218.95,POS,448561.96,2,0,23,0
278,63,52144.41,POS,340541.0,3,0,3,0
279,57,322680.39,ATM,195907.99,1,0,8,0
280,56,34804.98,Online,832703.8,2,0,20,0
281,25,440051.54,POS,681731.27,1,0,21,0
282,23,26264.2,ATM,663529.99,1,0,19,0
283,25,290279.46,POS,957837.16,1,0,22,0
284,33,204797.98,POS,453119.08,2,0,11,0
285,25,397745.44,ATM,385613.65,1,1,21,1
286,22,368616.39,ATM,542257.34,2,0,5,0
287,39,44653.3,Transfer,865362.76,2,0,19,0
288,51,31648.21,ATM,306612.71,1,0,20,0
289,19,468485.22,Online,512175.63,2,0,3,1
290,35,257888.15,Transfer,787344.58,1,0,19,0
291,59,250626.38,Online,120784.57,2,0,23,0
292,59,434041.54,POS,145571.66,1,1,14,1
293,38,11544.62,Transfer,696476.33,1,1,9,0
294,42,287624.16,Online,862704.41,3,0,13,1
295,33,382428.42,Online,320943.79,3,1,12,1
296,70,60968.78,Online,30682.85,1,1,11,0
297,49,61105.32,ATM,315257.05,1,0,5,0
298,49,108097.49,POS,604540.4,1,0,4,1
299,36,95972.05,Online,62872.98,3,0,23,0
300,32,491841.09,Transfer,174811.43,1,0,13,0
301,68,88965.42,ATM,66980.34,1,1,16,0
302,54,307648.2,ATM,177883.83,2,1,17,1
303,54,443313.45,POS,655805.42,1,0,21,0
304,31,88525.88,Online,770458.37,1,0,20,0
305,71,395189.83,Online,761488.37,1,0,0,1
306,30,6159.18,POS,631152.31,1,0,3,0
307,34,54957.13,ATM,647859.67,1,0,20,0
308,43,63687.16,POS,328052.55,2,0,8,0
309,46,197298.69,POS,395431.75,3,0,16,0
310,73,157771.91,Online,809839.04,1,0,17,0
311,57,230792.58,Transfer,497974.84,1,0,16,0
312,32,444706.52,Transfer,520815.98,1,0,0,1
313,40,340145.87,Online,42831.74,2,0,18,0
314,41,52773.23,Online,956718.89,2,0,13,0
315,53,174916.64,Transfer,942603.81,2,0,4,1
316,22,330185.33,ATM,73369.27,1,0,15,0
317,45,449460.52,ATM,770377.03,2,0,17,0
318,20,60781.07,POS,264409.73,1,1,22,0
319,67,161175.53,ATM,296357.93,3,0,20,0
320,49,374061.78,ATM,618417.23,1,0,16,0
321,57,299305.93,Online,375306.19,1,0,17,0
322,39,136968.27,ATM,125893.87,1,1,23,0
323,38,143024.8,ATM,320337.86,3,0,14,0
324,35,318071.77,POS,463236.8,2,0,6,0
325,40,328115.3,Transfer,323459.53,2,0,12,0
326,35,54061.06,Online,727350.01,2,0,18,0
327,40,420367.44,Online,416349.37,2,0,2,1
328,71,282554.49,Online,98288.14,1,1,4,1
329,64,80508.0,POS,14284.96,1,0,0,0
330,21,49679.13,ATM,880417.4,2,0,20,0
331,63,308031.13,Transfer,689444.69,1,0,3,1
332,39,424039.09,POS,40134.8,2,0,1,1
333,70,184033.58,Transfer,757483.33,2,0,18,0
334,54,62444.56,Transfer,451367.58,2,1,2,0
335,43,195823.7,Online,6870.48,1,0,13,0
336,21,90741.51,Online,97525.69,1,0,13,0
337,20,32520.31,ATM,229311.56,2,0,23,0
338,51,299724.55,Transfer,273471.62,2,0,13,0
339,36,29369.61,Online,747195.58,3,0,3,0
340,36,220155.48,ATM,126764.87,2,0,19,0
341,66,299152.82,Transfer,767755.58,2,0,0,1
342,34,318812.88,ATM,786723.36,1,0,13,0
343,28,370019.19,POS,589830.51,1,0,17,0
344,20,13195.73,Online,587881.1,1,0,12,0
345,68,470345.55,POS,853464.38,1,0,4,1
346,37,401341.39,POS,937666.53,2,0,6,0
347,56,248280.93,Online,781312.0,1,0,13,0
348,61,67763.51,Transfer,923009.94,1,0,23,0
349,61,22392.99,POS,265397.16,1,1,23,0
350,27,136047.67,POS,431742.44,2,0,8,0
351,62,426559.5,Transfer,67339.94,3,0,3,1
352,67,205606.69,Transfer,90992.49,1,0,10,0
353,37,64081.31,ATM,937138.35,1,0,13,0
354,74,247291.12,Online,260247.41,2,0,23,0
355,66,232019.85,Online,947300.81,3,0,0,1
356,67,360032.02,Transfer,254711.83,3,0,16,1
357,41,57472.96,POS,406957.99,1,0,16,0
358,34,306488.79,POS,461009.14,1,0,1,1
359,39,425002.69,POS,102074.7,3,0,6,1
360,39,145364.72,Transfer,514940.14,2,0,18,0
361,66,100761.75,Transfer,872775.02,1,0,19,0
362,39,9071.04,ATM,878440.93,3,1,8,0
363,57,492496.33,POS,560190.84,1,0,2,1
364,25,141287.21,POS,500323.45,1,0,17,0
365,60,387828.36,Transfer,199631.23,1,0,8,0
366,53,138293.2,ATM,798924.59,1,1,7,0
367,35,79061.62,ATM,560031.09,1,0,12,0
368,20,448603.45,Transfer,983603.87,1,0,7,0
369,54,366344.35,ATM,156343.76,1,0,21,0
370,36,441219.94,ATM,741031.68,1,1,12,1
371,72,61304.71,POS,636497.92,1,1,22,0
372,44,343461.81,Transfer,529762.62,2,1,4,1
373,52,93787.23,Online,300007.33,3,0,11,0
374,74,235636.83,Transfer,653409.58,1,0,21,0
375,20,439922.97,POS,177892.79,2,1,0,1
376,38,210117.35,POS,351201.7,1,0,22,0
377,65,288667.14,Online,842240.32,1,1,2,1
378,50,63219.74,ATM,110812.01,1,0,14,0
379,56,83649.29,ATM,231043.66,2,0,2,0
380,21,433206.62,Transfer,308784.12,1,0,20,0
381,70,326616.08,POS,904089.81,1,1,12,1
382,32,130217.4,Online,874855.59,1,0,1,1
383,73,189813.5,POS,865240.79,1,0,13,0
384,37,9098.24,ATM,741204.6,3,0,15,0
385,74,146179.89,Transfer,826908.86,2,1,12,0
386,24,310710.11,Online,308227.34,2,0,14,0
387,69,56378.94,POS,124645.99,1,0,8,0
388,50,234437.11,Online,825412.13,1,0,13,0
389,47,299444.27,Transfer,903380.52,3,0,13,1
390,39,446162.02,Transfer,628045.29,1,1,15,1
391,47,214648.38,Transfer,995460.33,3,0,4,1
392,65,415703.62,Transfer,490932.76,2,0,8,0
393,21,434288.9,POS,879584.01,1,0,14,0
394,57,158541.6,ATM,467111.07,1,0,19,0
395,46,85373.9,Online,633151.02,1,0,3,0
396,72,256230.65,ATM,238013.52,2,1,11,1
397,19,135857.23,Transfer,744875.95,1,0,5,0
398,39,127270.35,Online,44567.14,2,1,18,0
399,59,485769.19,Online,475606.49,2,0,15,0
400,62,237196.78,Online,518989.77,1,0,7,0
401,60,421977.91,Online,342166.35,2,0,9,0
402,60,22289.45,Online,400029.97,1,0,23,0
403,38,172677.05,Transfer,576905.66,1,0,13,0
404,36,225353.45,Transfer,278357.87,1,0,11,0
405,25,453814.74,Online,261882.39,2,0,6,0
406,45,410617.02,ATM,863566.1,1,0,14,0
407,40,20375.31,ATM,688156.96,1,0,3,0
408,35,46233.17,Transfer,421853.05,2,0,18,0
409,32,374950.4,POS,670229.78,2,0,10,0
410,30,5164.58,POS,143176.97,1,0,2,0
411,37,318974.76,Online,902941.04,1,0,7,0
412,19,5952.13,POS,534830.24,1,0,14,0
413,43,455076.3,POS,560849.18,1,0,5,0
414,45,193757.55,Transfer,432781.42,2,0,20,0
415,55,394513.68,ATM,230147.71,1,0,11,0
416,32,379699.58,Transfer,322272.48,1,0,21,0
417,53,196547.82,ATM,377680.12,1,0,3,1
418,54,445059.51,Online,946911.21,1,0,17,0
419,45,3454.52,Transfer,76353.33,1,0,5,0
420,22,265589.56,ATM,221803.09,3,0,3,1
421,66,70362.43,Online,232344.31,3,0,12,0
422,21,49741.17,POS,35801.01,1,0,17,0
423,23,378131.19,Transfer,490411.94,1,1,4,1
424,59,187464.3,Transfer,888961.65,2,1,16,1
425,46,144273.88,Transfer,155826.37,1,1,21,0
426,21,490056.49,Online,555942.93,1,0,22,0
427,68,178157.2,POS,263038.22,1,0,13,0
428,61,117595.1,Transfer,559920.28,1,0,23,0
429,52,75345.69,POS,491453.34,1,1,17,0
430,57,162978.98,ATM,622557.18,1,0,4,1
431,34,355471.27,POS,231610.99,3,1,10,1
432,71,266739.98,ATM,42791.66,2,0,4,1
433,34,340409.87,Online,877705.13,3,0,18,1
434,43,490495.59,ATM,755848.12,1,0,3,1
435,55,261269.83,POS,762989.2,1,0,18,0
436,67,362885.66,Online,980835.65,1,1,14,1
437,21,403314.01,Transfer,204472.14,1,1,16,1
438,34,423499.73,ATM,244180.48,1,0,4,1
439,30,485769.37,Online,926750.69,1,0,21,0
440,60,436036.96,POS,138762.95,1,0,1,1
441,58,139452.06,ATM,530935.22,2,1,17,0
442,25,497324.86,ATM,298146.3,1,0,4,1
443,18,34607.87,Online,754660.78,2,0,0,0
444,53,350047.13,Transfer,93161.69,1,0,3,1
445,47,12346.77,Transfer,352076.43,1,1,12,0
446,49,36251.01,Online,105436.49,3,0,16,0
447,72,421053.01,ATM,708551.04,1,0,12,0
448,73,147715.72,ATM,864083.76,1,0,23,0
449,72,453064.89,Online,585341.2,2,0,20,0
450,30,301786.2,Online,419040.82,2,0,22,0
451,40,433480.04,POS,587935.46,2,0,17,0
452,31,231640.04,POS,823422.12,2,0,3,1
453,30,458404.17,ATM,275052.33,1,0,17,0
454,73,314815.89,Transfer,275189.31,1,0,16,0
455,46,23521.27,ATM,595518.33,3,0,7,0
456,58,170251.34,ATM,742199.54,1,0,0,1
457,60,135269.6,Transfer,867215.24,1,1,18,0
458,30,211250.02,POS,380431.46,3,0,22,1
459,43,282358.06,ATM,634548.32,2,0,22,0
460,38,356551.72,Online,186893.2,1,0,3,1
461,64,471996.75,Online,109838.1,2,0,9,0
462,34,180089.23,ATM,388194.52,3,0,15,0
463,35,317248.63,Transfer,372964.19,1,0,17,0
464,54,411107.73,Transfer,721055.55,1,1,21,1
465,73,323891.81,ATM,679424.13,2,0,23,0
466,25,325854.72,POS,738411.07,3,0,7,1
467,71,99687.72,ATM,89914.63,1,0,16,0
468,71,391029.47,Online,271254.71,2,0,4,1
469,55,168739.04,POS,710836.05,3,0,2,1
470,64,165188.37,ATM,597156.02,1,0,3,1
471,43,338803.38,ATM,457644.3,1,0,11,0
472,44,287720.17,POS,771307.42,2,0,5,0
473,24,8874.43,Online,345094.69,2,0,11,0
474,33,284089.45,Online,648226.45,3,1,8,1
475,49,449290.45,Online,608115.83,1,0,3,1
476,57,32940.86,Online,937691.55,2,0,22,0
477,61,29016.44,POS,990257.85,1,0,19,0
478,67,322331.13,ATM,80227.02,1,0,11,0
479,24,70487.39,POS,847958.47,1,0,12,0
480,70,263679.86,ATM,391224.88,2,0,16,0
481,64,458751.17,ATM,726356.26,1,0,13,0
482,67,345079.27,POS,12802.38,2,0,21,0
483,50,478971.27,Transfer,762282.86,1,1,13,1
484,22,310492.2,POS,807930.66,1,0,12,0
485,48,22045.58,POS,864641.77,1,1,11,0
486,50,68585.83,Transfer,794177.16,3,0,5,0
487,58,98543.16,Transfer,500744.82,1,1,11,0
488,28,229535.84,POS,595593.13,1,0,5,0
489,21,414712.87,Online,908359.3,3,1,20,1
490,33,488656.22,Transfer,395829.81,3,0,3,1
491,64,116096.71,Transfer,668267.48,1,0,21,0
492,46,249497.94,Online,836230.79,2,0,9,0
493,60,23123.76,POS,325061.64,2,0,21,0
494,54,122979.14,Online,483485.7,2,0,8,0
495,71,198978.53,Transfer,955072.76,1,0,6,0
496,66,317758.28,ATM,755493.65,3,1,13,1
497,34,393795.79,ATM,389391.56,1,0,0,1
498,67,451127.98,POS,918647.89,1,0,10,0
499,58,19561.09,POS,956538.49,1,0,8,0
500,46,215747.19,ATM,439431.12,1,0,18,0
501,36,71992.79,Transfer,894623.83,3,1,20,0
502,31,390204.71,POS,889442.99,1,0,7,0
503,58,147917.77,ATM,855755.05,1,0,3,1
504,32,439760.34,Online,412365.01,2,1,3,1
505,51,386975.72,ATM,656377.43,1,1,22,1
506,70,141307.97,Transfer,931354.92,1,0,8,0
507,74,295256.5,ATM,524897.63,1,1,6,1
508,56,152168.94,Online,440294.52,3,0,3,1
509,45,155111.26,Transfer,664731.96,2,1,22,1
510,67,448030.8,Online,714058.23,2,0,15,0
511,64,403366.09,Transfer,224385.99,2,0,7,0
512,66,190406.77,Transfer,546774.47,2,0,8,0
513,34,476115.67,POS,484458.14,1,1,14,1
514,42,65057.69,Online,107003.38,1,0,3,0
515,34,466469.14,ATM,163229.88,1,0,5,0
516,18,61103.04,POS,730336.16,3,0,8,0
517,46,71171.01,POS,338932.4,3,1,16,0
518,29,335560.54,Online,947355.21,1,0,14,0
519,53,393124.21,ATM,907039.35,1,0,2,1
520,57,398793.93,Online,970405.82,1,0,18,0
521,23,273260.52,Online,543030.89,1,0,15,0
522,23,59334.33,ATM,801003.46,1,0,10,0
523,27,404414.11,Transfer,313238.92,1,1,18,1
524,74,398361.03,Transfer,316298.85,3,1,22,1
525,36,314033.89,ATM,675649.82,1,0,20,0
526,28,95794.7,ATM,623185.99,1,0,13,0
527,22,34269.76,Transfer,359075.49,1,0,21,0
528,22,36148.34,POS,377051.44,3,0,21,0
529,24,316177.85,POS,782090.91,2,0,19,0
530,46,162694.43,Transfer,434858.83,3,0,9,0
531,34,51650.37,POS,117736.99,1,0,19,0
532,58,102299.84,Online,400624.32,1,0,2,1
533,33,315387.17,ATM,658472.28,3,0,6,1
534,44,37884.25,POS,72992.43,1,0,18,0
535,37,46138.42,POS,271065.02,1,1,14,0
536,44,338045.54,Online,673695.76,1,0,1,1
537,46,87123.43,Transfer,110376.28,1,1,21,0
538,68,441508.61,Transfer,773439.51,2,0,12,0
