HospitalID,HospitalName,City,HospitalType,DistanceKM,Rating,AvailableBeds,EmergencyAvailable,ConsultationFee
44,Hospital_44,Nagpur,General,12.32,2.7,18,No,288
45,Hospital_45,Pune,Emergency,23.44,3.8,139,Yes,566
46,Hospital_46,Mumbai,Multi-Speciality,6.66,2.9,107,Yes,224
47,Hospital_47,Kolhapur,Children,10.34,3.1,73,Yes,1736
48,Hospital_48,Nagpur,Multi-Speciality,19.31,4.4,409,No,1311
49,Hospital_49,Nagpur,General,13.42,4.9,196,No,1746
50,Hospital_50,Pune,General,11.11,4.4,412,Yes,1041
51,Hospital_51,Kolhapur,Children,13.67,3.5,437,Yes,1975
52,Hospital_52,Kolhapur,Orthopedic,6.74,3.5,432,No,709
53,Hospital_53,Kolhapur,Orthopedic,11.76,4.8,33,No,768
54,Hospital_54,Aurangabad,General,10.27,5.0,145,No,504
55,Hospital_55,Mumbai,Cardiac,12.88,4.3,344,No,1497
56,Hospital_56,Mumbai,General,11.22,3.0,193,No,242
57,Hospital_57,Aurangabad,General,22.36,4.3,13,Yes,273
58,Hospital_58,Mumbai,Multi-Speciality,22.62,4.2,225,Yes,456
59,Hospital_59,Mumbai,Children,2.54,3.3,371,Yes,221
60,Hospital_60,Nashik,Children,11.68,2.7,118,Yes,1558
61,Hospital_61,Nagpur,Multi-Speciality,2.38,3.8,346,No,1178
62,Hospital_62,Thane,Children,6.68,2.9,130,Yes,823
63,Hospital_63,Pune,Orthopedic,21.37,3.5,56,No,1096
64,Hospital_64,Kolhapur,Multi-Speciality,13.9,2.9,288,Yes,265
65,Hospital_65,Aurangabad,Multi-Speciality,18.2,2.7,243,Yes,1204
66,Hospital_66,Aurangabad,Orthopedic,23.55,5.0,212,Yes,1730
67,Hospital_67,Aurangabad,Orthopedic,22.88,3.4,19,No,1364
68,Hospital_68,Pune,General,24.41,5.0,138,No,1106
69,Hospital_69,Pune,General,16.06,3.9,472,Yes,248
70,Hospital_70,Nagpur,General,1.1,2.6,231,Yes,1092
71,Hospital_71,Pune,General,20.31,4.5,257,No,1356
72,Hospital_72,Mumbai,General,24.96,4.2,409,No,965
73,Hospital_73,Aurangabad,Orthopedic,12.79,3.0,212,No,1760
74,Hospital_74,Thane,Emergency,6.41,4.8,227,Yes,1457
75,Hospital_75,Mumbai,Orthopedic,23.84,4.8,402,No,1953
76,Hospital_76,Pune,Children,13.77,3.0,299,No,1184
77,Hospital_77,Pune,General,19.79,3.1,430,No,1491
78,Hospital_78,Thane,Emergency,21.55,4.3,315,No,456
79,Hospital_79,Pune,Orthopedic,5.3,4.2,394,Yes,676
80,Hospital_80,Pune,Orthopedic,16.86,2.5,237,Yes,1292
81,Hospital_81,Mumbai,Orthopedic,10.4,4.9,221,No,1965
82,Hospital_82,Thane,Emergency,9.8,3.0,397,Yes,1212
83,Hospital_83,Kolhapur,Emergency,8.82,3.0,286,Yes,597
84,Hospital_84,Mumbai,Multi-Speciality,14.76,3.0,182,No,519
85,Hospital_85,Kolhapur,Emergency,17.31,4.5,192,Yes,705
86,Hospital_86,Thane,Cardiac,19.41,3.1,422,No,772
87,Hospital_87,Kolhapur,General,0.71,3.3,371,Yes,571
88,Hospital_88,Mumbai,Emergency,11.35,2.7,186,No,1052
89,Hospital_89,Aurangabad,General,16.24,4.0,47,Yes,1966
90,Hospital_90,Mumbai,General,4.09,4.0,441,No,335
91,Hospital_91,Thane,Multi-Speciality,3.37,4.7,73,Yes,1340
92,Hospital_92,Thane,Emergency,22.83,4.6,447,No,927
93,Hospital_93,Nagpur,Cardiac,0.65,3.8,279,Yes,539
94,Hospital_94,Nagpur,Multi-Speciality,15.5,4.1,371,Yes,1102
95,Hospital_95,Aurangabad,Cardiac,17.25,4.4,137,Yes,1746
96,Hospital_96,Mumbai,Orthopedic,18.79,2.7,191,No,1767
97,Hospital_97,Pune,Multi-Speciality,17.0,4.5,269,Yes,1450
98,Hospital_98,Kolhapur,Emergency,17.41,3.4,13,No,417
99,Hospital_99,Kolhapur,Orthopedic,6.14,3.2,395,Yes,568
100,Hospital_100,Aurangabad,Multi-Speciality,3.37,3.9,264,Yes,228
101,Hospital_101,Pune,Children,20.55,4.0,234,Yes,948
102,Hospital_102,Nashik,Multi-Speciality,18.66,3.9,412,Yes,1782
103,Hospital_103,Aurangabad,Children,14.63,4.9,286,Yes,1533
104,Hospital_104,Thane,Emergency,11.18,4.2,80,No,1611
105,Hospital_105,Thane,General,11.58,3.7,293,Yes,842
106,Hospital_106,Pune,Children,4.77,4.7,118,Yes,1805
107,Hospital_107,Kolhapur,Emergency,1.14,3.2,254,No,506
108,Hospital_108,Pune,Orthopedic,13.71,4.7,54,No,934
109,Hospital_109,Mumbai,Multi-Speciality,22.77,4.5,26,Yes,857
110,Hospital_110,Pune,Children,5.24,3.6,109,No,782
111,Hospital_111,Nashik,Multi-Speciality,2.31,4.3,135,Yes,1130
112,Hospital_112,Nagpur,Children,1.17,3.5,411,No,367
113,Hospital_113,Mumbai,Emergency,8.51,3.1,265,Yes,956
114,Hospital_114,Nagpur,Multi-Speciality,23.28,2.5,451,No,836
115,Hospital_115,Kolhapur,Emergency,14.25,3.1,160,No,305
116,Hospital_116,Nagpur,Cardiac,14.74,2.6,401,No,936
117,Hospital_117,Aurangabad,Orthopedic,17.98,4.4,341,Yes,870
118,Hospital_118,Nashik,Children,14.88,3.3,189,Yes,1609
119,Hospital_119,Thane,Cardiac,6.19,4.8,117,Yes,586
120,Hospital_120,Nashik,General,24.99,3.0,183,Yes,1054
121,Hospital_121,Nagpur,Emergency,2.61,4.5,239,No,1098
122,Hospital_122,Thane,General,1.24,4.3,222,Yes,861
123,Hospital_123,Pune,Orthopedic,13.11,3.0,450,Yes,1877
124,Hospital_124,Thane,General,10.67,4.2,87,No,1749
125,Hospital_125,Pune,Cardiac,20.84,3.2,56,Yes,504
126,Hospital_126,Nashik,General,17.98,3.3,256,No,566
127,Hospital_127,Pune,Orthopedic,17.47,2.5,264,Yes,696
128,Hospital_128,Pune,Orthopedic,16.61,4.8,25,No,1463
129,Hospital_129,Nagpur,Emergency,5.78,2.9,7,No,918
130,Hospital_130,Mumbai,Multi-Speciality,19.23,4.9,100,No,1242
131,Hospital_131,Nashik,Cardiac,18.9,3.1,290,Yes,1937
132,Hospital_132,Mumbai,Children,10.24,4.3,302,No,598
133,Hospital_133,Pune,Children,24.91,3.4,20,No,1291
134,Hospital_134,Mumbai,General,16.84,3.5,118,Yes,1022
135,Hospital_135,Nagpur,Emergency,8.9,2.5,373,No,1261
136,Hospital_136,Thane,Cardiac,6.29,3.2,406,Yes,1262
137,Hospital_137,Pune,Orthopedic,6.25,4.5,183,Yes,1761
138,Hospital_138,Pune,Multi-Speciality,1.36,4.9,100,Yes,1102
139,Hospital_139,Mumbai,Multi-Speciality,20.73,4.2,89,Yes,1562
140,Hospital_140,Thane,Emergency,10.41,3.7,441,No,218
141,Hospital_141,Mumbai,Children,16.23,4.5,478,No,879
142,Hospital_142,Nashik,Orthopedic,9.6,4.4,374,Yes,932
143,Hospital_143,Nagpur,Cardiac,14.27,3.7,466,No,1215
144,Hospital_144,Mumbai,Cardiac,17.21,3.0,5,No,1127
145,Hospital_145,Aurangabad,Emergency,6.93,3.7,377,No,1143
146,Hospital_146,Nashik,Cardiac,5.68,5.0,117,No,886
147,Hospital_147,Nashik,Orthopedic,14.26,4.4,193,Yes,1486
148,Hospital_148,Nashik,Orthopedic,8.51,2.6,384,Yes,1555
149,Hospital_149,Thane,Cardiac,2.68,4.1,87,Yes,1436
150,Hospital_150,Nashik,Orthopedic,4.14,4.9,217,Yes,351
151,Hospital_151,Pune,Emergency,18.29,2.8,148,No,674
152,Hospital_152,Nashik,Emergency,9.84,2.8,452,No,286
153,Hospital_153,Aurangabad,Emergency,3.29,3.9,100,No,1398
154,Hospital_154,Pune,Multi-Speciality,6.99,4.6,279,Yes,927
155,Hospital_155,Thane,Emergency,21.49,4.7,272,No,261
156,Hospital_156,Pune,Children,12.32,5.0,187,Yes,1679
157,Hospital_157,Aurangabad,General,13.04,4.3,244,Yes,1018
158,Hospital_158,Thane,General,13.48,4.1,469,No,493
159,Hospital_159,Mumbai,Multi-Speciality,13.79,4.7,105,Yes,1864
160,Hospital_160,Nashik,Children,22.22,3.4,168,No,603
161,Hospital_161,Thane,General,0.82,4.8,14,Yes,1640
162,Hospital_162,Nashik,Children,11.62,3.7,125,No,1696
163,Hospital_163,Thane,General,14.97,4.8,377,Yes,1933
164,Hospital_164,Nagpur,Emergency,18.88,4.9,381,Yes,295
165,Hospital_165,Kolhapur,General,5.81,3.7,125,Yes,439
166,Hospital_166,Aurangabad,Multi-Speciality,4.36,4.0,195,No,1197
167,Hospital_167,Nagpur,General,1.58,4.0,451,Yes,662
168,Hospital_168,Kolhapur,Children,8.92,2.9,162,Yes,1666
169,Hospital_169,Nashik,Orthopedic,11.53,3.9,438,Yes,882
170,Hospital_170,Pune,General,6.31,4.7,256,Yes,831
171,Hospital_171,Nagpur,General,8.18,2.6,39,No,1944
172,Hospital_172,Aurangabad,Multi-Speciality,20.46,3.8,284,Yes,1576
173,Hospital_173,Thane,Multi-Speciality,9.33,3.6,154,No,1373
174,Hospital_174,Pune,General,22.31,4.0,112,No,1748
175,Hospital_175,Kolhapur,Children,3.79,4.7,478,Yes,1332
176,Hospital_176,Kolhapur,Multi-Speciality,7.26,3.8,275,Yes,608
177,Hospital_177,Kolhapur,Emergency,8.23,4.1,499,No,878
178,Hospital_178,Aurangabad,Cardiac,19.49,3.8,290,Yes,1540
179,Hospital_179,Mumbai,Cardiac,2.47,2.7,115,No,802
180,Hospital_180,Thane,Children,19.0,3.1,321,No,920
181,Hospital_181,Mumbai,Emergency,20.83,3.3,142,Yes,551
182,Hospital_182,Aurangabad,Emergency,6.81,4.9,349,No,380
183,Hospital_183,Thane,Cardiac,22.47,2.6,171,Yes,287
184,Hospital_184,Nashik,General,20.53,2.7,441,No,893
185,Hospital_185,Kolhapur,Emergency,11.27,3.5,305,No,984
186,Hospital_186,Mumbai,Multi-Speciality,15.81,3.4,461,No,601
187,Hospital_187,Thane,Emergency,8.09,4.7,65,No,810
188,Hospital_188,Thane,Multi-Speciality,7.25,4.0,271,Yes,805
189,Hospital_189,Thane,Emergency,17.88,3.9,235,Yes,1215
190,Hospital_190,Mumbai,Cardiac,2.41,2.6,7,Yes,708
191,Hospital_191,Thane,Cardiac,1.54,4.0,31,Yes,693
192,Hospital_192,Nashik,Cardiac,21.43,2.7,184,Yes,1265
193,Hospital_193,Thane,Cardiac,2.09,4.6,327,No,896
194,Hospital_194,Nashik,Emergency,2.04,3.1,46,Yes,1511
195,Hospital_195,Kolhapur,Cardiac,2.03,4.0,209,Yes,1601
196,Hospital_196,Nagpur,Orthopedic,5.41,4.4,312,No,487
197,Hospital_197,Nashik,Emergency,3.73,4.9,250,No,781
198,Hospital_198,Thane,Emergency,16.1,4.7,245,No,399
199,Hospital_199,Kolhapur,Cardiac,21.76,4.3,146,No,865
200,Hospital_200,Aurangabad,Orthopedic,4.06,2.8,239,No,1038
201,Hospital_201,Kolhapur,Multi-Speciality,7.83,2.7,4,No,523
202,Hospital_202,Nagpur,General,10.37,4.7,200,No,562
203,Hospital_203,Thane,General,13.3,4.1,430,No,807
204,Hospital_204,Nagpur,Cardiac,12.4,4.6,418,No,1652
205,Hospital_205,Thane,General,14.51,4.9,247,Yes,794
206,Hospital_206,Aurangabad,Emergency,14.79,3.4,210,Yes,549
207,Hospital_207,Thane,Cardiac,2.44,4.4,298,No,1465
208,Hospital_208,Pune,Multi-Speciality,10.52,3.5,195,Yes,368
209,Hospital_209,Thane,General,8.93,3.1,232,Yes,1284
210,Hospital_210,Mumbai,Multi-Speciality,14.51,3.8,455,No,635
211,Hospital_211,Mumbai,Orthopedic,20.09,3.2,225,No,1089
212,Hospital_212,Aurangabad,Emergency,15.75,2.9,474,No,415
213,Hospital_213,Aurangabad,Multi-Speciality,12.93,3.0,369,No,1897
214,Hospital_214,Pune,Multi-Speciality,5.34,3.6,470,Yes,1397
215,Hospital_215,Aurangabad,Emergency,9.4,3.6,199,No,1330
216,Hospital_216,Kolhapur,Orthopedic,9.67,3.3,386,Yes,1826
217,Hospital_217,Aurangabad,General,2.42,3.3,335,Yes,1743
218,Hospital_218,Kolhapur,Multi-Speciality,23.87,3.1,457,Yes,556
219,Hospital_219,Nashik,Multi-Speciality,23.7,3.6,145,No,600
220,Hospital_220,Thane,Multi-Speciality,9.04,2.6,267,No,1909
221,Hospital_221,Thane,Orthopedic,1.21,4.3,173,No,1522
222,Hospital_222,Mumbai,General,12.39,3.5,405,No,1849
223,Hospital_223,Nagpur,Cardiac,12.82,3.4,136,No,235
224,Hospital_224,Mumbai,Multi-Speciality,2.64,3.4,112,Yes,761
225,Hospital_225,Aurangabad,Emergency,8.72,4.0,108,Yes,278
226,Hospital_226,Pune,General,12.8,3.2,376,No,1937
227,Hospital_227,Nagpur,General,7.34,4.4,153,Yes,469
228,Hospital_228,Aurangabad,Cardiac,15.18,3.5,14,No,363
229,Hospital_229,Nagpur,Cardiac,20.85,3.2,75,Yes,386
230,Hospital_230,Thane,Orthopedic,2.1,3.9,492,No,453
231,Hospital_231,Kolhapur,Emergency,24.86,3.8,489,No,1422
232,Hospital_232,Kolhapur,Orthopedic,6.94,3.1,25,Yes,1730
233,Hospital_233,Mumbai,Cardiac,11.2,4.9,286,Yes,356
234,Hospital_234,Pune,Cardiac,9.56,4.3,133,No,1598
235,Hospital_235,Thane,Orthopedic,10.3,4.9,393,Yes,1412
236,Hospital_236,Nagpur,Orthopedic,19.88,4.0,438,No,1639
237,Hospital_237,Kolhapur,Children,2.14,4.9,133,Yes,1885
238,Hospital_238,Pune,Emergency,4.31,2.5,404,No,580
239,Hospital_239,Nashik,Multi-Speciality,22.24,4.3,73,No,642
240,Hospital_240,Nagpur,Multi-Speciality,7.28,4.0,288,Yes,380
241,Hospital_241,Nashik,Emergency,13.92,4.3,67,No,1529
242,Hospital_242,Aurangabad,Children,4.14,3.2,318,Yes,1245
243,Hospital_243,Kolhapur,Multi-Speciality,3.34,4.5,221,No,641
244,Hospital_244,Pune,Multi-Speciality,2.4,3.5,389,No,429
245,Hospital_245,Kolhapur,Children,22.34,3.0,11,No,1780
246,Hospital_246,Nagpur,Multi-Speciality,9.65,3.0,471,Yes,776
247,Hospital_247,Aurangabad,Orthopedic,15.31,3.3,351,Yes,1014
248,Hospital_248,Aurangabad,Children,23.76,4.3,250,No,1220
249,Hospital_249,Thane,General,22.66,3.3,277,Yes,1923
250,Hospital_250,Nagpur,General,23.53,2.6,159,No,452
251,Hospital_251,Thane,Orthopedic,11.26,2.9,295,No,1595
252,Hospital_252,Pune,Emergency,1.64,2.8,240,No,1913
253,Hospital_253,Nagpur,Children,18.32,4.9,214,Yes,1571
254,Hospital_254,Pune,Emergency,12.08,4.9,327,Yes,663
255,Hospital_255,Kolhapur,General,10.03,3.2,83,Yes,282
256,Hospital_256,Mumbai,Cardiac,1.11,3.5,156,Yes,1787
257,Hospital_257,Kolhapur,General,12.83,4.8,339,No,686
258,Hospital_258,Nashik,Multi-Speciality,23.61,3.2,353,Yes,1054
259,Hospital_259,Mumbai,Orthopedic,22.81,3.9,328,Yes,673
260,Hospital_260,Thane,Cardiac,9.41,3.7,238,No,1487
261,Hospital_261,Pune,Orthopedic,4.87,3.5,133,Yes,1825
262,Hospital_262,Nagpur,General,7.54,3.5,459,Yes,919
263,Hospital_263,Nagpur,Orthopedic,9.26,3.5,171,No,1169
264,Hospital_264,Aurangabad,General,18.21,3.9,478,No,1231
265,Hospital_265,Nashik,Cardiac,22.13,4.8,157,Yes,271
266,Hospital_266,Kolhapur,Children,9.33,3.1,229,No,1386
267,Hospital_267,Mumbai,Children,23.59,3.6,246,Yes,1388
268,Hospital_268,Kolhapur,General,20.62,4.6,151,No,1707
269,Hospital_269,Nashik,Orthopedic,4.76,3.2,250,Yes,1366
270,Hospital_270,Kolhapur,Children,10.96,3.2,351,No,507
271,Hospital_271,Pune,Children,6.41,2.7,427,No,1980
272,Hospital_272,Nagpur,Multi-Speciality,7.02,4.4,347,No,1827
273,Hospital_273,Pune,Orthopedic,16.73,2.8,7,No,735
274,Hospital_274,Nashik,General,16.57,2.6,82,Yes,1317
275,Hospital_275,Kolhapur,Cardiac,18.29,3.7,189,No,1636
276,Hospital_276,Pune,Orthopedic,8.11,3.2,302,No,970
277,Hospital_277,Pune,General,11.85,3.3,368,Yes,387
278,Hospital_278,Nashik,Emergency,16.56,3.0,325,Yes,504
279,Hospital_279,Kolhapur,General,21.01,4.7,263,No,770
280,Hospital_280,Nashik,General,6.29,3.9,361,No,829
281,Hospital_281,Pune,Orthopedic,2.63,4.9,272,No,757
282,Hospital_282,Aurangabad,Orthopedic,10.89,2.7,183,No,776
283,Hospital_283,Aurangabad,Multi-Speciality,2.31,2.9,158,No,244
284,Hospital_284,Aurangabad,Orthopedic,8.01,4.6,446,Yes,1302
285,Hospital_285,Aurangabad,General,0.87,4.7,56,Yes,939
286,Hospital_286,Nashik,Multi-Speciality,24.52,2.7,314,Yes,454
287,Hospital_287,Pune,General,9.47,4.8,394,No,1329
288,Hospital_288,Aurangabad,Orthopedic,23.34,3.8,153,No,1713
289,Hospital_289,Pune,Children,21.91,3.5,299,Yes,315
290,Hospital_290,Nashik,Orthopedic,23.78,2.7,135,Yes,1996
291,Hospital_291,Nagpur,Emergency,9.88,4.0,367,No,499
292,Hospital_292,Thane,Emergency,18.64,2.9,53,No,1627
293,Hospital_293,Pune,Cardiac,15.44,4.9,339,No,1254
294,Hospital_294,Nagpur,Emergency,19.81,4.7,304,No,735
295,Hospital_295,Pune,General,0.51,3.9,297,No,454
296,Hospital_296,Thane,General,20.39,4.0,458,No,1884
297,Hospital_297,Aurangabad,Children,10.51,4.5,454,Yes,1553
298,Hospital_298,Mumbai,General,20.36,4.1,356,Yes,1742
299,Hospital_299,Nashik,Children,11.76,3.9,355,Yes,1791
300,Hospital_300,Kolhapur,Emergency,14.07,4.2,120,No,1786
301,Hospital_301,Thane,General,8.46,3.8,378,Yes,1403
302,Hospital_302,Mumbai,Orthopedic,1.04,4.7,219,Yes,1089
303,Hospital_303,Kolhapur,Cardiac,24.85,2.5,367,Yes,1022
304,Hospital_304,Nashik,Multi-Speciality,18.06,4.7,71,No,706
305,Hospital_305,Nashik,Cardiac,14.2,2.7,142,Yes,1924
306,Hospital_306,Mumbai,Orthopedic,18.73,3.8,167,Yes,280
307,Hospital_307,Nagpur,Emergency,8.76,3.2,270,Yes,1114
308,Hospital_308,Thane,Emergency,10.95,3.6,92,No,852
309,Hospital_309,Mumbai,Cardiac,7.78,3.7,301,Yes,512
310,Hospital_310,Nashik,General,8.87,4.4,212,Yes,1226
311,Hospital_311,Pune,Multi-Speciality,10.19,4.8,74,No,551
312,Hospital_312,Nashik,Multi-Speciality,5.87,2.6,487,Yes,1818
313,Hospital_313,Kolhapur,Multi-Speciality,2.07,4.1,198,Yes,1308
314,Hospital_314,Nashik,Orthopedic,8.79,2.9,80,No,1470
315,Hospital_315,Nashik,Orthopedic,19.01,4.6,190,No,574
316,Hospital_316,Kolhapur,Multi-Speciality,9.08,3.6,313,Yes,300
317,Hospital_317,Aurangabad,Emergency,4.83,4.9,81,No,1496
318,Hospital_318,Nashik,Orthopedic,13.31,2.8,458,No,1395
319,Hospital_319,Nagpur,General,19.33,4.5,241,Yes,1563
320,Hospital_320,Thane,Children,4.14,2.5,433,No,1362
321,Hospital_321,Mumbai,Orthopedic,15.65,3.1,477,Yes,943
322,Hospital_322,Mumbai,Children,19.37,4.9,463,No,713
323,Hospital_323,Nashik,Multi-Speciality,18.79,3.4,215,Yes,1516
324,Hospital_324,Mumbai,Cardiac,11.48,4.4,302,Yes,568
325,Hospital_325,Nagpur,Emergency,24.95,3.0,67,No,1207
326,Hospital_326,Kolhapur,Children,11.01,2.6,396,No,216
327,Hospital_327,Kolhapur,Children,11.93,3.6,331,No,257
328,Hospital_328,Nagpur,Multi-Speciality,18.16,3.5,443,No,1549
329,Hospital_329,Nashik,Children,5.81,2.9,147,No,1541
330,Hospital_330,Pune,Children,15.3,4.1,2,Yes,1577
331,Hospital_331,Thane,General,9.36,4.0,478,No,1193
332,Hospital_332,Pune,Multi-Speciality,3.35,4.2,250,No,1731
333,Hospital_333,Aurangabad,Multi-Speciality,23.77,4.9,104,Yes,1164
334,Hospital_334,Nagpur,Cardiac,6.32,2.9,138,No,553
335,Hospital_335,Nagpur,General,23.57,4.1,300,Yes,644
336,Hospital_336,Nashik,Emergency,22.38,4.9,322,No,1301
337,Hospital_337,Nagpur,General,4.31,3.2,370,Yes,1866
338,Hospital_338,Pune,Emergency,8.48,3.6,17,No,1678
339,Hospital_339,Aurangabad,General,23.64,3.2,150,No,1605
340,Hospital_340,Nashik,Emergency,24.1,3.1,358,Yes,718
341,Hospital_341,Kolhapur,Multi-Speciality,2.45,2.9,159,No,824
342,Hospital_342,Kolhapur,General,5.59,4.4,48,No,613
343,Hospital_343,Aurangabad,Multi-Speciality,10.97,3.3,365,Yes,351
344,Hospital_344,Pune,Children,4.02,4.4,462,No,1963
345,Hospital_345,Kolhapur,General,5.42,3.0,180,No,986
346,Hospital_346,Nashik,Emergency,7.61,3.4,301,Yes,1191
347,Hospital_347,Thane,Emergency,18.71,3.7,177,Yes,380
348,Hospital_348,Thane,Cardiac,4.0,4.7,233,Yes,920
349,Hospital_349,Thane,Children,0.81,3.4,260,Yes,305
350,Hospital_350,Nagpur,Children,2.25,3.7,242,No,692
351,Hospital_351,Nashik,Emergency,6.78,3.5,86,Yes,1047
352,Hospital_352,Mumbai,Cardiac,16.67,4.0,207,Yes,1914
353,Hospital_353,Aurangabad,Emergency,10.94,3.3,180,Yes,307
354,Hospital_354,Mumbai,Multi-Speciality,17.7,4.3,75,Yes,807
355,Hospital_355,Nashik,Cardiac,3.65,3.7,459,Yes,1623
356,Hospital_356,Aurangabad,Children,6.51,4.5,217,No,1247
357,Hospital_357,Nashik,Orthopedic,21.3,4.6,48,Yes,1252
358,Hospital_358,Pune,General,11.9,3.2,230,No,1357
359,Hospital_359,Nagpur,Children,17.35,4.7,336,No,1062
360,Hospital_360,Pune,General,23.22,4.9,1,No,627
361,Hospital_361,Mumbai,Multi-Speciality,5.4,4.9,157,No,744
362,Hospital_362,Thane,Cardiac,16.7,5.0,105,Yes,606
363,Hospital_363,Nashik,Cardiac,11.44,4.6,78,No,345
364,Hospital_364,Nashik,Cardiac,24.1,3.0,435,Yes,1221
365,Hospital_365,Pune,Orthopedic,23.2,4.2,453,Yes,1891
366,Hospital_366,Mumbai,General,11.73,3.3,33,No,350
367,Hospital_367,Mumbai,General,15.35,4.4,178,No,638
368,Hospital_368,Pune,General,15.0,3.2,23,No,1660
369,Hospital_369,Nagpur,Children,12.18,4.5,312,Yes,1110
370,Hospital_370,Thane,Children,9.12,4.9,339,No,1081
371,Hospital_371,Mumbai,Multi-Speciality,19.63,2.9,359,Yes,1612
372,Hospital_372,Kolhapur,Children,7.47,3.4,364,No,1237
373,Hospital_373,Nashik,Multi-Speciality,2.03,4.6,270,No,1855
374,Hospital_374,Mumbai,Children,12.01,4.3,294,Yes,245
375,Hospital_375,Thane,Cardiac,7.59,4.8,235,No,922
376,Hospital_376,Nashik,Cardiac,4.02,3.5,384,Yes,250
377,Hospital_377,Mumbai,Orthopedic,20.94,3.6,185,Yes,1258
378,Hospital_378,Thane,Multi-Speciality,1.89,4.6,227,Yes,349
379,Hospital_379,Nashik,Emergency,2.14,3.2,164,No,897
380,Hospital_380,Aurangabad,Cardiac,8.67,4.4,464,No,225
381,Hospital_381,Thane,Orthopedic,17.67,4.7,7,Yes,827
382,Hospital_382,Nashik,Children,20.82,3.0,267,Yes,1215
383,Hospital_383,Kolhapur,Cardiac,12.84,4.0,345,No,719
384,Hospital_384,Nagpur,Orthopedic,15.73,3.1,119,Yes,211
385,Hospital_385,Nagpur,Multi-Speciality,17.83,3.4,462,No,915
386,Hospital_386,Nashik,Orthopedic,2.56,4.2,144,Yes,519
387,Hospital_387,Mumbai,General,17.94,2.9,65,No,646
388,Hospital_388,Thane,Multi-Speciality,11.46,2.5,308,No,1119
389,Hospital_389,Pune,Orthopedic,7.71,4.9,458,Yes,412
390,Hospital_390,Kolhapur,Cardiac,7.18,3.0,363,No,928
391,Hospital_391,Kolhapur,Emergency,20.05,4.1,195,No,612
392,Hospital_392,Aurangabad,Orthopedic,1.66,2.5,176,No,301
393,Hospital_393,Mumbai,Emergency,11.48,3.3,460,Yes,950
