Date,Open,High,Low,Close,Volume
2022-03-03,88.58,88.95,87.6,88.01,189718
2022-03-04,87.56,87.68,87.4,87.58,194615
2022-03-07,85.2,85.85,84.71,85.29,275568
2022-03-08,84.67,85.43,82.85,84.23,203857
2022-03-09,83.9,83.9,82.8,83.57,390497
2022-03-10,84.4,85.21,84.17,85.2,474622
2022-03-11,86.53,86.76,85.48,85.77,401136
2022-03-14,83.78,83.89,82.3,83.09,363572
2022-03-15,83.31,84.17,82.39,83.62,73777
2022-03-16,83.28,83.86,82.61,83.08,107939
2022-03-17,82.35,82.79,81.92,82.11,496242
2022-03-18,83.19,83.39,82.54,83.06,398594
2022-03-21,84.36,85.55,83.19,84.64,472769
2022-03-22,85.75,86.66,85.17,86.1,73548
2022-03-23,84.83,85.17,84.45,84.84,480481
2022-03-24,85.01,85.6,84.27,84.41,175549
2022-03-25,85.24,85.41,84.14,84.96,483917
2022-03-28,86.3,86.63,86.03,86.49,494503
2022-03-29,86.19,86.77,85.57,85.79,187799
2022-03-30,84.08,85.64,83.86,85.55,291532
2022-03-31,84.46,84.73,83.82,83.89,231789
2022-04-01,81.26,82.19,80.92,82.12,475643
2022-04-04,83.18,83.54,82.17,83.36,197764
2022-04-05,84.87,85.84,84.65,85.44,81625
2022-04-06,84.71,87.04,83.52,85.37,337062
2022-04-07,87.56,87.66,86.94,86.96,484352
2022-04-08,87.32,88.56,87.16,87.57,426970
2022-04-11,86.77,87.42,86.11,86.59,164881
2022-04-12,87.18,87.87,86.29,87.2,495625
2022-04-13,89.91,90.8,88.44,89.66,327721
2022-04-14,89.69,89.75,89.5,89.64,397299
2022-04-15,91.5,92.36,90.31,92.21,161776
2022-04-18,88.44,88.87,87.4,87.91,411390
2022-04-19,88.99,89.48,87.7,89.26,283996
2022-04-20,88.61,89.88,88.06,89.44,307831
2022-04-21,88.78,89.86,88.38,89.0,262803
2022-04-22,90.0,90.1,89.03,89.2,208761
2022-04-25,86.49,86.8,85.88,86.05,192226
2022-04-26,85.57,85.75,84.75,85.75,407092
2022-04-27,86.17,86.76,86.07,86.35,71341
2022-04-28,88.52,89.71,87.12,88.69,409698
2022-04-29,89.0,90.63,87.12,87.9,255753
2022-05-02,86.87,87.25,86.54,86.67,419942
2022-05-03,86.15,86.99,85.72,85.93,358474
2022-05-04,87.93,88.28,87.35,87.39,299141
2022-05-05,88.07,88.18,87.09,87.95,399903
2022-05-06,87.02,87.47,85.66,87.15,249488
2022-05-09,87.9,89.02,87.8,88.0,306139
2022-05-10,88.16,88.43,86.88,88.2,398951
2022-05-11,89.76,90.0,89.22,89.78,345457
2022-05-12,89.08,89.52,88.63,88.69,359044
2022-05-13,88.24,89.04,87.92,88.21,128840
2022-05-16,88.02,88.75,87.03,87.63,215767
2022-05-17,85.33,85.42,84.46,85.37,211297
2022-05-18,85.91,86.37,85.15,85.87,398216
2022-05-19,85.28,87.05,84.88,86.31,408511
2022-05-20,86.84,87.92,86.28,86.37,99156
2022-05-23,86.22,86.79,85.64,86.04,258281
2022-05-24,84.4,84.65,83.42,83.89,137453
2022-05-25,81.85,83.9,81.29,83.3,208901
2022-05-26,83.87,84.45,81.74,82.83,75938
2022-05-27,81.61,82.41,80.91,81.67,109164
2022-05-30,82.02,82.8,81.0,81.48,497746
2022-05-31,81.6,83.19,81.36,82.11,249271
2022-06-01,85.25,85.87,84.06,84.94,110282
2022-06-02,84.71,85.69,84.32,85.25,359945
2022-06-03,85.37,85.91,85.06,85.69,452681
2022-06-06,86.6,87.02,84.34,85.62,315470
2022-06-07,82.61,83.06,81.84,82.7,446875
2022-06-08,82.81,82.92,82.52,82.7,208666
2022-06-09,83.27,83.29,82.64,82.83,165819
2022-06-10,86.81,87.5,85.71,86.55,316907
2022-06-13,86.37,86.88,86.02,86.29,191900
2022-06-14,86.99,87.35,86.63,86.8,359732
2022-06-15,88.04,88.21,86.66,86.79,323365
2022-06-16,84.98,85.69,84.47,85.01,454427
2022-06-17,86.91,88.69,86.07,86.8,63569
2022-06-20,88.57,88.71,86.85,88.02,277966
2022-06-21,89.91,91.65,88.97,89.32,87860
2022-06-22,88.53,89.08,87.47,87.9,252630
2022-06-23,90.51,90.52,89.81,90.16,357481
2022-06-24,87.33,88.12,87.08,87.93,495527
2022-06-27,89.78,89.79,88.81,88.91,194587
2022-06-28,91.82,92.86,91.28,92.46,121695
2022-06-29,91.02,91.88,89.47,90.85,303078
2022-06-30,89.57,90.78,88.62,89.97,292599
2022-07-01,90.14,90.7,90.09,90.18,418893
2022-07-04,89.58,90.1,89.11,89.41,205976
2022-07-05,87.12,87.43,86.89,86.96,241007
2022-07-06,87.33,87.34,87.08,87.11,355934
2022-07-07,86.31,86.78,84.3,85.49,380724
2022-07-08,86.49,86.9,85.23,86.26,55636
2022-07-11,84.75,85.11,84.72,84.87,311578
2022-07-12,87.79,88.19,86.97,87.28,389273
2022-07-13,86.71,86.78,85.44,86.1,446108
2022-07-14,85.01,86.7,84.31,85.64,333816
2022-07-15,87.25,88.11,86.61,86.94,317956
2022-07-18,85.41,86.41,84.87,85.05,277693
2022-07-19,85.29,85.56,84.71,85.44,50654
2022-07-20,88.22,88.26,86.01,87.5,104633
2022-07-21,84.93,85.13,84.87,85.01,67143
2022-07-22,85.4,85.57,84.92,85.33,105934
2022-07-25,85.69,85.93,85.39,85.78,379478
2022-07-26,87.03,88.07,86.7,87.03,153463
2022-07-27,84.57,86.22,84.09,85.13,175851
2022-07-28,82.43,83.7,81.96,83.15,79087
2022-07-29,84.78,84.85,83.9,83.97,192690
2022-08-01,84.04,85.58,83.43,84.47,320590
2022-08-02,84.38,85.01,83.82,84.89,414271
2022-08-03,84.36,86.6,84.11,85.46,361011
2022-08-04,84.13,84.47,82.18,84.46,494244
2022-08-05,84.18,85.01,83.93,84.85,372245
2022-08-08,86.18,87.05,84.63,85.34,208272
2022-08-09,84.8,85.22,83.19,84.29,276179
2022-08-10,86.8,87.42,85.94,87.16,400218
2022-08-11,89.14,89.36,87.87,87.95,242537
2022-08-12,86.61,87.5,85.19,86.11,267508
2022-08-15,87.0,87.55,86.78,87.17,168422
2022-08-16,84.4,86.44,83.99,85.68,400036
2022-08-17,88.13,88.31,86.62,86.94,269631
2022-08-18,88.05,89.15,87.73,88.79,432188
2022-08-19,86.66,88.32,86.18,87.53,89148
2022-08-22,89.63,90.77,88.27,89.09,395072
2022-08-23,91.11,91.85,88.54,89.79,201770
2022-08-24,91.93,92.52,90.88,91.17,485686
2022-08-25,94.65,95.6,94.21,94.33,363804
2022-08-26,94.29,94.47,93.88,93.96,497126
2022-08-29,93.2,93.55,92.42,92.73,347594
2022-08-30,91.71,92.43,90.6,91.29,237535
2022-08-31,90.15,90.2,89.56,90.0,345901
2022-09-01,89.97,90.2,88.97,89.92,128012
2022-09-02,90.48,90.62,89.92,90.51,418894
2022-09-05,90.6,91.62,89.87,91.01,439187
2022-09-06,92.25,93.95,91.7,92.41,474606
2022-09-07,91.54,93.67,90.46,92.48,106116
2022-09-08,94.89,95.08,94.51,94.94,194233
2022-09-09,93.98,96.07,93.24,94.54,82152
2022-09-12,98.56,99.22,98.15,99.21,156379
2022-09-13,100.49,100.64,99.6,100.38,276905
2022-09-14,99.71,99.99,98.47,98.88,70836
2022-09-15,97.56,97.7,96.17,97.03,271439
2022-09-16,96.99,98.99,96.74,97.92,236720
2022-09-19,96.99,99.3,96.39,97.57,207403
2022-09-20,99.43,100.65,97.82,98.88,191835
2022-09-21,99.18,100.9,98.23,99.77,381588
2022-09-22,99.55,99.9,98.84,99.69,143109
2022-09-23,98.54,98.88,97.51,98.22,200259
2022-09-26,95.03,96.04,93.64,95.59,193029
2022-09-27,94.93,96.14,94.56,94.87,447595
2022-09-28,95.61,96.73,95.06,96.38,471175
2022-09-29,96.45,98.36,94.69,96.8,132018
2022-09-30,94.86,95.89,94.21,94.67,173076
2022-10-03,94.11,95.16,92.95,95.02,208177
2022-10-04,95.98,96.48,94.28,95.72,444093
2022-10-05,94.24,94.57,93.7,94.25,229425
2022-10-06,94.87,94.88,93.13,94.56,395932
2022-10-07,94.83,95.32,94.42,94.7,409014
2022-10-10,93.56,93.93,92.48,92.8,265657
2022-10-11,93.52,94.87,93.31,93.45,395452
2022-10-12,94.19,94.58,93.87,94.44,494783
2022-10-13,96.39,96.95,96.15,96.32,370057
2022-10-14,98.52,99.54,97.19,98.2,52637
2022-10-17,95.84,96.57,95.08,95.81,354169
2022-10-18,94.27,94.62,93.73,94.24,287989
2022-10-19,94.76,96.29,94.18,95.16,282259
2022-10-20,95.71,96.37,95.07,96.09,411652
2022-10-21,96.21,97.27,95.52,97.03,132464
2022-10-24,104.9,104.9,103.43,103.81,340886
2022-10-25,104.14,105.98,103.16,104.93,61831
2022-10-26,106.68,107.64,105.67,107.12,163768
2022-10-27,108.55,109.79,107.1,109.02,296983
2022-10-28,110.94,111.34,109.01,110.35,397236
2022-10-31,109.58,110.19,108.94,109.78,403023
2022-11-01,112.17,112.41,109.75,111.33,400514
2022-11-02,109.4,110.22,107.95,109.84,438681
2022-11-03,109.61,109.67,108.97,109.43,489978
2022-11-04,107.98,110.35,107.35,108.53,154824
2022-11-07,110.14,110.36,108.11,108.74,138741
2022-11-08,112.52,113.65,111.57,113.33,68830
2022-11-09,109.78,110.35,108.91,109.57,367188
2022-11-10,111.4,112.07,109.76,110.98,386092
2022-11-11,108.08,108.24,107.22,107.81,119202
2022-11-14,106.83,107.51,106.59,106.95,349189
2022-11-15,109.02,110.26,108.16,109.1,267394
2022-11-16,109.31,110.55,108.54,109.28,252123
2022-11-17,107.12,107.73,106.05,107.22,419653
2022-11-18,106.5,108.09,105.23,105.89,207699
2022-11-21,108.66,109.54,107.21,107.24,327342
2022-11-22,105.53,106.46,105.18,105.88,381665
2022-11-23,105.47,107.02,103.77,106.35,156471
2022-11-24,106.43,108.17,105.52,106.49,341619
2022-11-25,106.92,107.69,103.68,105.29,286824
2022-11-28,108.88,110.47,107.77,109.41,69403
2022-11-29,111.8,112.46,110.54,110.71,53681
2022-11-30,107.81,107.82,105.87,106.73,403699
2022-12-01,106.79,107.96,105.72,107.14,431028
2022-12-02,106.28,106.63,105.76,105.92,405266
2022-12-05,108.65,109.25,106.79,107.6,165260
2022-12-06,105.88,106.21,105.87,106.12,223364
2022-12-07,105.82,106.45,103.39,105.95,155386
2022-12-08,106.59,108.66,105.17,106.97,283378
2022-12-09,108.03,110.05,107.11,108.69,448845
2022-12-12,105.98,107.77,105.83,106.39,143246
2022-12-13,105.03,105.9,104.38,105.81,145864
2022-12-14,104.98,105.73,104.59,104.96,258886
2022-12-15,103.29,104.88,102.69,103.77,320561
2022-12-16,107.27,107.44,106.93,107.12,431032
2022-12-19,106.95,108.75,105.36,107.96,215837
2022-12-20,105.77,105.88,105.05,105.56,386643
2022-12-21,107.9,109.2,107.1,107.36,443052
2022-12-22,110.18,112.81,109.62,111.51,295160
2022-12-23,113.9,113.91,112.68,113.64,237646
2022-12-26,111.4,112.52,110.27,110.59,309278
2022-12-27,108.89,110.0,108.76,109.68,339819
2022-12-28,113.36,114.17,111.45,112.24,306681
2022-12-29,111.14,111.52,110.23,110.86,221635
2022-12-30,111.33,114.13,110.28,111.81,61332
2023-01-02,113.38,113.6,112.08,113.42,304817
2023-01-03,111.96,112.35,111.37,111.58,331321
2023-01-04,111.57,111.93,111.48,111.52,442704
2023-01-05,105.41,106.45,104.31,105.07,270326
2023-01-06,102.62,104.07,101.65,103.19,249519
2023-01-09,102.87,103.43,102.22,102.77,311849
2023-01-10,99.66,101.47,98.11,100.51,369248
2023-01-11,103.45,104.99,102.72,103.51,396479
2023-01-12,100.35,101.16,100.05,100.9,427082
2023-01-13,99.71,100.56,99.53,100.15,130730
2023-01-16,101.18,101.25,99.92,100.44,448167
2023-01-17,103.77,104.06,102.92,103.09,287474
2023-01-18,100.85,101.24,99.78,100.48,340477
2023-01-19,101.96,103.19,101.24,102.64,333817
2023-01-20,102.51,102.73,101.92,102.71,426565
2023-01-23,101.68,102.56,100.2,100.94,90870
2023-01-24,101.92,102.8,100.73,101.83,303017
2023-01-25,103.67,104.23,101.29,102.25,177536
2023-01-26,101.43,102.37,101.09,101.19,383245
2023-01-27,101.49,102.03,101.31,101.37,334965
2023-01-30,100.53,101.09,100.09,100.72,75494
2023-01-31,101.06,102.45,100.28,100.98,149477
2023-02-01,102.14,102.78,102.11,102.23,438227
2023-02-02,105.65,106.66,103.39,105.2,255232
2023-02-03,103.5,104.31,102.19,102.91,424842
2023-02-06,106.41,107.31,105.08,106.91,423704
2023-02-07,102.38,103.59,101.15,103.21,444051
2023-02-08,101.84,103.62,101.57,102.98,330790
2023-02-09,104.44,104.65,103.94,104.12,173777
2023-02-10,104.01,105.2,103.48,104.7,127360
2023-02-13,102.24,104.76,102.0,103.58,349479
2023-02-14,103.48,104.92,102.07,103.24,381495
2023-02-15,103.91,104.72,100.34,102.38,427078
2023-02-16,101.34,101.41,100.3,101.34,183501
2023-02-17,103.46,104.13,102.66,102.94,354094
2023-02-20,103.71,104.39,102.65,103.65,110654
2023-02-21,102.35,102.84,101.47,102.41,419566
2023-02-22,104.7,105.05,102.73,104.12,422078
2023-02-23,104.57,105.93,103.78,104.75,169975
2023-02-24,106.51,107.06,105.36,106.34,249215
2023-02-27,107.8,109.1,106.62,107.59,403330
2023-02-28,105.62,106.94,105.33,106.04,416378
2023-03-01,105.65,106.5,104.24,105.03,152326
2023-03-02,106.38,106.82,106.2,106.49,127527
2023-03-03,107.23,107.93,106.35,107.72,398848
2023-03-06,108.08,109.8,106.78,107.73,474315
2023-03-07,107.43,110.7,106.52,108.01,482601
2023-03-08,110.57,111.1,110.08,110.55,216991
2023-03-09,109.42,109.59,109.1,109.43,146952
2023-03-10,111.28,111.75,109.0,110.56,372926
2023-03-13,110.53,111.31,110.21,110.21,383260
2023-03-14,109.82,110.12,108.78,109.83,401770
2023-03-15,112.61,114.23,111.66,112.06,483603
2023-03-16,114.73,114.94,111.88,113.78,196895
2023-03-17,115.89,116.35,114.57,115.51,96015
2023-03-20,118.29,118.92,117.94,118.28,152877
2023-03-21,117.45,118.78,117.06,118.38,327483
2023-03-22,119.13,120.7,119.08,119.89,184563
2023-03-23,119.07,119.87,118.13,119.28,443922
2023-03-24,119.6,120.58,118.53,120.04,147493
2023-03-27,119.68,120.87,117.46,119.82,196800
2023-03-28,120.13,120.55,119.9,120.09,450213
2023-03-29,121.82,122.58,120.56,121.43,241480
2023-03-30,119.66,120.15,118.17,119.71,441670
2023-03-31,124.64,126.31,124.02,124.28,481739
2023-04-03,122.13,122.14,121.01,122.09,171648
2023-04-04,118.06,120.12,117.61,119.48,337307
2023-04-05,121.34,123.1,121.34,122.03,198790
2023-04-06,123.72,124.21,123.14,123.83,137508
2023-04-07,124.37,125.98,123.29,125.28,264839
2023-04-10,127.22,128.08,125.92,126.76,351763
2023-04-11,127.96,128.26,125.87,126.8,324270
2023-04-12,125.73,125.8,123.27,124.81,114926
2023-04-13,124.89,126.56,123.3,125.05,90633
2023-04-14,124.69,125.05,123.02,123.58,258726
2023-04-17,125.93,126.83,124.41,125.82,53317
2023-04-18,125.29,126.12,123.95,125.55,357124
2023-04-19,123.29,124.24,121.94,123.74,356259
2023-04-20,122.87,123.14,122.72,123.09,242718
2023-04-21,123.78,124.07,123.28,124.07,355302
2023-04-24,122.99,123.64,121.1,122.87,237035
2023-04-25,121.23,121.91,120.43,121.11,490847
2023-04-26,121.71,122.12,121.47,121.7,230388
2023-04-27,122.62,123.1,121.3,122.3,417508
2023-04-28,122.11,122.63,120.05,121.25,327648
2023-05-01,120.96,123.05,119.35,120.28,249665
2023-05-02,119.76,121.9,118.2,120.84,469876
2023-05-03,115.95,118.2,115.68,117.75,349340
2023-05-04,115.47,116.27,113.37,114.83,378082
2023-05-05,112.47,114.03,111.86,113.4,451821
2023-05-08,112.87,113.38,112.74,113.02,369532
2023-05-09,112.91,114.67,112.44,113.71,262369
2023-05-10,115.52,117.36,115.21,116.79,105501
2023-05-11,119.03,119.68,118.24,118.65,234381
2023-05-12,118.9,120.2,118.29,118.37,77043
2023-05-15,117.97,119.53,117.41,118.38,83635
2023-05-16,114.5,116.55,114.35,116.31,260387
2023-05-17,115.95,116.67,115.87,116.33,130691
2023-05-18,116.05,116.19,113.81,115.78,345276
2023-05-19,115.48,118.17,115.05,116.51,327510
2023-05-22,114.96,115.34,113.93,114.83,143944
2023-05-23,115.95,116.92,114.88,115.97,253179
2023-05-24,119.64,120.93,117.61,119.22,427411
2023-05-25,119.13,120.59,117.34,119.05,89236
2023-05-26,119.27,121.04,117.98,119.97,316294
2023-05-29,122.39,123.01,120.83,121.52,423513
2023-05-30,120.59,122.18,118.7,120.7,331567
2023-05-31,121.23,121.77,120.72,121.25,54137
2023-06-01,120.66,123.0,120.49,121.34,79992
2023-06-02,121.29,122.7,120.9,121.61,422684
2023-06-05,119.34,121.17,119.22,119.98,165140
2023-06-06,119.97,120.24,119.89,120.09,225993
2023-06-07,122.48,123.01,120.07,121.23,171225
2023-06-08,123.43,124.62,122.0,124.46,379061
2023-06-09,125.44,127.18,123.63,126.67,385834
2023-06-12,132.8,133.99,129.87,131.64,346379
2023-06-13,129.73,131.39,128.66,129.89,260047
2023-06-14,131.46,132.37,131.17,131.99,69122
2023-06-15,133.32,134.74,131.47,132.49,336100
2023-06-16,137.28,138.24,136.73,137.78,113879
2023-06-19,137.34,137.62,135.06,135.85,108560
2023-06-20,134.41,135.44,131.54,133.86,422454
2023-06-21,132.1,133.5,130.84,132.48,249757
2023-06-22,129.14,129.49,127.27,127.49,467876
2023-06-23,125.88,126.39,124.85,126.34,287268
2023-06-26,125.24,125.27,123.58,124.68,313312
2023-06-27,125.3,126.07,124.52,125.08,357268
2023-06-28,126.9,127.13,125.09,125.91,216969
2023-06-29,131.45,132.42,130.15,130.23,196104
2023-06-30,132.55,133.49,131.61,132.52,364941
2023-07-03,130.62,132.3,130.47,131.21,347438
2023-07-04,129.51,131.42,127.52,129.15,487043
2023-07-05,129.83,131.33,129.0,130.36,315660
2023-07-06,128.87,130.41,127.25,127.33,200823
2023-07-07,131.7,132.38,131.51,131.59,80373
2023-07-10,134.16,134.54,132.04,134.45,172026
2023-07-11,133.53,135.08,131.9,133.38,80270
2023-07-12,128.29,130.29,127.77,129.34,453602
2023-07-13,131.78,133.62,130.21,132.55,282931
2023-07-14,133.3,133.52,129.94,132.35,245889
2023-07-17,134.83,135.44,134.39,135.36,115184
2023-07-18,130.72,132.3,130.2,131.54,260765
2023-07-19,130.61,130.79,129.6,130.19,87879
2023-07-20,131.19,131.77,130.06,130.27,361741
2023-07-21,131.0,131.29,130.34,130.44,482348
2023-07-24,130.22,131.97,129.0,129.45,53626
2023-07-25,130.37,132.37,127.73,130.97,135936
2023-07-26,127.42,129.85,126.72,128.52,284873
2023-07-27,129.41,130.26,128.12,128.25,131515
2023-07-28,128.34,129.43,128.11,128.59,258137
2023-07-31,129.65,131.04,127.53,129.85,105390
2023-08-01,132.62,133.49,130.86,131.58,459861
2023-08-02,129.41,131.0,128.56,128.98,273032
2023-08-03,125.82,126.95,123.48,125.48,104144
2023-08-04,130.1,131.05,127.57,128.43,194454
2023-08-07,128.76,130.31,128.2,129.26,54025
2023-08-08,128.29,128.57,127.43,127.58,486442
2023-08-09,131.26,131.83,130.33,131.21,391524
2023-08-10,131.76,132.12,131.33,131.55,304043
2023-08-11,135.64,136.06,133.02,134.41,168910
2023-08-14,135.05,136.48,134.06,134.64,146055
2023-08-15,140.15,141.33,139.02,139.7,438333
2023-08-16,145.11,146.47,144.09,144.18,255782
2023-08-17,143.3,143.87,142.81,143.61,446659
2023-08-18,145.46,146.24,144.97,146.19,333539
2023-08-21,147.04,149.78,144.95,147.96,322869
2023-08-22,149.89,152.31,148.62,151.68,83461
2023-08-23,150.96,151.66,148.82,149.12,308072
2023-08-24,150.04,151.12,148.38,151.04,91115
2023-08-25,153.79,155.38,153.24,153.99,160084
2023-08-28,148.95,149.59,147.64,149.2,395876
2023-08-29,146.36,147.02,145.55,146.09,391701
2023-08-30,141.49,142.65,139.29,140.8,383404
2023-08-31,140.91,140.94,139.61,140.19,209762
2023-09-01,141.57,142.27,141.46,142.07,313551
2023-09-04,145.84,146.25,143.19,145.98,123568
2023-09-05,146.5,146.93,145.21,146.25,108560
2023-09-06,150.39,150.77,149.7,150.61,490556
2023-09-07,148.36,149.34,145.45,146.95,198866
2023-09-08,142.93,143.43,141.05,142.51,200953
2023-09-11,143.07,144.91,142.11,142.44,267364
2023-09-12,144.07,146.09,143.33,143.5,286770
2023-09-13,144.5,146.09,142.78,143.49,276024
2023-09-14,138.37,139.8,138.06,138.22,230775
2023-09-15,136.99,138.83,135.25,138.07,487570
2023-09-18,135.22,135.76,134.14,134.89,141288
2023-09-19,136.05,136.87,134.81,136.59,431164
2023-09-20,137.12,137.88,137.0,137.56,411445
2023-09-21,135.77,136.03,134.43,135.3,299836
2023-09-22,135.11,135.96,133.7,134.11,64390
2023-09-25,131.64,132.37,131.19,131.62,268547
2023-09-26,131.79,132.75,131.04,131.54,77307
2023-09-27,135.24,136.14,132.52,133.87,277436
2023-09-28,131.75,131.82,131.43,131.56,275121
2023-09-29,134.89,135.67,132.22,132.82,301063
2023-10-02,132.07,132.79,128.53,131.62,74502
2023-10-03,128.43,131.35,126.33,129.81,72486
2023-10-04,130.21,130.81,128.49,129.62,423957
2023-10-05,127.56,127.81,126.89,127.27,219330
2023-10-06,127.04,127.55,126.05,126.07,238788
2023-10-09,123.91,124.38,122.25,123.41,278300
2023-10-10,127.73,127.91,126.0,127.84,153920
2023-10-11,127.04,128.74,125.11,127.98,262566
2023-10-12,126.27,126.92,126.12,126.43,394912
2023-10-13,126.34,128.24,125.3,126.98,453964
2023-10-16,126.35,127.67,126.17,126.79,112785
2023-10-17,126.8,127.7,125.0,126.35,126050
2023-10-18,129.09,129.88,127.39,127.81,72738
2023-10-19,129.92,129.96,129.48,129.62,124231
2023-10-20,127.52,129.15,127.06,128.44,123606
2023-10-23,127.52,127.73,126.95,127.18,353806
2023-10-24,127.52,128.61,126.52,126.61,430457
2023-10-25,120.98,123.72,120.9,121.43,277369
2023-10-26,118.08,118.92,118.03,118.18,327267
2023-10-27,121.15,122.49,120.12,121.14,206688
2023-10-30,124.2,125.09,123.49,124.79,323326
2023-10-31,124.78,125.5,123.02,124.29,402513
2023-11-01,125.55,125.88,124.57,125.65,212403
2023-11-02,126.73,128.2,124.28,126.41,227170
2023-11-03,132.77,134.91,131.55,133.48,76128
2023-11-06,135.88,136.99,134.37,136.24,81556
2023-11-07,136.58,137.24,135.66,135.99,308470
2023-11-08,133.42,135.56,130.64,133.72,202948
2023-11-09,131.27,133.36,129.55,129.92,190021
2023-11-10,130.15,131.26,130.08,130.46,101962
2023-11-13,128.93,129.49,127.71,128.75,140054
2023-11-14,126.22,127.09,125.0,125.52,252278
2023-11-15,123.07,124.51,121.56,124.12,74099
2023-11-16,120.48,121.81,119.84,121.77,285943
2023-11-17,124.38,125.55,123.46,125.53,455932
2023-11-20,128.55,130.52,125.95,127.58,233683
2023-11-21,127.2,127.64,126.87,127.63,219957
2023-11-22,133.1,133.84,130.87,131.09,365288
2023-11-23,130.89,131.86,130.37,131.34,246292
2023-11-24,129.51,131.01,128.81,129.37,57837
2023-11-27,134.21,135.56,132.44,132.98,230427
2023-11-28,135.95,136.84,132.26,134.34,228371
2023-11-29,133.53,133.82,131.03,131.89,462375
2023-11-30,132.46,132.76,131.46,131.51,437356
2023-12-01,130.3,131.12,129.31,129.5,428824
2023-12-04,126.79,127.14,125.98,126.34,298003
2023-12-05,129.11,129.7,127.3,128.51,418946
2023-12-06,132.55,134.02,131.89,132.99,152413
2023-12-07,129.08,130.06,129.03,129.71,101012
2023-12-08,131.09,131.73,131.04,131.09,180193
2023-12-11,129.49,130.75,128.97,129.62,268168
2023-12-12,128.2,129.4,126.79,128.55,198178
2023-12-13,127.78,130.79,126.91,127.24,108123
2023-12-14,126.05,127.3,125.27,125.33,161825
2023-12-15,125.57,126.92,125.0,125.5,58720
2023-12-18,124.78,126.1,123.16,123.69,218733
2023-12-19,123.5,124.83,122.29,124.35,296103
2023-12-20,124.16,124.84,123.28,124.3,274970
2023-12-21,123.29,124.37,121.61,123.83,274866
2023-12-22,120.5,122.11,118.82,121.87,464336
2023-12-25,120.6,120.78,120.18,120.66,200862
2023-12-26,122.27,122.68,121.81,122.36,108655
2023-12-27,124.65,124.73,122.74,123.53,240715
2023-12-28,121.88,124.04,121.0,121.42,143448
2023-12-29,120.95,121.92,119.71,121.69,228446
2024-01-01,124.77,125.62,121.21,123.4,223979
2024-01-02,120.63,120.8,119.27,119.75,231143
2024-01-03,121.41,124.31,118.57,120.99,170507
2024-01-04,119.44,119.95,118.52,119.6,346956
2024-01-05,120.19,121.19,118.63,120.89,361714
2024-01-08,119.02,120.17,118.47,119.29,363045
2024-01-09,116.23,116.68,114.39,115.47,110186
2024-01-10,113.42,113.8,111.97,112.15,172066
2024-01-11,113.34,113.89,110.44,112.3,440508
2024-01-12,112.55,114.74,110.9,112.88,231323
2024-01-15,110.36,112.11,109.43,111.1,246243
2024-01-16,112.53,112.96,111.09,112.44,86160
2024-01-17,107.97,109.94,106.37,109.13,69156
2024-01-18,109.26,109.75,108.96,109.05,126208
2024-01-19,106.64,107.52,105.58,106.73,199001
2024-01-22,105.24,105.88,103.47,105.53,281226
2024-01-23,104.66,105.92,103.33,105.67,497421
