Customer_ID,Age,Annual_Income,Employment_Years,Credit_Score,Credit_Amount,Interest_Rate,Loan_Term_Months,Existing_Loans,Debt_to_Income_Ratio,Late_Payments,Credit_Utilization,Bank_Account_Balance,Previous_Default,Loan_Purpose,Default
C000041,48,134620,0.6,705,464512,11.37,84,1,0.515,1,0.388,7669,0,Home,0
C000042,55,100142,7.2,609,194887,15.14,84,2,0.517,3,0.346,300306,0,Auto,0
C000043,54,139259,8.0,646,475152,27.63,36,2,0.424,0,0.296,497845,0,Home,0
C000044,33,191140,0.0,845,437967,7.36,36,2,0.376,2,0.434,108890,0,Education,1
C000045,61,180106,6.9,696,432554,26.79,72,1,0.366,3,0.595,225639,0,Home,1
C000046,24,27944,3.1,726,14870,25.66,24,4,0.504,1,0.396,156353,0,Medical,0
C000047,63,206143,5.7,547,28765,24.89,12,2,0.397,1,0.772,128190,0,Personal,1
C000048,26,219289,0.0,716,341027,13.45,72,2,0.413,1,0.289,380465,0,Personal,0
C000049,21,185975,5.2,721,83477,26.43,12,1,0.257,1,0.491,161395,1,Education,1
C000050,32,80708,14.3,746,126352,14.17,24,0,0.231,1,0.143,356472,0,Education,0
C000051,55,196217,10.4,747,166966,10.36,36,0,0.24,0,0.465,337173,0,Personal,0
C000052,31,84212,6.9,746,204676,27.5,12,0,0.696,2,0.124,403820,0,Auto,0
C000053,43,213168,11.6,685,96508,6.05,24,4,0.637,3,0.701,215680,0,Personal,1
C000054,34,92217,3.4,690,398645,9.06,36,1,0.406,1,0.505,278293,1,Home,1
C000055,39,107048,0.0,732,342576,10.52,24,1,0.068,1,0.372,130088,0,Medical,1
C000056,57,247981,1.1,601,236458,8.92,72,2,0.525,0,0.647,489309,0,Home,0
C000057,36,36218,5.6,599,45848,26.97,12,0,0.604,1,0.514,263213,1,Personal,1
C000058,64,230957,9.9,708,225453,10.82,48,2,0.446,0,0.181,336386,0,Personal,1
C000059,48,229669,3.0,785,46496,7.42,48,1,0.14,0,0.229,273724,0,Personal,0
C000060,65,46408,12.7,622,160352,22.65,36,3,0.182,1,0.294,220002,0,Personal,1
C000061,51,18352,3.8,665,330895,23.63,24,0,0.402,1,0.147,388327,0,Business,1
C000062,27,93792,0.0,473,308217,22.99,84,0,0.8,0,0.474,242336,0,Business,1
C000063,66,235566,8.3,780,117220,14.59,48,1,0.769,1,0.571,360819,0,Education,0
C000064,47,198324,7.9,821,464292,15.51,72,1,0.508,1,0.599,370068,0,Medical,1
C000065,37,182925,0.4,674,115951,13.52,24,0,0.242,2,0.278,22211,1,Education,1
C000066,27,192214,10.2,683,480543,7.62,12,1,0.52,1,0.567,160690,0,Home,1
C000067,35,204685,7.4,653,69771,17.48,36,1,0.59,1,0.376,261875,0,Medical,0
C000068,60,249202,0.0,630,269350,14.99,36,3,0.513,0,0.574,344138,0,Home,1
C000069,32,124301,13.1,715,364710,18.99,72,2,0.248,2,0.174,180829,0,Home,0
C000070,28,122965,9.9,827,196204,24.64,60,1,0.49,1,0.398,204473,0,Personal,0
C000071,22,21830,3.0,832,498152,27.22,72,2,0.309,1,0.146,88729,0,Personal,0
C000072,64,248876,9.4,607,91129,24.12,60,2,0.596,1,0.422,37463,1,Home,0
C000073,58,241217,7.8,644,151096,5.28,36,2,0.224,0,0.487,194640,0,Auto,0
C000074,46,80916,4.9,712,338779,12.96,72,2,0.94,2,0.379,422567,0,Auto,0
C000075,41,200115,6.9,731,214800,21.21,48,1,0.675,2,0.866,113248,0,Home,0
C000076,33,242749,1.8,667,347463,8.59,60,1,0.654,0,0.493,46728,0,Business,1
C000077,39,155624,0.5,623,112913,7.28,24,1,0.192,1,0.48,112257,0,Business,0
C000078,38,69880,0.0,619,429889,11.5,36,0,0.125,2,0.261,302074,0,Auto,0
C000079,22,86167,2.7,713,71074,17.26,72,1,0.189,1,0.617,278121,1,Personal,0
C000080,65,158536,4.7,649,221565,17.76,48,1,0.534,3,0.499,366741,1,Education,1
C000081,62,102146,10.3,755,140090,15.21,36,1,0.142,0,0.174,291674,0,Education,0
C000082,69,43404,4.0,713,475412,17.9,72,0,0.033,1,0.562,346154,1,Personal,1
C000083,48,194285,14.0,656,171589,24.94,12,6,0.571,1,0.804,291979,0,Home,1
C000084,43,138159,5.7,735,453067,8.43,24,3,0.251,0,0.304,144199,0,Education,0
C000085,24,221818,13.0,635,196667,11.28,60,2,0.603,1,0.42,275392,0,Auto,0
C000086,24,104059,7.6,749,358028,11.67,60,0,0.237,2,0.36,48837,1,Auto,1
C000087,32,49161,11.1,631,135059,27.03,12,2,0.162,1,0.419,211505,0,Personal,1
C000088,42,52940,10.6,629,53954,27.75,60,1,0.47,1,0.334,77422,0,Education,0
C000089,46,124455,12.6,762,35253,19.83,12,1,0.444,0,0.616,395082,0,Medical,0
C000090,60,62738,12.4,813,320356,10.89,60,4,0.534,0,0.593,340259,0,Home,0
C000091,62,82039,17.0,737,256305,21.09,60,0,0.407,3,0.602,78537,0,Personal,0
C000092,55,57651,11.9,556,293870,20.05,24,1,0.167,1,0.666,442626,0,Personal,0
C000093,24,79642,4.9,741,96086,15.79,12,1,0.268,0,0.642,311602,0,Personal,0
C000094,32,158599,12.7,714,112177,22.82,48,2,0.369,1,0.224,14046,1,Home,1
C000095,24,98518,13.4,666,60346,6.59,48,0,0.32,3,0.209,119330,0,Education,1
C000096,51,107491,8.2,705,108429,7.03,12,4,0.094,3,0.332,262937,0,Medical,0
C000097,27,44712,1.1,723,431405,16.62,24,3,0.372,1,0.477,227713,0,Personal,1
C000098,30,104324,11.0,735,119413,6.15,12,0,0.312,1,0.307,379614,0,Auto,0
C000099,44,76520,15.2,759,477372,7.64,48,4,0.257,0,0.273,493267,0,Education,0
C000100,35,30722,6.2,586,232542,14.51,12,4,0.375,3,0.678,32431,0,Auto,1
C000101,59,201872,9.7,760,121835,27.43,24,1,0.453,1,0.512,214063,0,Personal,0
C000102,40,117193,5.0,560,336557,8.15,24,1,0.455,2,0.405,58088,0,Home,1
C000103,27,230158,10.2,684,134864,17.27,36,0,0.589,1,0.613,147821,1,Home,1
C000104,33,89084,7.9,738,148784,27.45,36,0,0.78,1,0.776,419018,0,Auto,0
C000105,48,166571,3.9,772,64645,20.56,60,2,0.182,1,0.222,197717,0,Auto,1
C000106,59,240866,8.1,712,364035,21.04,60,2,0.151,0,0.585,185802,0,Auto,0
C000107,38,144407,0.0,752,309835,25.53,84,0,0.354,2,0.694,269224,1,Education,1
C000108,67,43807,4.9,704,397685,11.87,84,3,0.566,0,0.713,460008,0,Personal,0
C000109,31,214751,0.3,637,185949,27.91,84,0,0.278,0,0.304,196376,1,Auto,1
C000110,56,28073,13.4,716,279112,15.55,48,2,0.02,0,0.277,450365,0,Personal,0
C000111,56,33049,4.6,639,433119,12.89,72,2,0.655,4,0.386,115715,0,Home,1
C000112,22,234046,0.0,767,409948,16.63,24,2,0.345,2,0.55,15645,0,Auto,1
C000113,68,38482,10.1,654,290138,21.68,84,1,0.427,4,0.469,410002,0,Home,1
C000114,66,165110,16.7,707,241752,11.98,24,4,0.471,3,0.4,414993,0,Personal,0
C000115,37,238213,10.0,701,150840,14.65,60,3,0.577,0,0.369,317529,0,Auto,0
C000116,26,129612,14.2,712,71846,17.33,60,2,0.224,0,0.239,166098,0,Personal,0
C000117,61,116910,6.6,819,470988,17.66,24,0,0.637,2,0.54,339355,0,Education,1
C000118,66,33399,6.7,730,227645,26.4,24,1,0.574,1,0.375,13581,0,Home,0
C000119,43,244611,7.4,597,231992,8.17,24,0,0.096,2,0.718,250290,0,Auto,1
C000120,67,66793,0.0,762,168219,25.12,24,2,0.433,0,0.675,187794,0,Business,0
C000121,36,212555,12.0,722,301959,6.01,72,3,0.445,0,0.167,178995,0,Business,1
C000122,61,181546,8.9,701,217712,15.92,72,0,0.278,2,0.829,117902,0,Auto,1
C000123,46,187314,10.1,705,404555,27.46,36,2,0.406,1,0.383,378243,1,Personal,0
C000124,66,206237,0.0,794,374144,7.07,12,2,0.338,1,0.361,482412,0,Personal,0
C000125,21,209252,12.4,705,211558,20.85,60,3,0.531,2,0.392,185844,0,Home,1
C000126,56,61094,2.4,654,289930,7.34,60,2,0.42,0,0.307,315845,0,Home,0
C000127,50,230531,8.7,636,328973,26.51,48,0,0.471,3,0.633,433130,0,Medical,0
C000128,22,127170,5.6,581,286290,14.97,48,1,0.643,2,0.625,133674,0,Business,1
C000129,40,80319,13.7,746,33857,8.76,60,0,0.123,2,0.365,268180,0,Medical,0
C000130,25,78239,7.7,728,106143,14.38,36,2,0.689,0,0.738,215744,0,Medical,0
C000131,51,155232,14.8,666,358107,13.96,36,4,0.235,0,0.397,68556,0,Auto,0
C000132,28,65118,1.6,620,203437,22.04,84,1,0.47,0,0.123,342104,0,Home,1
C000133,50,168059,5.6,747,380736,14.58,24,0,0.115,1,0.311,17143,1,Home,0
C000134,59,20357,2.3,651,245205,22.53,24,3,0.308,1,0.458,292754,0,Auto,1
C000135,22,169792,0.0,623,242440,12.47,36,1,0.091,0,0.4,156148,0,Auto,1
C000136,33,144968,7.5,698,445108,8.72,72,0,0.21,1,0.376,83898,0,Home,0
C000137,24,197876,3.6,741,196761,10.7,72,1,0.467,0,0.113,312988,0,Auto,0
C000138,65,193401,1.5,850,331122,20.69,48,1,0.313,2,0.691,499731,0,Auto,0
C000139,28,201467,10.1,659,181596,9.45,60,0,0.228,1,0.319,377682,0,Medical,0
C000140,59,76736,2.3,666,366998,21.51,12,1,0.02,0,0.402,479214,0,Personal,0
C000141,45,113983,18.6,649,126075,5.17,12,1,0.662,1,0.414,153035,0,Personal,0
C000142,27,187488,3.2,680,164386,13.31,48,1,0.131,2,0.325,413626,0,Auto,0
C000143,34,234745,6.8,728,69865,27.11,36,1,0.169,0,0.572,78116,0,Education,0
C000144,49,233951,6.6,806,415510,24.55,72,1,0.287,2,0.336,174573,0,Home,0
C000145,65,137680,8.7,696,5764,24.2,48,2,0.02,0,0.368,236773,0,Auto,0
C000146,41,122827,3.5,631,245650,5.05,60,2,0.475,1,0.387,50645,0,Medical,0
C000147,57,162982,6.6,660,496233,13.33,24,1,0.387,0,0.538,417885,0,Personal,1
C000148,69,233793,0.0,584,207633,18.27,12,1,0.174,2,0.46,33258,0,Auto,1
C000149,53,232879,4.3,558,384750,22.28,48,2,0.398,1,0.418,177686,0,Home,1
C000150,61,57845,2.9,590,178406,25.51,84,0,0.482,4,0.403,13178,0,Personal,1
C000151,45,117952,4.9,698,93612,13.61,36,2,0.346,0,0.547,367719,1,Education,1
C000152,66,114083,5.3,661,210880,19.96,48,0,0.45,4,0.305,36014,0,Home,0
C000153,34,28675,6.5,599,240119,14.72,12,1,0.344,2,0.617,127109,0,Medical,0
C000154,29,227666,13.7,623,44742,14.46,84,2,0.648,2,0.485,402597,1,Home,1
C000155,35,162023,12.2,632,202740,20.19,24,2,0.508,0,0.308,184011,0,Home,0
C000156,27,60903,5.8,669,417672,22.8,24,4,0.549,2,0.463,110419,0,Personal,0
C000157,22,53254,8.0,751,148004,14.69,60,1,0.741,2,0.164,142162,0,Business,0
C000158,51,96850,0.0,687,147762,12.95,48,1,0.472,0,0.724,389956,0,Home,0
C000159,27,127971,6.7,571,305014,23.99,36,1,0.43,1,0.629,411690,0,Personal,0
C000160,61,202532,4.7,642,25204,11.56,12,1,0.411,1,0.125,319674,0,Auto,0
C000161,31,28099,13.8,598,403325,24.18,84,2,0.336,2,0.239,210070,0,Personal,1
C000162,33,184128,9.2,646,493142,8.12,72,1,0.399,3,0.394,276086,0,Personal,1
C000163,33,115451,11.8,613,108166,26.72,84,0,0.325,0,0.243,423612,0,Personal,0
C000164,46,91264,9.5,682,400282,21.25,72,1,0.386,1,0.607,115373,0,Personal,0
C000165,63,185888,8.1,813,143055,14.63,24,2,0.241,0,0.482,240798,0,Personal,0
C000166,28,65857,0.0,715,167693,6.36,48,0,0.16,1,0.518,71575,0,Home,0
C000167,34,165395,5.5,709,172025,16.38,84,3,0.601,1,0.069,253221,0,Auto,0
C000168,65,135568,10.1,649,444570,7.85,48,2,0.49,1,0.337,310108,0,Personal,1
C000169,22,23803,5.0,640,111872,9.73,24,0,0.661,2,0.216,440267,0,Personal,1
C000170,62,139511,11.3,758,54480,18.15,84,1,0.346,2,0.555,193291,1,Auto,0
C000171,35,245614,11.2,808,79472,11.68,60,3,0.184,3,0.487,332184,0,Personal,0
C000172,44,227022,6.8,791,124958,20.56,24,1,0.426,0,0.417,31068,1,Education,0
C000173,54,108802,8.8,723,294821,27.93,36,2,0.585,0,0.386,248759,0,Personal,0
C000174,24,95998,4.5,595,21025,14.16,24,1,0.267,3,0.436,11257,1,Home,1
C000175,38,91816,0.0,571,239900,20.96,60,2,0.527,1,0.28,324943,0,Personal,1
C000176,45,203617,16.2,517,321402,15.82,12,5,0.213,1,0.26,397805,0,Auto,0
C000177,67,47972,6.1,790,188985,7.82,84,0,0.562,0,0.549,217220,0,Auto,1
C000178,44,142346,2.1,643,208999,22.09,72,2,0.036,0,0.364,404952,0,Business,0
C000179,26,88809,8.4,688,277709,11.29,12,1,0.279,0,0.494,486077,0,Business,1
C000180,54,219962,13.7,709,56060,7.48,84,1,0.515,2,0.608,390848,0,Business,0
C000181,58,179335,10.0,636,156288,27.14,24,3,0.307,0,0.409,97163,0,Auto,1
C000182,23,224156,0.0,657,486124,20.73,84,0,0.334,0,0.27,427852,0,Personal,1
C000183,39,97025,0.0,797,173040,17.24,36,0,0.427,4,0.183,337332,0,Auto,0
C000184,67,97628,0.9,710,164365,6.57,72,2,0.519,0,0.377,299023,0,Business,1
C000185,66,171125,5.2,648,121223,11.76,48,2,0.229,2,0.776,445982,0,Business,0
C000186,56,195634,7.1,698,273753,9.17,24,0,0.489,1,0.429,297620,1,Auto,1
C000187,39,211511,11.0,700,125738,14.16,84,3,0.312,3,0.501,318704,0,Auto,0
C000188,48,24352,8.5,623,93642,20.68,60,1,0.227,1,0.557,486566,0,Home,0
C000189,67,206970,21.1,684,48843,13.54,48,1,0.287,2,0.494,232168,0,Auto,0
C000190,30,165150,11.4,501,78077,26.17,60,1,0.247,0,0.63,381370,0,Personal,0
C000191,38,39592,4.7,752,120340,12.18,12,1,0.403,2,0.216,307506,0,Education,0
C000192,24,168956,9.0,744,403209,26.27,48,1,0.479,1,0.282,156059,0,Home,0
C000193,32,149296,10.8,688,276696,21.03,48,1,0.305,0,0.739,168849,0,Education,0
C000194,47,82818,1.2,732,409816,20.52,36,1,0.158,2,0.382,114354,0,Auto,0
C000195,49,213310,4.4,668,188838,11.8,48,2,0.51,0,0.253,373623,0,Home,0
C000196,32,212024,6.0,687,340702,16.2,84,0,0.524,1,0.505,401477,1,Personal,1
C000197,31,223296,18.5,694,247154,7.96,36,2,0.296,1,0.587,285965,0,Education,1
C000198,24,156170,0.0,664,259597,18.52,24,2,0.288,1,0.823,173841,0,Home,1
C000199,66,103731,3.5,682,216784,25.93,72,1,0.401,0,0.572,387523,0,Personal,0
C000200,44,247519,7.5,760,200544,15.45,84,0,0.483,1,0.432,477259,0,Home,0
C000201,46,187920,0.0,603,221618,21.02,60,2,0.382,0,0.442,493720,0,Auto,1
C000202,48,125802,0.0,611,285161,26.09,72,2,0.429,1,0.697,29860,0,Business,1
C000203,67,82722,11.0,687,103246,22.58,36,1,0.543,1,0.466,147263,0,Education,1
C000204,24,96111,3.1,585,254218,11.58,36,2,0.279,2,0.277,397938,0,Personal,1
C000205,56,231948,4.3,630,249095,17.92,84,1,0.483,1,0.916,149124,0,Auto,0
C000206,35,233772,9.7,651,14598,17.25,48,0,0.323,0,0.289,34110,0,Home,0
C000207,42,52818,2.8,579,247610,25.81,72,2,0.07,0,0.538,169087,0,Personal,1
C000208,69,211044,10.6,751,485708,26.71,12,2,0.424,0,0.314,492090,0,Education,0
C000209,44,52448,1.1,804,59217,8.35,48,0,0.291,1,0.343,450315,0,Personal,0
C000210,44,99056,4.0,648,411813,13.95,12,2,0.597,1,0.347,28968,0,Medical,1
C000211,57,124961,5.6,629,397295,20.61,24,0,0.083,3,0.545,487442,0,Education,0
C000212,25,69571,12.4,755,29064,11.67,24,3,0.369,1,0.187,68463,0,Medical,0
C000213,26,121993,14.6,669,187937,18.83,60,0,0.535,1,0.511,177642,0,Business,0
C000214,69,243148,9.0,549,492458,26.3,72,4,0.214,0,0.277,62904,0,Auto,1
C000215,30,145039,17.9,713,11223,20.59,12,2,0.555,2,0.134,201091,0,Medical,0
C000216,23,172337,12.0,749,494185,21.14,60,1,0.424,3,0.74,307933,0,Auto,1
C000217,58,237452,6.8,618,284706,23.52,48,2,0.145,0,0.312,80614,0,Home,0
C000218,54,192596,12.9,629,251860,13.92,60,0,0.099,0,0.296,10970,0,Personal,0
C000219,26,161879,6.5,701,223370,24.03,48,1,0.421,1,0.511,190993,0,Home,0
C000220,30,198905,16.9,594,276814,23.7,36,2,0.383,1,0.593,397692,0,Home,0
C000221,36,123823,9.6,662,411995,26.26,72,2,0.236,4,0.258,47947,0,Medical,0
C000222,49,92631,10.1,755,108972,24.95,48,1,0.303,0,0.354,82944,0,Home,0
C000223,23,125886,1.2,645,155321,7.56,72,0,0.329,1,0.392,256809,0,Business,0
C000224,31,112140,6.4,719,495036,25.51,48,1,0.466,1,0.378,140923,0,Education,0
C000225,57,80703,4.1,717,481005,16.12,60,1,0.451,1,0.631,295942,0,Personal,1
C000226,24,48408,0.5,721,124198,6.19,48,1,0.679,1,0.687,400354,0,Personal,0
C000227,69,46314,8.0,762,401199,24.45,36,1,0.424,0,0.554,278208,0,Home,0
C000228,24,84004,7.7,791,451331,14.53,72,3,0.254,1,0.831,86400,1,Personal,1
C000229,44,64758,5.8,616,74427,23.37,48,0,0.564,1,0.456,261275,0,Education,0
C000230,48,94871,8.8,707,111360,5.02,84,3,0.466,3,0.663,251082,0,Education,0
C000231,55,240218,0.0,626,256132,22.14,84,1,0.695,3,0.2,249917,0,Personal,0
C000232,58,104610,19.6,649,43891,8.99,36,4,0.394,2,0.282,166557,0,Personal,1
C000233,44,95870,7.3,716,130290,14.71,60,0,0.533,2,0.435,438557,0,Medical,0
C000234,42,178314,13.8,715,373130,19.09,48,1,0.509,2,0.313,343883,0,Education,0
C000235,46,118945,5.7,569,225712,21.68,72,2,0.593,1,0.482,237554,0,Personal,1
C000236,38,64690,12.6,684,173882,20.73,48,1,0.28,0,0.583,218452,0,Education,1
C000237,23,233724,6.0,821,469594,5.33,72,0,0.263,0,0.456,320824,1,Home,1
C000238,66,134443,12.2,735,365585,24.14,84,3,0.25,1,0.138,262709,0,Education,0
C000239,31,237993,2.0,790,452557,20.87,72,1,0.518,2,0.485,455435,1,Business,1
C000240,29,192751,7.5,800,130225,27.1,12,1,0.654,1,0.548,196235,0,Personal,0
C000241,53,179947,4.6,707,440393,13.12,24,3,0.544,2,0.497,99462,0,Home,0
C000242,46,136660,9.1,661,70313,19.61,72,2,0.02,2,0.333,367193,0,Home,0
C000243,56,158960,4.3,826,302825,23.48,36,2,0.216,0,0.41,365501,0,Personal,1
C000244,24,231820,10.7,672,166769,14.44,36,0,0.229,1,0.38,125588,0,Personal,1
C000245,22,247325,9.5,576,211825,9.45,84,1,0.556,0,0.558,276296,0,Education,0
C000246,28,132503,7.1,636,291149,25.67,24,2,0.538,1,0.505,282446,0,Education,1
C000247,27,220778,6.8,691,273802,23.17,24,2,0.02,1,0.22,224418,0,Personal,0
C000248,56,195335,2.0,657,262221,7.85,84,2,0.288,2,0.544,328585,0,Home,0
C000249,54,77804,6.2,623,373688,12.12,84,2,0.556,3,0.605,148974,0,Personal,1
C000250,60,128367,10.4,732,299062,22.19,60,4,0.263,0,0.479,236469,0,Personal,0
C000251,39,208610,19.8,672,442702,7.37,24,0,0.434,2,0.632,488774,0,Home,0
C000252,49,65513,3.8,668,387846,20.51,36,1,0.323,0,0.519,29050,0,Business,1
C000253,59,200873,8.3,754,93961,18.99,48,1,0.413,3,0.365,493709,0,Business,0
C000254,26,127604,18.7,666,100297,15.56,12,3,0.044,1,0.303,409269,0,Auto,0
C000255,30,138085,8.8,662,247401,12.18,84,1,0.29,1,0.583,497751,0,Education,0
C000256,61,105893,8.7,799,92734,24.31,36,0,0.477,2,0.204,276854,0,Home,0
C000257,62,148099,4.1,796,396332,10.78,12,0,0.316,2,0.354,243717,0,Auto,0
C000258,25,43906,9.3,635,334004,21.77,36,1,0.149,0,0.495,185701,0,Home,0
C000259,44,179041,10.2,658,354164,21.58,72,1,0.266,1,0.476,252400,0,Business,0
C000260,61,133572,0.0,709,146178,7.66,84,0,0.23,0,0.528,444651,1,Home,0
C000261,42,216940,6.5,748,351602,21.16,24,2,0.642,2,0.171,385289,0,Home,1
C000262,46,229552,13.8,500,309877,6.64,60,2,0.741,1,0.262,96806,0,Personal,0
C000263,57,119106,8.3,689,454182,26.02,84,3,0.246,0,0.369,121100,0,Home,0
C000264,65,104644,4.2,610,137120,25.3,84,1,0.379,1,0.169,494010,0,Home,1
C000265,49,30534,16.8,706,187372,22.19,24,1,0.638,0,0.519,221789,1,Auto,1
C000266,56,105202,13.0,610,398006,19.44,36,1,0.55,2,0.407,475366,1,Personal,0
C000267,40,88709,7.7,659,295055,7.45,12,2,0.181,0,0.741,97101,0,Auto,0
C000268,38,168091,7.7,745,409871,12.65,12,3,0.02,1,0.518,366638,0,Auto,0
C000269,60,76655,13.6,714,392443,17.29,84,2,0.448,0,0.043,420956,0,Home,0
C000270,65,188490,12.8,756,253964,27.61,12,3,0.52,2,0.885,322248,0,Home,0
C000271,61,231952,8.6,534,93181,26.69,72,0,0.487,1,0.498,176222,0,Business,1
C000272,35,33867,2.2,674,242822,22.32,24,1,0.283,2,0.425,61756,1,Auto,1
C000273,35,183145,4.4,676,377203,21.55,24,2,0.688,1,0.585,373074,0,Personal,1
C000274,44,122386,4.0,673,439766,26.57,84,2,0.433,1,0.643,430691,0,Home,1
C000275,49,238303,3.0,646,87786,15.53,84,3,0.385,1,0.633,309864,0,Personal,1
C000276,37,109026,11.8,502,494108,17.97,48,0,0.102,0,0.406,144148,0,Personal,0
C000277,69,118806,10.0,652,397785,25.5,12,3,0.42,1,0.695,330506,1,Auto,1
C000278,67,21613,12.6,495,405744,17.99,12,2,0.348,1,0.237,326000,0,Home,0
C000279,45,148943,9.0,728,54794,19.1,48,3,0.296,3,0.665,92712,0,Auto,1
C000280,36,37819,9.8,635,475801,24.31,12,1,0.203,0,0.831,220190,0,Personal,0
C000281,37,42305,12.8,801,390796,6.61,36,2,0.44,2,0.416,52967,0,Home,0
C000282,67,55190,5.6,672,320106,10.05,48,3,0.535,2,0.826,276394,1,Personal,1
C000283,67,185898,10.8,642,339237,18.96,24,0,0.129,1,0.317,452457,0,Home,0
C000284,41,78608,13.6,707,234600,20.33,36,0,0.389,2,0.575,101846,0,Medical,0
C000285,64,145211,9.4,759,140152,22.64,12,0,0.335,1,0.746,58335,0,Home,0
C000286,68,78122,6.5,531,387570,14.47,72,2,0.381,2,0.167,430476,0,Business,1
C000287,47,185170,7.9,704,149983,19.87,24,2,0.458,1,0.219,39389,0,Home,1
C000288,25,112440,6.2,615,105035,17.0,48,1,0.664,0,0.523,358597,0,Home,1
C000289,42,51356,17.3,560,224179,9.75,36,3,0.738,2,0.074,307519,0,Business,1
C000290,53,246371,6.2,655,331019,15.38,48,1,0.491,1,0.369,47311,0,Auto,0
C000291,60,121541,11.7,687,136030,24.09,24,1,0.353,1,0.413,411108,0,Auto,1
C000292,22,224968,8.0,637,364738,6.69,12,1,0.567,2,0.16,132148,1,Auto,1
C000293,55,119019,2.2,621,142978,17.95,72,1,0.171,4,0.527,114995,0,Business,1
C000294,63,19479,17.1,729,240836,16.39,84,1,0.175,1,0.102,332174,0,Home,0
C000295,39,160248,0.0,750,60824,10.73,36,2,0.297,0,0.431,229648,0,Education,0
