Customer_ID,Age_Group,Gender,City,Customer_Segment,Product_Category,Product_Brand,Device_Type,Membership_Type,Browsing_Category,Previous_Purchase_Category,Price_Range,Discount_Available,Review_Rating,Browsing_Time_Min,Purchase_Frequency,Recommended
C000019,46-55,Male,Hyderabad,New,Sports,Brand_C,Desktop,Gold,Home,Sports,Premium,Yes,3.3,5.7,1,0
C000020,18-25,Other,Bengaluru,Regular,Books,Brand_F,Desktop,Silver,Electronics,Sports,Medium,Yes,3.0,7.4,3,1
C000021,56+,Male,Jaipur,New,Electronics,Brand_D,Desktop,Silver,Fashion,Beauty,Premium,Yes,4.5,17.3,3,1
C000022,26-35,Female,Jaipur,New,Sports,Brand_F,Tablet,Basic,Books,Fashion,Medium,No,4.3,10.9,6,1
C000023,36-45,Female,Pune,VIP,Home,Brand_C,Mobile,Platinum,Books,None,Low,Yes,2.2,11.1,4,1
C000024,26-35,Male,Bengaluru,Premium,Home,Brand_E,Mobile,Gold,Home,Beauty,Premium,Yes,1.1,22.2,3,1
C000025,56+,Male,Chennai,Regular,Beauty,Brand_D,Mobile,Basic,Sports,Fashion,Medium,No,3.4,32.8,4,1
C000026,56+,Male,Kolkata,New,Beauty,Brand_B,Mobile,Basic,Grocery,Sports,Premium,Yes,1.8,29.8,3,1
C000027,26-35,Male,Jaipur,Premium,Beauty,Brand_B,Mobile,Basic,Beauty,Home,Low,No,3.5,26.9,3,0
C000028,26-35,Male,Hyderabad,Regular,Grocery,Brand_D,Mobile,Silver,Electronics,Books,Medium,No,4.7,26.3,1,1
C000029,18-25,Male,Pune,VIP,Electronics,Brand_E,Desktop,Silver,Fashion,Home,High,Yes,3.1,64.7,2,1
C000030,18-25,Female,Pune,Regular,Fashion,Brand_F,Tablet,Platinum,Sports,Grocery,Medium,Yes,2.1,13.4,2,0
C000031,46-55,Male,Jaipur,Regular,Fashion,Brand_E,Mobile,Basic,Grocery,Electronics,High,Yes,1.5,13.1,5,1
C000032,56+,Male,Chennai,New,Home,Brand_B,Desktop,Silver,Electronics,Books,High,No,3.8,14.5,6,1
C000033,26-35,Male,Chennai,Regular,Sports,Brand_B,Mobile,Basic,Home,Fashion,High,Yes,2.6,16.4,4,1
C000034,26-35,Male,Nagpur,New,Home,Brand_D,Desktop,Silver,Home,Home,Medium,No,2.0,20.3,2,0
C000035,18-25,Male,Kolkata,VIP,Beauty,Brand_A,Mobile,Basic,Fashion,Electronics,Low,No,3.3,16.6,1,1
C000036,26-35,Female,Bengaluru,Premium,Books,Brand_D,Mobile,Basic,Electronics,Beauty,High,No,2.6,20.1,4,1
C000037,46-55,Male,Pune,Regular,Beauty,Brand_B,Mobile,Basic,Electronics,Home,Medium,No,3.3,28.5,5,1
C000038,36-45,Male,Delhi,Regular,Home,Brand_F,Desktop,Gold,Beauty,Books,Low,No,2.6,28.5,2,1
C000039,46-55,Male,Delhi,Premium,Electronics,Brand_B,Mobile,Basic,Grocery,Fashion,High,No,1.1,5.1,1,1
C000040,18-25,Female,Bengaluru,New,Electronics,Brand_B,Desktop,Platinum,Books,Beauty,Medium,Yes,1.4,27.3,5,0
C000041,46-55,Male,Delhi,Regular,Grocery,Brand_F,Mobile,Silver,Electronics,Sports,Low,Yes,4.5,4.1,3,1
C000042,26-35,Female,Bengaluru,New,Fashion,Brand_F,Desktop,Gold,Electronics,Grocery,Premium,No,3.0,13.9,1,0
C000043,18-25,Male,Hyderabad,New,Books,Brand_F,Mobile,Basic,Electronics,Books,Medium,Yes,4.9,10.2,2,1
C000044,36-45,Male,Hyderabad,Regular,Electronics,Brand_F,Desktop,Basic,Beauty,Home,Medium,No,4.4,12.3,1,1
C000045,18-25,Male,Delhi,Premium,Electronics,Brand_F,Mobile,Basic,Grocery,Fashion,Premium,No,5.0,23.5,4,1
C000046,46-55,Female,Kolkata,VIP,Fashion,Brand_E,Mobile,Basic,Fashion,Books,Medium,No,2.9,5.7,2,0
C000047,46-55,Male,Kolkata,Premium,Sports,Brand_C,Mobile,Basic,Home,None,Medium,No,4.2,23.2,5,1
C000048,56+,Male,Delhi,New,Home,Brand_D,Mobile,Gold,Fashion,Electronics,High,No,1.2,5.7,4,0
C000049,46-55,Female,Bengaluru,Regular,Sports,Brand_F,Mobile,Gold,Home,Beauty,Low,No,3.3,43.5,7,1
C000050,18-25,Male,Nagpur,Regular,Books,Brand_B,Mobile,Basic,Electronics,None,Low,Yes,4.0,25.2,3,1
C000051,36-45,Male,Bengaluru,New,Home,Brand_A,Mobile,Silver,Electronics,Sports,High,Yes,2.9,21.1,3,1
C000052,56+,Male,Kolkata,Regular,Electronics,Brand_A,Tablet,Basic,Fashion,Home,Low,No,2.0,1.3,3,1
C000053,56+,Male,Mumbai,Premium,Home,Brand_A,Mobile,Gold,Books,Home,Premium,No,1.2,21.7,1,1
C000054,18-25,Male,Ahmedabad,Regular,Sports,Brand_E,Desktop,Silver,Home,Books,Low,Yes,2.1,9.0,4,0
C000055,56+,Female,Jaipur,New,Home,Brand_D,Mobile,Gold,Fashion,Sports,Premium,No,1.3,15.6,2,1
C000056,26-35,Male,Chennai,VIP,Books,Brand_D,Tablet,Platinum,Home,Beauty,Low,No,3.7,15.3,2,0
C000057,36-45,Female,Mumbai,Regular,Sports,Brand_C,Desktop,Platinum,Fashion,Beauty,Premium,No,2.2,9.8,1,1
C000058,18-25,Female,Chennai,Regular,Fashion,Brand_C,Mobile,Silver,Home,Beauty,Low,No,3.5,27.7,0,0
C000059,46-55,Female,Pune,Regular,Home,Brand_A,Desktop,Platinum,Grocery,Books,Low,No,3.2,15.2,0,1
C000060,26-35,Male,Nagpur,New,Fashion,Brand_D,Desktop,Gold,Books,Beauty,Premium,No,3.7,3.2,1,1
C000061,56+,Male,Delhi,Regular,Electronics,Brand_B,Desktop,Silver,Grocery,Electronics,High,No,5.0,29.6,1,1
C000062,18-25,Female,Delhi,Regular,Electronics,Brand_B,Tablet,Gold,Sports,Electronics,Low,Yes,4.6,4.1,1,0
C000063,46-55,Male,Ahmedabad,Premium,Fashion,Brand_B,Mobile,Basic,Beauty,Electronics,High,No,3.7,5.4,2,1
C000064,46-55,Male,Ahmedabad,Regular,Beauty,Brand_F,Mobile,Basic,Electronics,Books,Medium,No,4.6,18.8,5,1
C000065,18-25,Female,Ahmedabad,Regular,Fashion,Brand_D,Desktop,Gold,Fashion,Fashion,Medium,No,2.5,36.1,3,1
C000066,56+,Male,Ahmedabad,Regular,Beauty,Brand_E,Mobile,Basic,Grocery,Grocery,High,No,4.7,6.6,3,0
C000067,56+,Male,Jaipur,Regular,Electronics,Brand_E,Mobile,Silver,Sports,Sports,Low,Yes,1.5,1.2,3,1
C000068,46-55,Male,Nagpur,Regular,Home,Brand_D,Tablet,Gold,Home,Beauty,High,No,2.5,22.1,1,0
C000069,46-55,Female,Pune,New,Grocery,Brand_B,Mobile,Basic,Electronics,Electronics,High,Yes,3.0,46.5,5,1
C000070,36-45,Female,Kolkata,Regular,Fashion,Brand_A,Desktop,Gold,Sports,None,Premium,Yes,2.7,21.8,4,0
C000071,26-35,Male,Pune,VIP,Sports,Brand_E,Mobile,Silver,Home,Home,Low,Yes,1.8,15.2,1,1
C000072,56+,Female,Delhi,New,Grocery,Brand_D,Mobile,Gold,Books,Home,Medium,No,2.7,17.4,4,1
C000073,26-35,Male,Hyderabad,VIP,Fashion,Brand_B,Mobile,Basic,Fashion,Sports,Medium,Yes,4.8,6.8,4,1
C000074,18-25,Male,Kolkata,Premium,Beauty,Brand_A,Desktop,Gold,Books,Grocery,Premium,Yes,3.9,6.0,0,1
C000075,46-55,Male,Nagpur,Premium,Beauty,Brand_A,Mobile,Silver,Electronics,Home,Medium,No,1.6,63.8,2,1
C000076,26-35,Female,Nagpur,Premium,Grocery,Brand_A,Mobile,Basic,Electronics,Fashion,High,No,1.6,4.8,3,1
C000077,46-55,Female,Nagpur,Premium,Electronics,Brand_F,Desktop,Silver,Books,Grocery,Low,Yes,3.3,11.2,2,1
C000078,26-35,Female,Kolkata,New,Books,Brand_A,Mobile,Silver,Grocery,Books,Low,No,2.1,2.6,2,1
C000079,36-45,Female,Delhi,Regular,Electronics,Brand_F,Desktop,Basic,Home,Grocery,Low,Yes,1.3,42.7,2,1
C000080,26-35,Male,Delhi,Premium,Home,Brand_F,Desktop,Basic,Fashion,Sports,Premium,Yes,1.1,7.8,4,1
C000081,46-55,Female,Kolkata,New,Beauty,Brand_C,Mobile,Silver,Electronics,Sports,Medium,No,2.2,18.8,5,1
C000082,46-55,Male,Hyderabad,Regular,Books,Brand_C,Mobile,Basic,Fashion,Fashion,Premium,Yes,1.4,27.5,5,1
C000083,18-25,Male,Chennai,New,Sports,Brand_F,Desktop,Silver,Beauty,Beauty,Medium,No,1.1,15.0,0,1
C000084,46-55,Female,Bengaluru,Regular,Electronics,Brand_F,Mobile,Platinum,Electronics,Sports,Premium,No,3.9,30.1,2,1
C000085,26-35,Female,Kolkata,Regular,Fashion,Brand_B,Mobile,Basic,Fashion,Sports,Medium,Yes,1.4,8.3,3,0
C000086,56+,Female,Bengaluru,Regular,Electronics,Brand_E,Mobile,Gold,Beauty,Books,Premium,No,3.4,12.1,3,1
C000087,56+,Other,Bengaluru,Regular,Grocery,Brand_D,Mobile,Platinum,Beauty,Electronics,Low,Yes,3.5,28.3,2,1
C000088,56+,Female,Nagpur,New,Home,Brand_E,Mobile,Silver,Fashion,Electronics,High,No,2.0,21.3,2,0
C000089,36-45,Other,Bengaluru,New,Home,Brand_D,Mobile,Gold,Grocery,Grocery,Premium,No,4.5,27.7,5,1
C000090,18-25,Female,Hyderabad,New,Sports,Brand_C,Mobile,Gold,Beauty,Fashion,Premium,Yes,4.7,6.0,2,0
C000091,56+,Female,Ahmedabad,Regular,Sports,Brand_D,Mobile,Basic,Sports,None,Medium,Yes,2.4,1.4,2,1
C000092,18-25,Female,Ahmedabad,Premium,Beauty,Brand_C,Desktop,Basic,Grocery,Books,Premium,Yes,3.9,21.2,5,1
C000093,56+,Female,Jaipur,Regular,Sports,Brand_C,Mobile,Basic,Home,Fashion,Low,Yes,3.5,31.0,6,1
C000094,18-25,Male,Jaipur,New,Home,Brand_E,Mobile,Silver,Electronics,None,Low,Yes,3.7,18.9,5,1
C000095,18-25,Male,Ahmedabad,Regular,Sports,Brand_D,Mobile,Gold,Fashion,Fashion,Premium,No,4.3,10.7,3,0
C000096,26-35,Male,Hyderabad,New,Beauty,Brand_F,Desktop,Silver,Books,Beauty,High,No,3.1,21.0,0,1
C000097,46-55,Female,Chennai,Regular,Books,Brand_F,Desktop,Silver,Beauty,Home,Medium,No,3.0,27.4,4,1
C000098,26-35,Female,Ahmedabad,VIP,Grocery,Brand_E,Mobile,Basic,Home,Beauty,Medium,Yes,4.8,14.8,4,1
C000099,26-35,Male,Pune,Regular,Fashion,Brand_F,Mobile,Gold,Fashion,Fashion,Premium,Yes,3.6,4.8,1,1
C000100,56+,Male,Ahmedabad,New,Electronics,Brand_A,Mobile,Gold,Grocery,Books,Premium,Yes,1.8,20.8,3,1
C000101,36-45,Female,Ahmedabad,New,Beauty,Brand_A,Mobile,Basic,Books,Electronics,High,No,3.0,7.1,2,0
C000102,26-35,Female,Nagpur,Regular,Electronics,Brand_E,Mobile,Silver,Electronics,Home,High,Yes,2.6,19.5,5,0
C000103,56+,Female,Ahmedabad,Regular,Fashion,Brand_A,Desktop,Basic,Books,Grocery,High,Yes,2.5,41.7,1,1
C000104,36-45,Male,Mumbai,Regular,Sports,Brand_F,Mobile,Basic,Electronics,Books,Medium,No,2.5,7.8,4,1
C000105,56+,Female,Bengaluru,VIP,Grocery,Brand_A,Mobile,Silver,Home,Beauty,Premium,Yes,3.1,26.2,3,1
C000106,46-55,Female,Jaipur,New,Sports,Brand_D,Mobile,Silver,Fashion,Grocery,Medium,No,1.1,9.6,1,0
C000107,46-55,Male,Mumbai,Premium,Electronics,Brand_A,Mobile,Silver,Fashion,Grocery,Low,Yes,2.1,30.7,5,1
C000108,36-45,Male,Ahmedabad,Regular,Home,Brand_D,Mobile,Basic,Fashion,Home,Low,Yes,2.1,36.0,4,1
C000109,26-35,Male,Jaipur,Regular,Sports,Brand_A,Mobile,Basic,Fashion,Grocery,Medium,No,1.8,26.4,4,1
C000110,18-25,Male,Kolkata,New,Books,Brand_A,Tablet,Gold,Electronics,Grocery,Premium,No,4.7,29.5,1,1
C000111,18-25,Female,Hyderabad,New,Sports,Brand_D,Mobile,Basic,Books,None,Medium,Yes,2.0,12.7,7,1
C000112,18-25,Female,Delhi,VIP,Electronics,Brand_C,Tablet,Basic,Fashion,Home,Medium,No,3.5,26.6,3,1
C000113,18-25,Female,Pune,VIP,Books,Brand_A,Mobile,Basic,Grocery,Books,Medium,Yes,1.6,25.3,2,1
C000114,36-45,Male,Nagpur,New,Fashion,Brand_B,Mobile,Silver,Grocery,Beauty,High,No,4.8,26.2,6,1
C000115,46-55,Male,Bengaluru,Regular,Electronics,Brand_D,Mobile,Platinum,Sports,Grocery,Low,No,3.1,3.6,2,1
C000116,46-55,Male,Bengaluru,Regular,Grocery,Brand_F,Mobile,Basic,Sports,Books,Premium,Yes,4.6,28.3,3,0
C000117,18-25,Female,Ahmedabad,Regular,Grocery,Brand_E,Mobile,Basic,Fashion,None,High,Yes,1.1,13.6,1,0
C000118,36-45,Female,Pune,Premium,Grocery,Brand_E,Desktop,Basic,Books,Grocery,High,Yes,1.0,8.4,6,1
C000119,46-55,Male,Pune,VIP,Home,Brand_D,Tablet,Gold,Grocery,Books,Medium,Yes,3.8,10.3,5,1
C000120,36-45,Male,Kolkata,Regular,Home,Brand_F,Mobile,Silver,Home,Home,High,Yes,2.6,29.5,0,0
C000121,18-25,Female,Nagpur,Regular,Home,Brand_A,Mobile,Silver,Fashion,Electronics,Premium,Yes,2.7,18.4,6,1
C000122,26-35,Male,Ahmedabad,New,Beauty,Brand_B,Desktop,Platinum,Fashion,Grocery,Medium,No,2.9,14.6,2,1
C000123,56+,Male,Jaipur,Regular,Electronics,Brand_D,Mobile,Basic,Grocery,Books,High,No,3.3,4.5,2,0
C000124,18-25,Female,Delhi,Regular,Sports,Brand_B,Desktop,Platinum,Electronics,Home,High,No,4.0,24.8,4,1
C000125,18-25,Other,Delhi,VIP,Books,Brand_F,Desktop,Silver,Grocery,None,Low,No,3.6,28.7,1,1
C000126,26-35,Male,Hyderabad,Premium,Home,Brand_F,Mobile,Silver,Sports,Grocery,Medium,Yes,3.0,3.8,5,1
C000127,26-35,Female,Jaipur,Regular,Sports,Brand_A,Desktop,Silver,Sports,Electronics,High,Yes,2.8,5.9,4,1
C000128,26-35,Male,Jaipur,New,Fashion,Brand_F,Mobile,Basic,Fashion,Beauty,High,No,4.6,9.2,5,1
C000129,56+,Female,Delhi,Regular,Sports,Brand_D,Desktop,Gold,Electronics,Home,Medium,No,4.9,9.9,1,1
C000130,56+,Male,Jaipur,New,Electronics,Brand_C,Mobile,Basic,Books,Home,Premium,Yes,1.0,35.6,4,1
C000131,46-55,Female,Delhi,Regular,Sports,Brand_A,Mobile,Basic,Electronics,Sports,Medium,Yes,2.0,8.2,7,1
C000132,56+,Male,Jaipur,Regular,Beauty,Brand_E,Mobile,Basic,Beauty,None,High,No,2.9,16.0,5,1
C000133,46-55,Female,Mumbai,Regular,Books,Brand_F,Desktop,Basic,Home,Electronics,Premium,No,3.4,13.0,2,1
C000134,56+,Male,Hyderabad,Regular,Grocery,Brand_F,Desktop,Basic,Beauty,Books,Medium,Yes,2.3,20.6,3,0
C000135,36-45,Female,Jaipur,Regular,Home,Brand_C,Mobile,Platinum,Home,Grocery,Low,Yes,1.8,18.0,8,1
C000136,26-35,Female,Nagpur,Regular,Fashion,Brand_E,Desktop,Silver,Home,Home,Premium,Yes,3.8,21.3,3,1
C000137,26-35,Male,Kolkata,Regular,Fashion,Brand_B,Mobile,Gold,Electronics,Sports,Premium,Yes,4.2,17.4,3,1
C000138,26-35,Male,Kolkata,Regular,Beauty,Brand_C,Mobile,Basic,Grocery,Sports,Medium,No,3.8,12.2,1,0
C000139,56+,Male,Jaipur,New,Grocery,Brand_F,Desktop,Gold,Electronics,Home,High,No,1.9,13.5,4,1
C000140,18-25,Male,Pune,Regular,Grocery,Brand_F,Mobile,Silver,Electronics,Home,Medium,No,3.1,3.8,2,1
C000141,46-55,Female,Hyderabad,Premium,Books,Brand_D,Mobile,Gold,Beauty,None,High,Yes,4.0,2.7,3,1
C000142,18-25,Female,Delhi,VIP,Books,Brand_B,Mobile,Gold,Beauty,Grocery,Low,Yes,4.5,10.0,2,0
C000143,56+,Male,Ahmedabad,Regular,Grocery,Brand_A,Mobile,Silver,Grocery,Electronics,High,No,4.5,10.5,3,0
C000144,56+,Male,Ahmedabad,New,Fashion,Brand_C,Mobile,Basic,Home,None,High,No,4.6,41.7,3,1
C000145,56+,Female,Kolkata,Regular,Grocery,Brand_A,Mobile,Basic,Electronics,Sports,Premium,Yes,2.3,14.1,2,1
C000146,46-55,Male,Chennai,Regular,Books,Brand_A,Desktop,Silver,Beauty,Grocery,Premium,Yes,2.0,27.6,2,1
C000147,26-35,Female,Mumbai,Regular,Home,Brand_F,Desktop,Basic,Beauty,Sports,Low,No,3.4,4.2,2,1
C000148,26-35,Female,Pune,Regular,Grocery,Brand_F,Mobile,Basic,Electronics,Fashion,Low,No,4.6,1.5,0,1
C000149,18-25,Female,Pune,Regular,Home,Brand_F,Mobile,Platinum,Home,Beauty,High,No,4.3,35.1,3,1
C000150,46-55,Male,Delhi,New,Fashion,Brand_C,Mobile,Basic,Electronics,Beauty,Medium,No,3.0,19.4,1,0
C000151,46-55,Female,Hyderabad,Regular,Books,Brand_E,Mobile,Platinum,Sports,Sports,High,No,4.7,14.1,5,1
C000152,56+,Female,Bengaluru,Premium,Beauty,Brand_B,Desktop,Gold,Books,Fashion,Medium,Yes,3.9,32.1,4,1
C000153,26-35,Male,Bengaluru,Premium,Beauty,Brand_F,Desktop,Gold,Grocery,Books,Medium,Yes,3.7,40.9,3,1
C000154,36-45,Other,Kolkata,New,Home,Brand_B,Mobile,Gold,Fashion,None,High,No,1.0,6.3,2,1
C000155,18-25,Male,Kolkata,New,Home,Brand_D,Mobile,Silver,Home,Electronics,High,No,1.0,11.0,1,0
C000156,56+,Male,Mumbai,Premium,Grocery,Brand_C,Mobile,Basic,Grocery,Home,Premium,No,3.2,25.2,4,1
C000157,56+,Male,Ahmedabad,New,Fashion,Brand_C,Mobile,Gold,Sports,Fashion,Premium,No,3.3,25.2,4,1
C000158,46-55,Male,Chennai,Premium,Grocery,Brand_E,Desktop,Basic,Electronics,Electronics,Medium,Yes,1.9,9.6,0,1
C000159,46-55,Male,Ahmedabad,Premium,Beauty,Brand_C,Desktop,Gold,Books,Sports,Premium,No,4.9,15.1,3,1
C000160,36-45,Female,Bengaluru,Regular,Grocery,Brand_B,Mobile,Silver,Grocery,Books,Medium,Yes,2.4,42.6,4,1
C000161,26-35,Male,Bengaluru,New,Electronics,Brand_B,Desktop,Silver,Grocery,Home,Medium,No,1.6,57.5,4,1
C000162,26-35,Female,Nagpur,Regular,Grocery,Brand_E,Desktop,Basic,Beauty,Grocery,Low,Yes,2.8,19.3,3,1
C000163,36-45,Male,Bengaluru,Regular,Electronics,Brand_F,Mobile,Basic,Beauty,Fashion,Premium,No,3.0,41.9,4,1
C000164,56+,Male,Chennai,Regular,Electronics,Brand_B,Tablet,Basic,Home,Electronics,Medium,Yes,2.1,18.7,3,1
C000165,26-35,Male,Jaipur,Regular,Grocery,Brand_C,Mobile,Silver,Electronics,Beauty,Premium,Yes,1.7,21.9,1,1
C000166,46-55,Female,Bengaluru,New,Electronics,Brand_D,Mobile,Platinum,Grocery,Beauty,High,No,1.6,11.1,5,1
C000167,18-25,Male,Nagpur,Regular,Sports,Brand_B,Mobile,Gold,Electronics,None,Premium,Yes,4.7,11.2,3,1
C000168,26-35,Male,Kolkata,Regular,Electronics,Brand_F,Desktop,Silver,Beauty,Fashion,Medium,Yes,3.6,53.2,4,1
C000169,18-25,Male,Nagpur,Regular,Beauty,Brand_D,Mobile,Gold,Books,Grocery,Low,Yes,4.3,14.5,6,1
C000170,46-55,Female,Kolkata,Premium,Books,Brand_E,Mobile,Gold,Home,Sports,Premium,Yes,1.4,17.7,2,0
C000171,18-25,Male,Bengaluru,Premium,Books,Brand_B,Desktop,Gold,Home,None,High,Yes,2.2,15.6,4,0
C000172,56+,Female,Nagpur,Regular,Fashion,Brand_E,Desktop,Basic,Books,Electronics,Medium,No,3.2,22.0,4,1
C000173,18-25,Female,Mumbai,Premium,Books,Brand_B,Mobile,Silver,Home,None,Medium,No,4.9,9.1,2,0
C000174,56+,Male,Chennai,Regular,Home,Brand_C,Mobile,Platinum,Electronics,Books,Low,No,1.9,27.6,0,1
C000175,18-25,Female,Delhi,Premium,Sports,Brand_D,Desktop,Silver,Books,Sports,Medium,No,2.2,53.7,4,1
C000176,46-55,Female,Bengaluru,Premium,Grocery,Brand_A,Desktop,Basic,Books,Books,Low,No,2.7,19.1,2,1
C000177,18-25,Male,Hyderabad,VIP,Books,Brand_D,Desktop,Silver,Fashion,Grocery,Premium,Yes,2.4,16.5,3,1
C000178,26-35,Male,Hyderabad,Regular,Books,Brand_C,Mobile,Gold,Sports,Fashion,Low,No,1.0,37.5,2,1
C000179,46-55,Male,Mumbai,New,Sports,Brand_E,Mobile,Platinum,Books,Home,Low,No,2.1,3.1,5,0
C000180,46-55,Other,Delhi,New,Electronics,Brand_C,Desktop,Silver,Grocery,Beauty,Premium,Yes,4.9,37.6,4,1
C000181,18-25,Male,Ahmedabad,Premium,Grocery,Brand_D,Mobile,Basic,Grocery,Electronics,Premium,Yes,4.4,17.2,2,1
C000182,36-45,Male,Nagpur,VIP,Home,Brand_D,Mobile,Platinum,Books,Books,Premium,Yes,3.9,16.6,6,1
C000183,26-35,Female,Mumbai,Premium,Beauty,Brand_A,Tablet,Basic,Sports,None,High,No,3.5,17.8,1,1
C000184,56+,Female,Mumbai,Regular,Books,Brand_F,Mobile,Basic,Sports,Books,Premium,No,4.7,6.5,2,1
C000185,56+,Male,Delhi,Regular,Books,Brand_E,Mobile,Gold,Electronics,Grocery,Premium,Yes,1.6,28.5,3,1
C000186,26-35,Male,Pune,Regular,Home,Brand_B,Mobile,Platinum,Grocery,Grocery,Premium,No,3.0,2.9,6,1
C000187,18-25,Male,Mumbai,VIP,Grocery,Brand_E,Mobile,Platinum,Sports,None,High,No,4.5,41.8,2,1
C000188,18-25,Female,Pune,Premium,Electronics,Brand_E,Mobile,Silver,Sports,Sports,Medium,Yes,4.1,35.3,4,1
C000189,26-35,Female,Mumbai,New,Home,Brand_D,Mobile,Basic,Home,Sports,Low,No,3.7,10.6,1,0
C000190,46-55,Female,Pune,Premium,Grocery,Brand_E,Mobile,Silver,Home,Grocery,Medium,No,4.1,9.7,4,1
C000191,56+,Female,Jaipur,Regular,Sports,Brand_D,Tablet,Gold,Fashion,Grocery,High,No,4.2,10.9,4,1
C000192,46-55,Male,Bengaluru,Regular,Home,Brand_F,Mobile,Basic,Sports,None,Medium,No,1.6,17.7,4,1
C000193,46-55,Female,Jaipur,Premium,Sports,Brand_F,Mobile,Silver,Beauty,Books,High,No,4.0,43.6,5,1
C000194,36-45,Male,Ahmedabad,New,Books,Brand_A,Desktop,Basic,Sports,Fashion,Low,No,3.9,35.4,3,1
C000195,36-45,Female,Kolkata,New,Home,Brand_E,Mobile,Platinum,Sports,Electronics,Premium,No,4.3,15.3,1,1
C000196,46-55,Male,Bengaluru,Premium,Sports,Brand_E,Mobile,Gold,Beauty,Books,Medium,No,2.1,48.0,5,1
C000197,26-35,Female,Bengaluru,Premium,Grocery,Brand_A,Mobile,Platinum,Beauty,Electronics,High,No,4.3,17.6,2,1
C000198,36-45,Female,Nagpur,VIP,Sports,Brand_D,Desktop,Platinum,Grocery,Grocery,Premium,Yes,3.2,7.9,3,1
C000199,46-55,Male,Ahmedabad,Regular,Beauty,Brand_E,Mobile,Silver,Grocery,Sports,Premium,Yes,2.6,4.4,7,0
C000200,26-35,Female,Ahmedabad,New,Electronics,Brand_E,Mobile,Basic,Sports,Electronics,High,Yes,3.0,12.3,3,1
C000201,26-35,Male,Kolkata,Regular,Books,Brand_B,Mobile,Basic,Home,Electronics,Medium,Yes,4.2,22.0,3,1
C000202,26-35,Female,Delhi,Premium,Beauty,Brand_B,Desktop,Gold,Sports,Fashion,Premium,No,2.6,6.5,3,0
C000203,26-35,Female,Jaipur,Regular,Beauty,Brand_E,Mobile,Basic,Electronics,Home,Low,Yes,2.5,8.1,3,1
C000204,26-35,Male,Nagpur,Premium,Beauty,Brand_E,Desktop,Basic,Beauty,Beauty,Premium,No,3.2,5.7,4,1
C000205,56+,Female,Bengaluru,Premium,Beauty,Brand_E,Mobile,Gold,Sports,Electronics,Medium,Yes,3.7,5.3,3,1
C000206,36-45,Male,Chennai,Regular,Home,Brand_F,Tablet,Silver,Beauty,Books,Low,Yes,2.6,8.0,2,1
C000207,56+,Male,Nagpur,New,Beauty,Brand_B,Desktop,Platinum,Grocery,Home,Premium,No,3.3,9.8,4,1
