StudentID,StudyHours,Attendance,AssignmentScore,ExamScore
277,8.2,61.5,87.1,88.7
278,6.8,86.1,93.0,88.7
279,7.3,86.0,92.1,100.0
280,8.2,82.1,90.6,95.2
281,9.0,84.7,100.0,100.0
282,4.0,77.1,58.0,68.0
283,4.4,62.6,76.2,56.5
284,1.8,67.3,51.2,58.2
285,6.2,59.1,75.9,76.3
286,1.3,95.4,59.1,68.0
287,5.2,79.2,71.7,79.1
288,5.9,70.0,84.9,79.9
289,3.6,73.1,67.1,61.1
290,6.3,97.4,89.4,94.3
291,1.3,57.7,55.0,50.9
292,1.3,79.3,63.1,54.4
293,8.4,75.3,92.0,94.7
294,4.2,80.6,67.6,69.1
295,2.1,50.9,62.2,50.7
296,5.7,93.6,81.6,90.4
297,7.9,96.6,86.9,97.3
298,2.9,78.3,65.5,71.4
299,6.6,84.8,93.4,87.2
300,1.8,96.1,71.4,69.4
301,1.5,85.4,61.4,64.7
302,5.8,57.6,73.8,75.2
303,5.9,78.8,79.6,78.4
304,6.7,80.3,95.6,88.3
305,7.5,71.2,88.5,88.3
306,9.8,86.8,100.0,100.0
307,5.6,96.7,89.5,93.2
308,3.9,96.3,77.8,81.8
309,8.2,72.5,88.7,87.5
310,3.4,55.7,63.2,57.7
311,5.0,99.2,81.9,86.6
312,1.7,91.9,65.4,57.4
313,1.2,56.2,58.1,48.4
314,9.7,96.0,100.0,100.0
315,8.5,93.5,100.0,95.9
316,7.3,75.9,86.4,84.0
317,4.7,79.6,76.4,79.3
318,2.6,70.0,54.2,68.4
319,2.4,52.7,63.6,51.3
320,3.3,66.8,68.3,59.7
321,5.9,90.1,89.1,89.0
322,7.4,50.2,66.4,80.3
323,6.9,66.7,93.2,78.9
324,3.5,69.9,67.5,61.9
325,9.6,76.9,100.0,98.9
326,7.6,96.0,88.0,98.1
327,6.0,67.3,81.9,77.3
328,6.5,67.3,75.8,85.4
329,4.8,86.9,75.2,82.9
330,3.2,72.6,77.1,64.6
331,4.2,61.2,68.2,63.0
332,7.8,72.6,89.3,82.6
333,1.1,57.0,58.6,50.1
334,2.0,58.8,61.2,51.6
335,1.4,74.9,60.8,56.6
336,1.4,70.9,60.8,67.9
337,8.7,95.7,100.0,100.0
338,7.3,68.1,84.6,80.8
339,5.3,79.0,79.6,77.9
340,1.9,81.6,69.2,68.6
341,5.4,50.7,77.5,66.2
342,5.3,83.2,85.6,76.6
343,2.6,58.9,64.6,58.7
344,4.9,98.1,75.9,86.6
345,4.6,57.4,78.2,72.3
346,6.5,70.7,76.2,85.1
347,6.7,54.3,80.2,72.1
348,1.4,99.8,62.5,77.9
349,4.4,75.1,73.3,72.9
350,6.6,79.8,86.3,90.2
351,5.5,53.4,74.7,69.2
352,8.7,87.5,98.1,99.1
353,6.9,60.5,89.2,75.6
354,2.5,94.9,72.2,79.4
355,1.6,60.3,56.1,49.1
356,6.8,59.5,85.3,75.4
357,1.2,51.8,59.3,41.0
358,6.3,73.6,75.6,83.0
359,9.5,78.2,100.0,100.0
360,6.2,53.3,79.7,66.6
361,4.5,88.8,76.0,81.4
362,6.8,72.7,90.7,89.7
363,5.1,76.2,76.2,76.5
364,5.9,72.0,80.2,80.5
365,9.5,70.0,94.4,92.0
366,4.5,78.0,74.8,76.5
367,9.7,57.8,87.6,90.1
368,9.1,59.1,83.5,92.2
369,2.8,93.1,78.8,80.7
370,1.6,97.3,62.3,82.4
371,1.9,68.7,55.8,58.4
372,1.2,63.5,45.5,50.9
373,1.8,82.2,60.5,64.2
374,7.1,70.4,77.9,82.2
375,1.6,51.3,63.2,48.0
376,3.9,57.8,72.0,60.1
377,8.6,85.8,91.7,100.0
378,1.2,82.9,72.4,66.8
379,8.3,51.4,90.1,77.0
380,3.5,61.1,64.4,65.1
381,2.1,61.6,47.4,58.3
382,7.3,83.6,100.0,92.7
383,6.7,51.0,71.0,63.4
384,8.9,55.2,80.6,82.8
385,7.6,90.0,96.8,100.0
386,8.2,58.9,98.8,84.3
387,3.5,82.6,78.3,68.8
388,2.6,61.9,65.0,54.5
389,7.8,55.0,86.8,83.3
390,8.3,62.2,92.2,88.3
391,9.9,86.1,100.0,100.0
392,4.7,92.8,80.8,83.6
393,4.3,91.5,77.7,80.6
394,8.0,69.9,88.2,84.7
395,4.1,83.4,70.5,82.3
396,9.4,60.2,90.9,89.3
397,8.7,64.7,81.9,93.7
398,4.9,94.8,80.3,93.4
399,7.8,50.7,77.8,81.6
400,7.8,54.3,78.2,77.5
401,1.9,60.4,59.5,53.7
402,9.1,51.3,95.7,85.2
403,5.5,59.1,79.1,66.5
404,8.4,79.2,84.7,96.6
405,3.9,71.1,65.4,62.9
406,9.1,94.6,100.0,100.0
407,4.5,90.9,73.1,80.7
408,1.1,67.1,55.6,52.2
409,9.1,63.0,94.5,91.8
410,1.8,69.0,55.5,54.7
411,3.9,79.5,73.0,75.0
412,9.6,63.4,87.4,91.1
413,9.6,81.2,95.5,100.0
414,6.2,70.5,82.1,74.1
415,6.7,77.6,76.6,86.1
416,5.0,71.8,77.7,81.8
417,3.6,64.7,67.3,58.9
418,4.0,97.4,80.1,81.9
419,7.1,88.2,90.1,96.6
420,7.8,57.0,91.2,81.8
421,8.1,93.4,95.4,100.0
422,8.1,74.4,87.9,93.2
423,1.8,94.7,67.4,74.1
424,5.4,90.0,84.5,91.4
425,1.5,71.3,59.8,57.4
426,5.9,51.1,74.5,67.2
427,5.0,63.4,69.8,71.9
428,9.0,77.1,91.5,100.0
429,4.2,81.7,67.3,74.6
430,2.1,62.9,68.9,50.9
431,2.3,57.0,53.4,56.6
432,7.9,91.7,90.0,100.0
433,6.6,99.2,85.9,90.3
434,1.9,76.3,67.1,64.2
435,1.8,58.6,56.3,48.5
436,7.3,63.6,90.0,81.4
437,1.7,50.9,52.0,47.8
438,8.4,95.7,98.1,100.0
439,7.4,55.9,78.1,80.8
440,1.7,78.8,73.1,59.8
441,1.8,63.7,53.1,55.0
442,9.9,77.7,100.0,100.0
443,4.4,82.6,78.6,80.2
444,4.3,91.5,79.3,84.7
445,8.3,60.3,86.5,81.2
446,9.5,50.5,89.7,91.0
447,9.9,56.8,94.0,89.5
448,7.8,95.0,93.1,100.0
449,4.4,93.7,83.0,85.8
450,1.8,79.9,74.1,70.1
451,8.0,80.0,88.2,93.1
452,6.0,83.3,76.0,84.0
453,4.8,58.8,70.9,66.0
454,9.2,95.7,100.0,100.0
455,2.0,70.9,57.7,61.1
456,5.4,69.2,84.8,68.5
457,1.1,75.9,67.3,52.5
458,5.2,52.3,68.7,60.7
459,1.5,58.3,59.2,53.0
460,2.1,86.9,74.3,75.2
461,2.1,54.1,56.1,49.6
462,6.8,80.2,84.6,87.3
463,7.7,62.3,82.3,83.0
464,6.3,69.5,75.7,83.7
465,9.7,64.4,91.5,90.5
466,4.4,67.8,65.6,69.3
467,3.6,86.0,72.9,79.0
468,8.8,64.9,87.0,91.7
469,3.0,78.3,69.2,68.1
470,9.7,73.8,89.3,100.0
471,1.1,83.2,62.4,49.9
472,9.7,96.8,100.0,100.0
473,1.4,86.6,53.0,61.1
474,9.0,60.7,92.5,81.6
475,5.7,51.6,79.7,69.7
476,9.9,63.1,89.3,100.0
477,1.7,79.8,71.0,61.5
478,6.0,52.6,77.2,73.3
479,9.7,74.8,93.8,100.0
480,5.7,79.8,80.3,87.3
481,6.7,66.7,84.6,86.6
482,7.3,88.5,90.4,98.7
483,5.1,55.3,74.5,66.4
484,6.6,53.8,73.5,66.4
485,6.3,86.4,85.8,88.2
486,9.1,74.8,87.6,93.1
487,1.4,84.4,61.8,71.5
488,3.5,71.7,64.2,65.2
489,9.6,62.3,90.1,93.1
490,9.0,91.0,100.0,100.0
491,5.1,90.0,85.9,85.7
492,6.6,84.7,88.9,96.6
493,3.5,63.6,61.2,59.1
494,2.7,79.5,65.4,67.2
495,5.2,68.0,81.5,70.2
496,4.2,54.6,68.3,55.8
497,6.3,95.9,98.9,93.5
498,1.7,56.8,58.8,49.3
499,9.8,97.5,100.0,100.0
500,9.9,72.3,96.1,96.8
