DeltaPower,ThetaPower,AlphaPower,BetaPower,GammaPower,MeanAmplitude,PeakFrequency,SignalEntropy,SignalVariance,BrainState
31.93,23.905,36.46,20.634,10.269,7.975,11.426,2.103,0.518,Normal
21.78,14.869,33.796,28.145,14.348,11.104,13.134,2.121,0.587,Focused
26.021,19.589,46.125,25.639,13.119,9.897,14.866,1.974,0.665,Focused
18.335,15.235,24.339,40.727,18.611,13.655,17.462,2.428,0.736,Stressed
19.576,14.212,24.124,43.297,15.043,18.182,17.66,2.157,0.709,Stressed
20.397,17.833,39.942,33.606,11.016,12.596,14.303,2.266,0.647,Focused
45.128,26.576,23.975,10.55,7.04,5.154,5.207,1.651,0.45,Drowsy
24.907,19.008,44.139,34.005,13.836,14.409,15.067,2.169,0.543,Focused
20.236,17.868,33.174,22.407,14.337,11.913,14.314,1.866,0.599,Focused
39.825,18.99,28.695,19.044,8.446,9.741,9.439,1.842,0.547,Normal
12.824,14.696,22.616,31.001,17.222,12.029,17.954,2.498,0.766,Stressed
21.663,21.264,31.383,31.954,11.896,11.545,15.064,2.05,0.464,Focused
45.211,33.439,24.884,11.124,7.498,6.614,7.428,1.51,0.478,Drowsy
36.5,28.256,28.134,19.866,9.398,9.373,10.395,1.736,0.581,Normal
33.967,21.571,37.815,21.536,10.148,8.827,10.052,2.003,0.513,Normal
47.884,27.224,19.678,11.012,6.482,6.161,6.586,1.583,0.443,Drowsy
31.731,24.564,26.478,23.078,7.957,9.544,10.567,1.831,0.609,Normal
17.799,13.559,20.679,44.645,20.958,16.575,18.39,2.417,0.596,Stressed
51.454,35.828,26.247,10.248,8.145,5.092,8.093,1.689,0.507,Drowsy
19.304,18.639,25.036,45.698,17.685,14.378,17.131,2.438,0.678,Stressed
41.978,24.06,30.831,18.673,9.26,7.437,9.619,1.954,0.583,Normal
23.72,15.543,37.081,31.975,15.006,12.003,13.119,2.11,0.647,Focused
33.759,26.007,28.798,25.097,10.444,7.839,10.537,1.611,0.482,Normal
44.434,24.577,21.987,10.298,7.837,4.953,7.149,1.454,0.404,Drowsy
16.652,15.687,46.716,27.083,14.318,12.511,12.494,2.122,0.676,Focused
24.022,14.51,39.366,35.581,13.303,12.051,17.378,2.087,0.644,Focused
35.64,21.631,34.036,22.001,9.989,7.508,10.186,1.899,0.498,Normal
15.129,14.575,25.518,40.036,22.263,15.272,17.577,2.658,0.694,Stressed
17.066,16.445,21.329,46.184,18.478,16.693,17.72,2.424,0.67,Stressed
16.396,15.777,29.466,39.454,22.605,15.058,17.42,2.37,0.69,Stressed
47.599,25.727,28.173,11.152,6.214,5.733,5.905,1.45,0.501,Drowsy
21.975,18.663,46.269,30.683,14.468,10.236,12.984,2.03,0.591,Focused
25.133,21.102,36.914,32.177,12.48,12.759,14.799,2.333,0.567,Focused
24.106,13.984,38.207,34.144,17.119,10.277,14.389,1.884,0.476,Focused
18.638,15.876,24.268,37.36,18.776,15.431,19.132,2.328,0.648,Stressed
25.422,15.609,36.333,31.419,11.655,11.887,13.131,2.077,0.593,Focused
29.976,26.34,34.882,21.81,11.204,8.542,9.226,1.843,0.642,Normal
35.776,20.12,26.502,25.169,9.212,6.43,10.644,1.942,0.593,Normal
44.993,41.077,29.08,10.208,7.196,5.088,5.783,1.339,0.506,Drowsy
20.068,22.083,38.225,34.952,12.978,11.545,14.373,1.873,0.741,Focused
16.553,17.315,42.292,32.737,17.273,12.538,13.215,2.103,0.617,Focused
19.378,15.806,31.668,25.855,11.955,11.239,12.929,2.162,0.622,Focused
19.544,15.551,26.037,43.729,23.859,17.03,19.616,2.573,0.717,Stressed
15.058,14.687,23.974,40.292,24.623,15.122,19.415,2.348,0.681,Stressed
23.283,14.658,42.937,30.191,13.843,12.989,12.455,1.932,0.585,Focused
53.993,22.962,23.893,12.308,6.229,8.597,6.238,1.495,0.513,Drowsy
22.432,12.725,22.194,39.804,19.648,16.51,16.731,2.431,0.665,Stressed
48.45,31.441,25.605,10.517,7.039,4.389,7.097,1.442,0.632,Drowsy
46.417,22.076,19.003,12.049,7.516,6.563,7.201,1.639,0.448,Drowsy
48.087,26.491,26.937,12.028,5.051,7.174,6.971,1.644,0.414,Drowsy
53.518,36.507,26.518,10.479,6.784,6.462,9.482,1.332,0.552,Drowsy
51.935,35.005,30.362,11.645,5.067,4.769,6.488,1.469,0.469,Drowsy
18.961,11.868,34.309,35.674,14.868,10.668,13.973,2.017,0.632,Focused
16.7,17.161,36.606,34.433,12.827,13.518,11.706,2.257,0.607,Focused
32.236,23.125,25.155,19.837,9.429,9.312,10.315,1.823,0.601,Normal
21.745,17.102,33.687,34.336,11.787,12.164,12.797,2.01,0.532,Focused
50.289,27.309,24.158,9.98,6.909,7.668,7.822,1.668,0.462,Drowsy
29.986,24.412,36.237,27.891,10.766,8.751,7.839,1.735,0.503,Normal
34.594,22.431,31.437,21.901,11.324,8.171,10.18,1.756,0.547,Normal
34.104,28.293,30.535,21.11,9.264,7.546,9.534,1.82,0.56,Normal
20.436,18.267,46.911,30.058,12.221,13.222,16.355,2.1,0.681,Focused
47.246,34.062,22.372,10.84,7.849,5.933,8.654,1.419,0.477,Drowsy
20.319,14.789,23.142,43.691,18.734,14.992,18.479,2.494,0.593,Stressed
47.543,28.918,21.983,12.519,6.548,6.983,5.716,1.706,0.426,Drowsy
22.618,17.463,43.474,32.539,10.695,9.324,13.777,2.137,0.617,Focused
27.539,16.865,38.148,29.418,14.375,8.387,13.345,1.969,0.628,Focused
39.741,31.188,22.558,11.473,7.424,6.782,8.604,1.49,0.498,Drowsy
37.32,24.645,34.911,22.331,9.485,8.183,10.652,1.806,0.552,Normal
51.566,35.011,25.333,13.898,5.859,5.335,6.654,1.486,0.485,Drowsy
22.795,18.397,50.28,33.343,12.313,10.857,11.869,2.09,0.57,Focused
47.617,28.711,28.682,10.257,7.368,3.945,8.278,1.469,0.556,Drowsy
42.687,30.027,20.564,11.298,5.794,7.041,7.86,1.292,0.56,Drowsy
37.086,23.602,32.332,26.021,9.719,7.649,11.895,1.892,0.522,Normal
22.572,15.63,35.315,28.785,12.979,10.191,13.342,2.2,0.554,Focused
36.036,29.153,31.437,9.775,5.335,3.751,8.078,1.635,0.449,Drowsy
56.146,31.611,23.496,11.354,7.2,4.064,6.828,1.632,0.349,Drowsy
16.595,15.373,29.767,38.524,20.865,15.812,16.799,2.297,0.628,Stressed
